--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eduardo/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0127, Std=1.2922, Min=-3.6269, Max=3.6172, RMS=1.2923
  Col 1: Mean=-0.0073, Std=1.0973, Min=-3.7000, Max=3.5427, RMS=1.0973
  Col 2: Mean=-0.2975, Std=2.6482, Min=-8.7723, Max=8.4622, RMS=2.6648
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0056, Std=1.1376, Min=-3.4565, Max=4.7898, RMS=1.1376
  Col 13: Mean=0.0068, Std=1.0067, Min=-3.0146, Max=3.2414, RMS=1.0067
  Col 14: Mean=0.0026, Std=2.5627, Min=-4.9585, Max=8.9415, RMS=2.5627
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0214, Std=1.1277, Min=-3.5115, Max=4.3879, RMS=1.1279
  Col 19: Mean=0.0101, Std=1.2123, Min=-2.5787, Max=2.7223, RMS=1.2123
  Col 20: Mean=0.0006, Std=2.4038, Min=-4.1982, Max=8.4645, RMS=2.4038
  Col 21: Mean=0.0035, Std=1.2513, Min=-3.2996, Max=3.8074, RMS=1.2513
  Col 22: Mean=0.0029, Std=1.2440, Min=-3.4004, Max=3.0870, RMS=1.2440
  Col 23: Mean=-0.0009, Std=2.3981, Min=-4.2647, Max=7.9011, RMS=2.3981
  Col 24: Mean=0.0281, Std=1.8989, Min=-5.0006, Max=5.2439, RMS=1.8991
  Col 25: Mean=0.0247, Std=1.0367, Min=-2.8484, Max=3.6366, RMS=1.0370
  Col 26: Mean=0.0001, Std=2.5393, Min=-5.2057, Max=7.5917, RMS=2.5393
  Col 27: Mean=0.0216, Std=3.8363, Min=-8.4177, Max=6.6518, RMS=3.8363
  Col 28: Mean=0.0282, Std=0.7786, Min=-2.0973, Max=2.0225, RMS=0.7791
  Col 29: Mean=0.0057, Std=2.9352, Min=-6.0235, Max=7.2550, RMS=2.9352
  Col 30: Mean=0.1072, Std=5.3614, Min=-11.7429, Max=10.7149, RMS=5.3625
  Col 31: Mean=0.0289, Std=1.4159, Min=-3.5896, Max=3.2342, RMS=1.4162
  Col 32: Mean=-0.2171, Std=4.0101, Min=-10.4057, Max=11.7692, RMS=4.0160
  Col 33: Mean=-0.0013, Std=1.1972, Min=-3.4357, Max=5.0053, RMS=1.1972
  Col 34: Mean=0.0035, Std=1.3568, Min=-3.5451, Max=3.0482, RMS=1.3568
  Col 35: Mean=0.0027, Std=2.4578, Min=-4.4900, Max=8.5721, RMS=2.4578
  Col 36: Mean=0.0257, Std=1.7882, Min=-5.1314, Max=7.6959, RMS=1.7884
  Col 37: Mean=-0.0013, Std=1.1284, Min=-2.4850, Max=3.0663, RMS=1.1284
  Col 38: Mean=-0.0021, Std=2.5549, Min=-5.5642, Max=9.0091, RMS=2.5549
  Col 39: Mean=0.0051, Std=3.4095, Min=-7.8983, Max=6.1397, RMS=3.4095
  Col 40: Mean=-0.0022, Std=1.0249, Min=-2.5605, Max=2.7059, RMS=1.0249
  Col 41: Mean=-0.0057, Std=2.6964, Min=-6.4641, Max=6.5182, RMS=2.6964
  Col 42: Mean=0.0069, Std=5.0451, Min=-10.6204, Max=11.2707, RMS=5.0451
  Col 43: Mean=0.0117, Std=1.3647, Min=-3.4143, Max=4.1503, RMS=1.3647
  Col 44: Mean=-0.0231, Std=3.3807, Min=-8.6258, Max=8.5496, RMS=3.3807
  Col 45: Mean=0.0032, Std=2.9770, Min=-7.9707, Max=7.8760, RMS=2.9770
  Col 46: Mean=0.0056, Std=1.4221, Min=-4.4584, Max=5.0990, RMS=1.4221
  Col 47: Mean=0.0012, Std=4.0563, Min=-11.0513, Max=17.8357, RMS=4.0563
  Col 48: Mean=-0.0473, Std=4.2754, Min=-18.9934, Max=20.9124, RMS=4.2757
  Col 49: Mean=0.0007, Std=2.2891, Min=-9.3900, Max=16.0036, RMS=2.2891
  Col 50: Mean=-0.0381, Std=4.0034, Min=-11.7065, Max=14.7199, RMS=4.0036
  Col 51: Mean=-0.0985, Std=6.0243, Min=-13.0184, Max=40.9642, RMS=6.0251
  Col 52: Mean=-0.0317, Std=3.5650, Min=-27.7347, Max=46.1665, RMS=3.5652
  Col 53: Mean=-0.0375, Std=5.9883, Min=-13.3591, Max=31.4809, RMS=5.9884
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0193, Std=3.2105, Min=-10.8680, Max=10.7904, RMS=3.2106
  Col 58: Mean=-0.0013, Std=2.0045, Min=-15.1665, Max=6.0255, RMS=2.0045
  Col 59: Mean=-0.0035, Std=4.2780, Min=-11.1730, Max=18.0592, RMS=4.2780
  Col 60: Mean=-0.0568, Std=4.6850, Min=-12.8637, Max=26.1581, RMS=4.6854
  Col 61: Mean=-0.0141, Std=3.5079, Min=-26.3304, Max=19.8312, RMS=3.5079
  Col 62: Mean=-0.0484, Std=4.3291, Min=-12.3320, Max=20.9452, RMS=4.3294
  Col 63: Mean=-0.1593, Std=6.5112, Min=-15.7278, Max=55.7229, RMS=6.5131
  Col 64: Mean=0.0096, Std=3.9832, Min=-36.9265, Max=36.3188, RMS=3.9833
  Col 65: Mean=-0.0554, Std=6.9289, Min=-25.9572, Max=61.9036, RMS=6.9291
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=15.6019, Std=29.2364, Min=-3.6845, Max=179.4007, RMS=33.1389
  Col 1: Mean=-70.8617, Std=11.4326, Min=-76.7611, Max=-5.9211, RMS=71.7781
  Col 2: Mean=27.7246, Std=170.4607, Min=-179.9607, Max=179.9885, RMS=172.7006
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-7.5475, Std=22.2691, Min=-80.6058, Max=39.8270, RMS=23.5133
  Col 13: Mean=-78.0539, Std=4.7044, Min=-88.3319, Max=-68.0218, RMS=78.1956
  Col 14: Mean=15.1061, Std=24.4633, Min=-39.1159, Max=85.2130, RMS=28.7515
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-81.6370, Std=3.1768, Min=-87.9549, Max=-75.2155, RMS=81.6988
  Col 19: Mean=-0.8151, Std=14.7434, Min=-30.4633, Max=29.1397, RMS=14.7659
  Col 20: Mean=-2.4127, Std=6.4766, Min=-11.7234, Max=19.2448, RMS=6.9114
  Col 21: Mean=48.0230, Std=5.2138, Min=37.8624, Max=59.4544, RMS=48.3052
  Col 22: Mean=-0.2713, Std=3.2210, Min=-7.2691, Max=5.4631, RMS=3.2324
  Col 23: Mean=112.1322, Std=6.5392, Min=96.7911, Max=126.2053, RMS=112.3227
  Col 24: Mean=13.6252, Std=25.6710, Min=-33.6439, Max=61.4042, RMS=29.0629
  Col 25: Mean=-73.4800, Std=3.4679, Min=-81.6166, Max=-64.6968, RMS=73.5618
  Col 26: Mean=-73.8321, Std=34.4118, Min=-133.5310, Max=-14.4371, RMS=81.4577
  Col 27: Mean=-26.0058, Std=41.4535, Min=-59.2983, Max=87.1116, RMS=48.9356
  Col 28: Mean=-64.0237, Std=18.7683, Min=-87.4859, Max=-16.0308, RMS=66.7179
  Col 29: Mean=-22.0994, Std=47.3001, Min=-142.4972, Max=18.5188, RMS=52.2081
  Col 30: Mean=74.2817, Std=15.5535, Min=52.6635, Max=173.2074, RMS=75.8926
  Col 31: Mean=-9.4898, Std=22.0035, Min=-60.6419, Max=22.9101, RMS=23.9627
  Col 32: Mean=-135.6281, Std=92.3314, Min=-179.8383, Max=179.9512, RMS=164.0733
  Col 33: Mean=46.0793, Std=5.4455, Min=34.1461, Max=58.1065, RMS=46.4000
  Col 34: Mean=-7.4423, Std=3.3385, Min=-14.1424, Max=-0.9662, RMS=8.1568
  Col 35: Mean=87.9112, Std=6.6253, Min=72.8092, Max=102.3066, RMS=88.1605
  Col 36: Mean=-60.7767, Std=24.7237, Min=-100.8762, Max=0.2355, RMS=65.6130
  Col 37: Mean=-74.2325, Std=5.1200, Min=-85.3694, Max=-62.0399, RMS=74.4089
  Col 38: Mean=128.1215, Std=31.2822, Min=59.2611, Max=168.3840, RMS=131.8852
  Col 39: Mean=12.0291, Std=35.0780, Min=-81.2045, Max=46.3390, RMS=37.0832
  Col 40: Mean=-62.1526, Std=18.2594, Min=-85.7832, Max=-19.7316, RMS=64.7792
  Col 41: Mean=33.1947, Std=42.2877, Min=-8.7276, Max=139.9905, RMS=53.7600
  Col 42: Mean=78.3875, Std=5.2927, Min=65.7088, Max=89.0761, RMS=78.5660
  Col 43: Mean=1.7477, Std=21.2582, Min=-30.9096, Max=49.4511, RMS=21.3299
  Col 44: Mean=7.1365, Std=12.9645, Min=-23.2873, Max=33.2139, RMS=14.7989
  Col 45: Mean=-2.1368, Std=108.2953, Min=-179.8382, Max=179.7005, RMS=108.3164
  Col 46: Mean=-71.4599, Std=13.3296, Min=-89.4264, Max=-41.2088, RMS=72.6925
  Col 47: Mean=56.1494, Std=91.1590, Min=-178.9287, Max=179.9874, RMS=107.0641
  Col 48: Mean=30.3413, Std=158.2244, Min=-179.7013, Max=179.9786, RMS=161.1073
  Col 49: Mean=-70.8206, Std=10.9431, Min=-89.3318, Max=-45.7595, RMS=71.6610
  Col 50: Mean=-85.1373, Std=137.1142, Min=-179.9594, Max=179.9311, RMS=161.3960
  Col 51: Mean=-9.8796, Std=8.3742, Min=-60.1882, Max=18.1105, RMS=12.9512
  Col 52: Mean=-44.7015, Std=17.8842, Min=-84.6762, Max=-11.8354, RMS=48.1464
  Col 53: Mean=-3.5675, Std=8.6777, Min=-35.1338, Max=46.3481, RMS=9.3824
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=66.5218, Std=96.8925, Min=-179.9094, Max=179.9445, RMS=117.5301
