--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eduardo/imu/walk/Run_4
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0054, Std=1.6367, Min=-4.8202, Max=5.2681, RMS=1.6367
  Col 1: Mean=-0.0015, Std=1.3736, Min=-3.6229, Max=5.7020, RMS=1.3736
  Col 2: Mean=-0.0014, Std=1.6033, Min=-2.6938, Max=5.4617, RMS=1.6033
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0103, Std=0.8129, Min=-2.2553, Max=1.8278, RMS=0.8130
  Col 13: Mean=-0.0009, Std=0.9212, Min=-2.1080, Max=2.2192, RMS=0.9212
  Col 14: Mean=-0.3535, Std=2.4317, Min=-9.0485, Max=5.5787, RMS=2.4573
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0014, Std=0.4912, Min=-1.5454, Max=1.3264, RMS=0.4912
  Col 19: Mean=0.0016, Std=1.1116, Min=-2.5776, Max=3.1750, RMS=1.1116
  Col 20: Mean=0.0010, Std=1.7193, Min=-2.7939, Max=5.3813, RMS=1.7193
  Col 21: Mean=-0.0063, Std=0.8115, Min=-2.6832, Max=1.8744, RMS=0.8115
  Col 22: Mean=-0.0017, Std=0.9105, Min=-1.7254, Max=1.8882, RMS=0.9105
  Col 23: Mean=-0.0020, Std=1.5715, Min=-2.4659, Max=4.7416, RMS=1.5715
  Col 24: Mean=-0.0071, Std=1.6985, Min=-4.6750, Max=3.8541, RMS=1.6985
  Col 25: Mean=-0.0040, Std=1.0605, Min=-1.8949, Max=2.1408, RMS=1.0605
  Col 26: Mean=-0.0090, Std=1.6576, Min=-2.9622, Max=4.7490, RMS=1.6576
  Col 27: Mean=0.0030, Std=3.1483, Min=-5.1390, Max=5.5009, RMS=3.1483
  Col 28: Mean=-0.0007, Std=1.0391, Min=-2.2242, Max=1.8601, RMS=1.0391
  Col 29: Mean=-0.0081, Std=1.7266, Min=-3.4996, Max=4.7437, RMS=1.7266
  Col 30: Mean=0.0078, Std=4.3614, Min=-8.5674, Max=7.7784, RMS=4.3614
  Col 31: Mean=0.0047, Std=1.2797, Min=-3.3009, Max=2.4529, RMS=1.2797
  Col 32: Mean=-0.0150, Std=2.2085, Min=-5.2977, Max=5.6055, RMS=2.2086
  Col 33: Mean=-0.0105, Std=0.8896, Min=-3.0881, Max=1.9447, RMS=0.8897
  Col 34: Mean=0.0003, Std=0.8916, Min=-1.7300, Max=1.6252, RMS=0.8916
