--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0014, Std=2.0883, Min=-9.0990, Max=11.5932, RMS=2.0883
  Col 1: Mean=-0.0023, Std=1.7620, Min=-10.0815, Max=4.1577, RMS=1.7620
  Col 2: Mean=0.0091, Std=2.4049, Min=-4.8619, Max=13.0062, RMS=2.4050
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0019, Std=0.9079, Min=-2.6431, Max=2.7148, RMS=0.9079
  Col 13: Mean=0.0046, Std=1.0944, Min=-3.6407, Max=2.8406, RMS=1.0944
  Col 14: Mean=0.0074, Std=2.1134, Min=-4.9987, Max=10.4901, RMS=2.1134
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0027, Std=0.7645, Min=-2.1782, Max=4.6342, RMS=0.7645
  Col 19: Mean=0.0236, Std=1.0235, Min=-2.6590, Max=3.9088, RMS=1.0238
  Col 20: Mean=-0.0004, Std=2.1469, Min=-4.4543, Max=13.2628, RMS=2.1469
  Col 21: Mean=0.0026, Std=1.1430, Min=-9.7781, Max=4.5787, RMS=1.1430
  Col 22: Mean=0.0046, Std=1.2590, Min=-3.6306, Max=5.5720, RMS=1.2590
  Col 23: Mean=0.0118, Std=2.5481, Min=-5.2206, Max=13.4848, RMS=2.5481
  Col 24: Mean=0.0140, Std=1.0830, Min=-3.8230, Max=5.4767, RMS=1.0831
  Col 25: Mean=0.0579, Std=1.7474, Min=-6.8325, Max=6.9666, RMS=1.7484
  Col 26: Mean=-0.4145, Std=2.8863, Min=-9.1463, Max=10.7532, RMS=2.9160
  Col 27: Mean=-0.0063, Std=1.3517, Min=-4.1212, Max=6.2644, RMS=1.3517
  Col 28: Mean=-0.0128, Std=2.3381, Min=-5.5498, Max=8.8969, RMS=2.3381
  Col 29: Mean=-0.0827, Std=2.3109, Min=-8.7063, Max=9.3129, RMS=2.3123
  Col 30: Mean=0.0125, Std=1.5850, Min=-5.4054, Max=3.7079, RMS=1.5850
  Col 31: Mean=0.0364, Std=3.3927, Min=-12.7226, Max=10.6066, RMS=3.3929
  Col 32: Mean=0.0050, Std=2.2929, Min=-4.6407, Max=7.9680, RMS=2.2929
  Col 33: Mean=-0.0048, Std=1.0614, Min=-5.3324, Max=7.7390, RMS=1.0614
  Col 34: Mean=0.0055, Std=1.1948, Min=-4.0600, Max=4.9894, RMS=1.1948
  Col 35: Mean=0.0103, Std=2.7499, Min=-6.9911, Max=19.8115, RMS=2.7499
  Col 36: Mean=-0.0062, Std=1.0956, Min=-5.6782, Max=4.0695, RMS=1.0956
  Col 37: Mean=0.0008, Std=1.7908, Min=-6.9301, Max=6.4646, RMS=1.7908
  Col 38: Mean=0.0026, Std=2.3447, Min=-6.9087, Max=10.1190, RMS=2.3447
  Col 39: Mean=0.0059, Std=1.0916, Min=-5.5002, Max=3.5312, RMS=1.0916
  Col 40: Mean=0.0077, Std=2.0711, Min=-5.4056, Max=6.7636, RMS=2.0711
  Col 41: Mean=0.0057, Std=2.0307, Min=-4.9271, Max=9.2206, RMS=2.0307
  Col 42: Mean=0.0075, Std=1.1914, Min=-3.5416, Max=6.1840, RMS=1.1914
  Col 43: Mean=0.0123, Std=2.8574, Min=-10.9397, Max=8.3098, RMS=2.8574
  Col 44: Mean=0.0004, Std=1.9894, Min=-5.3015, Max=8.7780, RMS=1.9894
  Col 45: Mean=-0.0198, Std=3.1042, Min=-11.9787, Max=22.4453, RMS=3.1042
  Col 46: Mean=0.0251, Std=3.4184, Min=-9.4762, Max=13.4862, RMS=3.4185
  Col 47: Mean=-0.0041, Std=5.3113, Min=-15.0385, Max=36.1532, RMS=5.3113
  Col 48: Mean=0.0434, Std=4.8161, Min=-37.3533, Max=27.8941, RMS=4.8163
  Col 49: Mean=0.0612, Std=5.4765, Min=-20.3328, Max=25.0106, RMS=5.4768
  Col 50: Mean=-0.0771, Std=5.6059, Min=-24.2871, Max=66.1488, RMS=5.6064
  Col 51: Mean=0.0025, Std=6.0793, Min=-41.5590, Max=53.9783, RMS=6.0793
  Col 52: Mean=0.1153, Std=9.4149, Min=-41.4936, Max=48.1508, RMS=9.4156
  Col 53: Mean=-0.0410, Std=6.3527, Min=-26.1982, Max=55.4440, RMS=6.3528
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0301, Std=3.0127, Min=-15.4996, Max=16.2683, RMS=3.0128
  Col 58: Mean=0.0262, Std=3.9463, Min=-17.8841, Max=16.1188, RMS=3.9464
  Col 59: Mean=0.0049, Std=5.9359, Min=-26.4791, Max=54.6713, RMS=5.9359
  Col 60: Mean=0.0405, Std=4.4913, Min=-36.4616, Max=26.9991, RMS=4.4914
  Col 61: Mean=0.0235, Std=5.1608, Min=-25.4220, Max=20.1601, RMS=5.1609
  Col 62: Mean=-0.0495, Std=5.1713, Min=-26.1014, Max=48.2569, RMS=5.1716
  Col 63: Mean=-0.0097, Std=3.5284, Min=-24.2952, Max=17.5022, RMS=3.5285
  Col 64: Mean=0.0438, Std=8.5646, Min=-29.7248, Max=31.5313, RMS=8.5648
  Col 65: Mean=-0.0929, Std=5.7602, Min=-25.0940, Max=31.1763, RMS=5.7610
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-1.5051, Std=7.0396, Min=-20.4110, Max=19.9225, RMS=7.1987
  Col 1: Mean=-63.8735, Std=2.6673, Min=-71.3133, Max=-56.8612, RMS=63.9292
  Col 2: Mean=83.6625, Std=5.8156, Min=71.6493, Max=98.5080, RMS=83.8644
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=13.7786, Std=3.6804, Min=5.8284, Max=21.0174, RMS=14.2617
  Col 13: Mean=-56.0924, Std=2.5231, Min=-61.8016, Max=-52.1567, RMS=56.1491
  Col 14: Mean=-123.7329, Std=4.0273, Min=-136.1969, Max=-115.3784, RMS=123.7985
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-79.5820, Std=8.9552, Min=-94.9494, Max=-62.7545, RMS=80.0843
  Col 19: Mean=-22.7057, Std=5.7931, Min=-33.2870, Max=-12.4782, RMS=23.4330
  Col 20: Mean=32.1837, Std=1.9612, Min=28.2600, Max=37.6039, RMS=32.2434
  Col 21: Mean=56.5234, Std=3.3548, Min=50.3405, Max=62.0773, RMS=56.6229
  Col 22: Mean=-1.0932, Std=1.6871, Min=-4.8343, Max=3.4932, RMS=2.0104
  Col 23: Mean=0.1974, Std=3.4799, Min=-7.7016, Max=9.8246, RMS=3.4855
  Col 24: Mean=-2.5408, Std=48.2314, Min=-179.9451, Max=179.9102, RMS=48.2983
  Col 25: Mean=-75.0449, Std=15.7534, Min=-83.6201, Max=-6.0826, RMS=76.6805
  Col 26: Mean=-15.8377, Std=149.7419, Min=-179.9461, Max=179.9477, RMS=150.5771
  Col 27: Mean=30.7126, Std=23.6300, Min=-8.2451, Max=176.7956, RMS=38.7510
  Col 28: Mean=-62.5272, Std=10.9558, Min=-72.8812, Max=-5.4402, RMS=63.4798
  Col 29: Mean=-85.6252, Std=119.1800, Min=-179.9982, Max=179.5321, RMS=146.7500
  Col 30: Mean=80.9598, Std=9.4279, Min=60.5402, Max=110.9670, RMS=81.5069
  Col 31: Mean=-9.7556, Std=11.9922, Min=-41.1272, Max=9.5666, RMS=15.4592
  Col 32: Mean=45.3641, Std=13.8555, Min=10.5294, Max=66.3288, RMS=47.4328
  Col 33: Mean=56.4692, Std=4.2869, Min=47.7138, Max=64.1934, RMS=56.6317
  Col 34: Mean=-18.0106, Std=1.9704, Min=-22.6720, Max=-12.5126, RMS=18.1180
  Col 35: Mean=-24.8027, Std=4.7081, Min=-33.5148, Max=-12.5999, RMS=25.2456
  Col 36: Mean=-21.5472, Std=17.4545, Min=-53.9919, Max=16.3255, RMS=27.7298
  Col 37: Mean=-76.6308, Std=3.9879, Min=-82.0960, Max=-69.1637, RMS=76.7345
  Col 38: Mean=5.4166, Std=22.6833, Min=-37.1021, Max=48.7357, RMS=23.3211
  Col 39: Mean=11.5643, Std=21.0609, Min=-56.3371, Max=35.5513, RMS=24.0270
  Col 40: Mean=-71.1766, Std=8.2760, Min=-84.4126, Max=-42.4552, RMS=71.6562
  Col 41: Mean=-94.1966, Std=29.2929, Min=-123.1404, Max=-4.5625, RMS=98.6462
  Col 42: Mean=-73.1966, Std=5.7610, Min=-83.6248, Max=-53.6549, RMS=73.4230
  Col 43: Mean=3.7786, Std=11.9367, Min=-35.1484, Max=26.3061, RMS=12.5204
  Col 44: Mean=54.5873, Std=10.5239, Min=38.4434, Max=82.8860, RMS=55.5925
  Col 45: Mean=-58.1859, Std=105.1232, Min=-179.6105, Max=179.4670, RMS=120.1520
  Col 46: Mean=-77.0976, Std=6.4447, Min=-89.3016, Max=-61.5369, RMS=77.3665
  Col 47: Mean=-16.6190, Std=66.2610, Min=-171.6998, Max=152.3821, RMS=68.3133
  Col 48: Mean=-41.4617, Std=150.2949, Min=-179.7538, Max=179.5134, RMS=155.9091
  Col 49: Mean=-65.8128, Std=14.5106, Min=-81.2370, Max=-23.1034, RMS=67.3935
  Col 50: Mean=37.5198, Std=32.3372, Min=-68.7783, Max=75.0985, RMS=49.5321
  Col 51: Mean=2.3374, Std=24.1372, Min=-26.6741, Max=107.1163, RMS=24.2501
  Col 52: Mean=-32.1198, Std=15.5706, Min=-77.3207, Max=-1.8138, RMS=35.6949
  Col 53: Mean=-105.6810, Std=73.6820, Min=-177.9333, Max=179.1953, RMS=128.8313
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=54.3316, Std=96.8635, Min=-179.3070, Max=179.8585, RMS=111.0606
  Col 58: Mean=-77.3302, Std=7.8693, Min=-88.4015, Max=-60.2478, RMS=77.7295
  Col 59: Mean=5.5897, Std=118.5490, Min=-179.0385, Max=179.9128, RMS=118.6807
  Col 60: Mean=-95.3417, Std=106.8061, Min=-179.4614, Max=179.9768, RMS=143.1698
  Col 61: Mean=-73.1617, Std=14.6845, Min=-89.5282, Max=-27.1999, RMS=74.6209
  Col 62: Mean=51.5737, Std=61.4600, Min=-152.5241, Max=157.1051, RMS=80.2321
  Col 63: Mean=7.2653, Std=23.4108, Min=-99.6762, Max=30.8027, RMS=24.5122
  Col 64: Mean=-31.9194, Std=16.1048, Min=-80.5100, Max=0.8056, RMS=35.7521
  Col 65: Mean=-74.8319, Std=24.7675, Min=-92.9298, Max=37.3313, RMS=78.8241
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.3707, Std=0.1250, Min=-0.5293, Max=-0.1194, RMS=0.3912
  Col 1: Mean=0.4968, Std=0.1189, Min=0.2483, Max=0.6667, RMS=0.5108
  Col 2: Mean=-0.4349, Std=0.0535, Min=-0.5667, Max=-0.2878, RMS=0.4382
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
