--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0009, Std=1.6104, Min=-4.8365, Max=6.3447, RMS=1.6104
  Col 1: Mean=-0.0022, Std=1.5358, Min=-4.2835, Max=5.3102, RMS=1.5358
  Col 2: Mean=-0.0099, Std=2.2359, Min=-5.9719, Max=10.1607, RMS=2.2360
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0006, Std=1.0514, Min=-2.8646, Max=3.9924, RMS=1.0514
  Col 13: Mean=-0.0063, Std=1.2363, Min=-2.9825, Max=3.4165, RMS=1.2363
  Col 14: Mean=-0.0136, Std=2.1283, Min=-4.7094, Max=6.5623, RMS=2.1283
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0153, Std=0.7445, Min=-2.3410, Max=2.1443, RMS=0.7447
  Col 19: Mean=-0.0215, Std=1.0492, Min=-2.9675, Max=2.2646, RMS=1.0494
  Col 20: Mean=-0.0651, Std=2.0152, Min=-8.7747, Max=6.4326, RMS=2.0163
  Col 21: Mean=-0.0003, Std=0.9977, Min=-2.9696, Max=3.9598, RMS=0.9977
  Col 22: Mean=-0.0256, Std=1.2861, Min=-3.1778, Max=3.4225, RMS=1.2863
  Col 23: Mean=-0.4539, Std=3.0255, Min=-9.3157, Max=8.4510, RMS=3.0594
  Col 24: Mean=-0.0138, Std=1.1787, Min=-5.0552, Max=2.6574, RMS=1.1788
  Col 25: Mean=-0.0010, Std=2.0397, Min=-6.6537, Max=4.9349, RMS=2.0397
  Col 26: Mean=-0.0204, Std=2.1094, Min=-5.9702, Max=6.0818, RMS=2.1095
  Col 27: Mean=-0.0028, Std=1.5174, Min=-3.9054, Max=4.0638, RMS=1.5174
  Col 28: Mean=-0.0125, Std=2.4272, Min=-6.3298, Max=6.5076, RMS=2.4272
  Col 29: Mean=-0.0248, Std=1.9528, Min=-4.7665, Max=6.7160, RMS=1.9529
  Col 30: Mean=-0.0172, Std=1.7088, Min=-3.7758, Max=4.1960, RMS=1.7089
  Col 31: Mean=-0.0229, Std=3.2858, Min=-7.0873, Max=9.4543, RMS=3.2859
  Col 32: Mean=-0.0269, Std=1.9191, Min=-4.8136, Max=6.7598, RMS=1.9193
  Col 33: Mean=0.0014, Std=0.9931, Min=-4.0799, Max=3.8806, RMS=0.9931
  Col 34: Mean=-0.0053, Std=1.2998, Min=-3.9222, Max=3.6382, RMS=1.2998
  Col 35: Mean=-0.0078, Std=2.3626, Min=-6.1685, Max=9.3163, RMS=2.3626
  Col 36: Mean=-0.0082, Std=1.0289, Min=-2.5488, Max=5.3943, RMS=1.0289
  Col 37: Mean=0.0091, Std=1.7628, Min=-6.2871, Max=6.2133, RMS=1.7629
  Col 38: Mean=-0.3586, Std=2.7709, Min=-9.2532, Max=7.1259, RMS=2.7940
  Col 39: Mean=-0.0128, Std=1.1162, Min=-2.7752, Max=4.0891, RMS=1.1163
  Col 40: Mean=0.0021, Std=1.9805, Min=-5.9291, Max=4.2915, RMS=1.9805
  Col 41: Mean=-0.0142, Std=1.9183, Min=-4.7053, Max=6.6086, RMS=1.9184
  Col 42: Mean=-0.0122, Std=1.2133, Min=-3.8626, Max=3.4816, RMS=1.2133
  Col 43: Mean=-0.0008, Std=2.6402, Min=-6.9085, Max=7.2424, RMS=2.6402
  Col 44: Mean=-0.0206, Std=1.8151, Min=-4.4104, Max=5.3794, RMS=1.8153
  Col 45: Mean=0.0136, Std=3.0567, Min=-17.1809, Max=19.0152, RMS=3.0567
  Col 46: Mean=-0.0227, Std=3.7906, Min=-11.3426, Max=18.5373, RMS=3.7907
  Col 47: Mean=-0.0063, Std=4.9238, Min=-15.8902, Max=24.8849, RMS=4.9238
  Col 48: Mean=-0.0202, Std=3.6896, Min=-31.7030, Max=18.8794, RMS=3.6896
  Col 49: Mean=-0.0522, Std=5.3141, Min=-28.6719, Max=18.8505, RMS=5.3143
  Col 50: Mean=-0.1026, Std=4.9888, Min=-38.2897, Max=43.3853, RMS=4.9898
  Col 51: Mean=-0.0200, Std=4.6968, Min=-29.3076, Max=19.8169, RMS=4.6968
  Col 52: Mean=-0.0712, Std=9.8248, Min=-39.4682, Max=39.3904, RMS=9.8250
  Col 53: Mean=-0.1223, Std=5.6084, Min=-29.4440, Max=28.5625, RMS=5.6098
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
