--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0530, Std=1.8929, Min=-5.1235, Max=8.2106, RMS=1.8937
  Col 1: Mean=0.0032, Std=2.7345, Min=-9.6733, Max=11.9155, RMS=2.7345
  Col 2: Mean=-0.9085, Std=5.0089, Min=-9.8127, Max=19.4497, RMS=5.0906
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0409, Std=1.0434, Min=-3.0669, Max=4.5441, RMS=1.0442
  Col 13: Mean=0.0048, Std=1.2559, Min=-5.4140, Max=2.9173, RMS=1.2559
  Col 14: Mean=0.0224, Std=4.1108, Min=-7.1797, Max=16.7514, RMS=4.1108
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0166, Std=1.4544, Min=-5.8150, Max=3.0103, RMS=1.4545
  Col 19: Mean=-0.0068, Std=0.9086, Min=-2.7049, Max=2.6119, RMS=0.9086
  Col 20: Mean=0.0096, Std=3.5729, Min=-5.8201, Max=12.3030, RMS=3.5729
  Col 21: Mean=-0.0304, Std=1.5481, Min=-7.6713, Max=4.2928, RMS=1.5484
  Col 22: Mean=0.0019, Std=2.0490, Min=-8.7266, Max=7.9979, RMS=2.0490
  Col 23: Mean=0.0151, Std=4.5685, Min=-7.1231, Max=14.0465, RMS=4.5685
  Col 24: Mean=-0.0109, Std=2.9020, Min=-8.8527, Max=13.9738, RMS=2.9020
  Col 25: Mean=0.0275, Std=2.3642, Min=-8.4927, Max=11.1137, RMS=2.3643
  Col 26: Mean=0.0041, Std=4.3889, Min=-7.5719, Max=14.1663, RMS=4.3889
  Col 27: Mean=-0.0450, Std=2.3278, Min=-8.4052, Max=7.3941, RMS=2.3282
  Col 28: Mean=0.0053, Std=2.7892, Min=-8.9499, Max=9.0705, RMS=2.7892
  Col 29: Mean=0.0026, Std=4.1172, Min=-6.8920, Max=13.6813, RMS=4.1172
  Col 30: Mean=-0.0702, Std=3.0952, Min=-10.6291, Max=12.1065, RMS=3.0960
  Col 31: Mean=0.0327, Std=3.3185, Min=-9.8540, Max=9.9088, RMS=3.3186
  Col 32: Mean=-0.0295, Std=3.7979, Min=-5.6903, Max=12.2258, RMS=3.7980
  Col 33: Mean=-0.0298, Std=1.6274, Min=-5.7884, Max=5.8230, RMS=1.6277
  Col 34: Mean=-0.0166, Std=1.8709, Min=-7.1851, Max=7.5788, RMS=1.8710
  Col 35: Mean=0.0128, Std=4.7079, Min=-7.8449, Max=17.4246, RMS=4.7079
  Col 36: Mean=-0.0344, Std=2.3053, Min=-6.4741, Max=6.6144, RMS=2.3056
  Col 37: Mean=-0.0239, Std=1.8782, Min=-6.0852, Max=6.6426, RMS=1.8783
  Col 38: Mean=0.0077, Std=4.4846, Min=-7.3161, Max=15.7169, RMS=4.4846
  Col 39: Mean=-0.0494, Std=1.9320, Min=-5.5504, Max=5.2826, RMS=1.9326
  Col 40: Mean=0.0008, Std=1.6319, Min=-5.3545, Max=5.8432, RMS=1.6319
  Col 41: Mean=-0.0010, Std=4.1383, Min=-6.4039, Max=14.7136, RMS=4.1383
  Col 42: Mean=0.0274, Std=2.2713, Min=-6.9574, Max=5.5479, RMS=2.2715
  Col 43: Mean=0.0155, Std=1.9034, Min=-6.0195, Max=7.1501, RMS=1.9034
  Col 44: Mean=-0.5336, Std=4.5120, Min=-9.2200, Max=14.9886, RMS=4.5435
  Col 45: Mean=0.0191, Std=4.1337, Min=-18.3884, Max=10.0009, RMS=4.1338
  Col 46: Mean=-0.0066, Std=4.1201, Min=-19.7340, Max=13.6221, RMS=4.1201
  Col 47: Mean=-0.0273, Std=7.5688, Min=-13.4602, Max=38.6228, RMS=7.5688
  Col 48: Mean=-0.1750, Std=7.0851, Min=-26.5367, Max=15.3205, RMS=7.0872
  Col 49: Mean=0.0640, Std=5.9610, Min=-36.1077, Max=21.5232, RMS=5.9614
  Col 50: Mean=-0.1801, Std=6.5744, Min=-9.5972, Max=45.6450, RMS=6.5769
  Col 51: Mean=-0.1142, Std=10.7701, Min=-45.3965, Max=42.9011, RMS=10.7707
  Col 52: Mean=0.0841, Std=7.1329, Min=-42.5323, Max=49.2173, RMS=7.1334
