--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0211, Std=1.8296, Min=-6.0178, Max=12.3235, RMS=1.8297
  Col 1: Mean=-0.0505, Std=2.5055, Min=-7.5332, Max=11.4421, RMS=2.5060
  Col 2: Mean=-0.8009, Std=4.9327, Min=-9.3771, Max=16.3268, RMS=4.9973
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0299, Std=0.9957, Min=-2.6265, Max=5.1237, RMS=0.9962
  Col 13: Mean=-0.0086, Std=1.4621, Min=-6.2218, Max=3.3763, RMS=1.4621
  Col 14: Mean=0.0145, Std=4.4556, Min=-7.8837, Max=17.2717, RMS=4.4556
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0021, Std=1.3047, Min=-4.8839, Max=3.5171, RMS=1.3047
  Col 19: Mean=-0.0196, Std=1.1543, Min=-3.6002, Max=2.7574, RMS=1.1545
  Col 20: Mean=0.0039, Std=3.7415, Min=-6.1302, Max=12.4048, RMS=3.7415
  Col 21: Mean=-0.0204, Std=1.2557, Min=-5.3553, Max=4.6218, RMS=1.2559
  Col 22: Mean=0.0006, Std=1.9093, Min=-7.3706, Max=6.2169, RMS=1.9093
  Col 23: Mean=0.0048, Std=4.5839, Min=-7.3016, Max=16.3224, RMS=4.5839
  Col 24: Mean=-0.0358, Std=3.0382, Min=-6.9908, Max=9.2471, RMS=3.0384
  Col 25: Mean=0.0114, Std=2.2915, Min=-9.9354, Max=12.3874, RMS=2.2915
  Col 26: Mean=-0.0340, Std=4.6008, Min=-7.1724, Max=14.8007, RMS=4.6009
  Col 27: Mean=-0.0783, Std=2.5345, Min=-6.2405, Max=7.5945, RMS=2.5357
  Col 28: Mean=0.0154, Std=3.5998, Min=-10.4573, Max=11.9496, RMS=3.5998
  Col 29: Mean=-0.0403, Std=4.3883, Min=-6.6405, Max=15.2016, RMS=4.3885
  Col 30: Mean=-0.0534, Std=3.4866, Min=-14.5033, Max=8.8574, RMS=3.4870
  Col 31: Mean=0.0318, Std=3.7087, Min=-11.2326, Max=13.5449, RMS=3.7089
  Col 32: Mean=-0.1085, Std=4.1234, Min=-9.0685, Max=15.1226, RMS=4.1248
  Col 33: Mean=-0.0253, Std=1.3924, Min=-4.3388, Max=5.0540, RMS=1.3926
  Col 34: Mean=-0.0218, Std=1.6442, Min=-6.0867, Max=6.5475, RMS=1.6443
  Col 35: Mean=0.0077, Std=4.6129, Min=-7.5202, Max=14.8763, RMS=4.6129
  Col 36: Mean=-0.0169, Std=2.1940, Min=-5.9642, Max=8.4295, RMS=2.1941
  Col 37: Mean=-0.0306, Std=1.7175, Min=-8.2494, Max=5.2966, RMS=1.7178
  Col 38: Mean=0.0026, Std=4.6073, Min=-6.6778, Max=15.1131, RMS=4.6073
  Col 39: Mean=-0.0440, Std=1.6363, Min=-4.1017, Max=5.0384, RMS=1.6369
  Col 40: Mean=-0.0020, Std=1.7456, Min=-7.7009, Max=5.8968, RMS=1.7456
  Col 41: Mean=-0.0019, Std=4.3007, Min=-5.1832, Max=13.9504, RMS=4.3007
  Col 42: Mean=-0.0671, Std=2.0520, Min=-7.1175, Max=5.7936, RMS=2.0531
  Col 43: Mean=-0.0307, Std=1.9600, Min=-6.3911, Max=6.4560, RMS=1.9603
  Col 44: Mean=-0.4702, Std=4.3430, Min=-9.0496, Max=13.4267, RMS=4.3684
  Col 45: Mean=-0.0039, Std=4.1379, Min=-13.2317, Max=9.3486, RMS=4.1379
  Col 46: Mean=0.0043, Std=4.1033, Min=-24.2104, Max=11.7326, RMS=4.1033
  Col 47: Mean=-0.0147, Std=6.8261, Min=-13.3794, Max=27.2717, RMS=6.8261
  Col 48: Mean=-0.2296, Std=6.7967, Min=-30.4590, Max=15.6104, RMS=6.8006
  Col 49: Mean=0.1046, Std=9.4992, Min=-64.3223, Max=49.0707, RMS=9.4998
  Col 50: Mean=-0.1627, Std=7.3369, Min=-19.4508, Max=49.8751, RMS=7.3387
  Col 51: Mean=-0.1034, Std=9.3657, Min=-41.7373, Max=30.6499, RMS=9.3662
  Col 52: Mean=0.0717, Std=6.5057, Min=-54.3460, Max=24.6339, RMS=6.5061
  Col 53: Mean=-0.0289, Std=10.3346, Min=-55.7073, Max=55.8926, RMS=10.3347
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0076, Std=5.0058, Min=-16.4037, Max=13.1161, RMS=5.0058
  Col 58: Mean=0.0130, Std=4.9165, Min=-19.4376, Max=20.0444, RMS=4.9166
  Col 59: Mean=0.0344, Std=6.9969, Min=-14.3619, Max=37.9095, RMS=6.9969
  Col 60: Mean=-0.1249, Std=6.7804, Min=-26.3523, Max=26.8130, RMS=6.7815
  Col 61: Mean=-0.0168, Std=5.4180, Min=-25.7321, Max=24.6824, RMS=5.4180
  Col 62: Mean=-0.0997, Std=6.4414, Min=-13.8140, Max=43.5233, RMS=6.4422
  Col 63: Mean=-0.0341, Std=10.4139, Min=-48.9875, Max=65.1269, RMS=10.4140
  Col 64: Mean=-0.0824, Std=4.8899, Min=-31.8513, Max=37.1812, RMS=4.8906
  Col 65: Mean=0.0309, Std=10.2500, Min=-33.4101, Max=102.6659, RMS=10.2501
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-12.2715, Std=54.0154, Min=-179.9838, Max=179.9968, RMS=55.3918
  Col 1: Mean=-58.6222, Std=17.2819, Min=-70.1699, Max=-5.3921, RMS=61.1165
  Col 2: Mean=-19.8741, Std=174.6219, Min=-179.9991, Max=179.9899, RMS=175.7492
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
