--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0006, Std=1.8504, Min=-5.4153, Max=6.3412, RMS=1.8504
  Col 1: Mean=-0.0133, Std=1.7415, Min=-4.7916, Max=6.6523, RMS=1.7415
  Col 2: Mean=0.0031, Std=2.4535, Min=-4.3448, Max=7.7552, RMS=2.4535
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0009, Std=1.2713, Min=-4.0543, Max=4.0201, RMS=1.2713
  Col 13: Mean=-0.0021, Std=1.4629, Min=-3.9924, Max=3.7455, RMS=1.4629
  Col 14: Mean=-0.1035, Std=3.1716, Min=-8.9451, Max=10.5045, RMS=3.1733
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0063, Std=1.1794, Min=-3.6774, Max=3.8700, RMS=1.1794
  Col 19: Mean=-0.0114, Std=1.2030, Min=-3.0058, Max=2.9192, RMS=1.2031
  Col 20: Mean=-0.0281, Std=2.7366, Min=-4.9554, Max=7.0432, RMS=2.7367
  Col 21: Mean=-0.0020, Std=1.7220, Min=-5.7814, Max=4.4898, RMS=1.7220
  Col 22: Mean=-0.0076, Std=1.5024, Min=-3.3650, Max=3.8921, RMS=1.5024
  Col 23: Mean=0.0001, Std=2.7841, Min=-4.8973, Max=9.0130, RMS=2.7841
  Col 24: Mean=-0.0081, Std=2.9970, Min=-10.5262, Max=6.8289, RMS=2.9970
  Col 25: Mean=0.0027, Std=1.5773, Min=-6.4058, Max=7.1015, RMS=1.5773
  Col 26: Mean=0.0047, Std=3.0184, Min=-5.7668, Max=9.1614, RMS=3.0184
  Col 27: Mean=0.0115, Std=3.7828, Min=-12.1237, Max=7.9312, RMS=3.7828
  Col 28: Mean=0.0082, Std=2.1033, Min=-8.3569, Max=7.2048, RMS=2.1033
  Col 29: Mean=0.0101, Std=2.7352, Min=-6.2190, Max=8.9687, RMS=2.7352
  Col 30: Mean=0.0132, Std=5.1925, Min=-21.1140, Max=10.8779, RMS=5.1925
  Col 31: Mean=-0.0087, Std=2.0993, Min=-4.9970, Max=7.5004, RMS=2.0993
  Col 32: Mean=-0.0092, Std=2.6207, Min=-7.6164, Max=9.4456, RMS=2.6207
  Col 33: Mean=-0.0081, Std=1.6379, Min=-6.6302, Max=4.4453, RMS=1.6379
  Col 34: Mean=-0.0146, Std=1.5096, Min=-3.5825, Max=4.3453, RMS=1.5096
  Col 35: Mean=-0.0009, Std=2.8733, Min=-5.4236, Max=9.5704, RMS=2.8733
  Col 36: Mean=-0.0355, Std=2.6357, Min=-7.7147, Max=5.9519, RMS=2.6359
  Col 37: Mean=-0.0211, Std=1.4378, Min=-3.7030, Max=4.1053, RMS=1.4379
  Col 38: Mean=-0.0102, Std=2.9494, Min=-5.5017, Max=7.3718, RMS=2.9494
  Col 39: Mean=-0.0350, Std=3.5520, Min=-9.9514, Max=7.7359, RMS=3.5522
  Col 40: Mean=-0.0089, Std=1.3654, Min=-4.1932, Max=3.7311, RMS=1.3654
  Col 41: Mean=-0.0128, Std=2.5995, Min=-5.8125, Max=8.3226, RMS=2.5995
  Col 42: Mean=-0.0498, Std=4.5976, Min=-14.4771, Max=8.4826, RMS=4.5979
  Col 43: Mean=-0.0218, Std=1.6886, Min=-6.4781, Max=5.3099, RMS=1.6887
  Col 44: Mean=-0.0246, Std=2.7276, Min=-6.3147, Max=9.8326, RMS=2.7277
  Col 45: Mean=0.0142, Std=4.6752, Min=-18.7572, Max=12.2649, RMS=4.6753
  Col 46: Mean=-0.0198, Std=3.3730, Min=-13.2809, Max=21.9763, RMS=3.3730
  Col 47: Mean=-0.0242, Std=5.8040, Min=-14.5777, Max=39.7803, RMS=5.8041
