--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0065, Std=1.8775, Min=-5.6046, Max=4.4331, RMS=1.8775
  Col 1: Mean=0.0032, Std=1.8317, Min=-4.6149, Max=7.7637, RMS=1.8317
  Col 2: Mean=0.0094, Std=2.6525, Min=-4.4502, Max=8.9427, RMS=2.6525
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0046, Std=1.2142, Min=-4.1336, Max=4.4170, RMS=1.2142
  Col 13: Mean=0.0015, Std=1.5796, Min=-4.2256, Max=3.4026, RMS=1.5796
  Col 14: Mean=-0.0014, Std=3.3776, Min=-5.2901, Max=10.7123, RMS=3.3776
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0319, Std=1.2105, Min=-4.2784, Max=5.0406, RMS=1.2109
  Col 19: Mean=-0.0025, Std=1.2343, Min=-2.8141, Max=2.7468, RMS=1.2343
  Col 20: Mean=-0.0203, Std=2.8431, Min=-5.0896, Max=7.5690, RMS=2.8432
  Col 21: Mean=-0.0147, Std=1.5908, Min=-5.1394, Max=5.0743, RMS=1.5909
  Col 22: Mean=0.0117, Std=1.5859, Min=-3.3191, Max=4.6246, RMS=1.5860
  Col 23: Mean=0.0011, Std=2.9295, Min=-4.9106, Max=9.0032, RMS=2.9295
  Col 24: Mean=-0.0318, Std=2.8768, Min=-8.3192, Max=9.3570, RMS=2.8770
  Col 25: Mean=0.0274, Std=1.6529, Min=-4.5674, Max=4.3627, RMS=1.6531
  Col 26: Mean=0.0023, Std=3.0005, Min=-5.2974, Max=8.1936, RMS=3.0005
  Col 27: Mean=-0.0292, Std=4.3795, Min=-11.1345, Max=9.3462, RMS=4.3796
  Col 28: Mean=-0.0114, Std=2.2502, Min=-5.2900, Max=6.6393, RMS=2.2502
  Col 29: Mean=0.0027, Std=2.5260, Min=-7.4903, Max=8.3642, RMS=2.5260
  Col 30: Mean=-0.0244, Std=6.0708, Min=-17.7853, Max=11.6923, RMS=6.0709
  Col 31: Mean=-0.0426, Std=2.7580, Min=-6.7606, Max=5.6783, RMS=2.7583
  Col 32: Mean=0.0030, Std=2.7538, Min=-10.8356, Max=7.6717, RMS=2.7538
  Col 33: Mean=-0.0103, Std=1.6154, Min=-5.3843, Max=5.1042, RMS=1.6154
  Col 34: Mean=0.0025, Std=1.5272, Min=-4.1086, Max=4.0324, RMS=1.5272
  Col 35: Mean=0.0065, Std=3.0702, Min=-5.9458, Max=8.9972, RMS=3.0702
  Col 36: Mean=-0.0175, Std=2.7727, Min=-7.4976, Max=7.3473, RMS=2.7727
  Col 37: Mean=-0.0108, Std=1.3057, Min=-3.2377, Max=4.2091, RMS=1.3058
  Col 38: Mean=-0.0029, Std=3.1276, Min=-5.3447, Max=8.3033, RMS=3.1276
  Col 39: Mean=0.0547, Std=4.0801, Min=-10.0308, Max=8.7021, RMS=4.0804
  Col 40: Mean=-0.0449, Std=1.3871, Min=-3.6897, Max=5.4452, RMS=1.3878
  Col 41: Mean=-0.1337, Std=3.0260, Min=-9.1463, Max=7.4237, RMS=3.0289
  Col 42: Mean=0.0088, Std=5.5506, Min=-14.1444, Max=11.2077, RMS=5.5506
  Col 43: Mean=-0.0083, Std=1.7312, Min=-5.7292, Max=6.8113, RMS=1.7312
  Col 44: Mean=-0.0194, Std=2.9650, Min=-8.8452, Max=9.0101, RMS=2.9651
  Col 45: Mean=0.0323, Std=4.6051, Min=-17.7679, Max=17.1732, RMS=4.6052
  Col 46: Mean=-0.0126, Std=3.9552, Min=-13.2032, Max=27.0913, RMS=3.9553
  Col 47: Mean=-0.0322, Std=6.2490, Min=-14.5152, Max=34.5654, RMS=6.2491
  Col 48: Mean=0.2380, Std=7.3266, Min=-32.2494, Max=42.8952, RMS=7.3304
  Col 49: Mean=-0.0408, Std=5.7495, Min=-32.1619, Max=26.3237, RMS=5.7496
  Col 50: Mean=-0.1918, Std=9.9412, Min=-27.9647, Max=82.7010, RMS=9.9430
  Col 51: Mean=0.3854, Std=12.2005, Min=-82.0848, Max=88.9289, RMS=12.2066
  Col 52: Mean=0.2822, Std=8.4483, Min=-81.3561, Max=60.7704, RMS=8.4530
  Col 53: Mean=-0.1799, Std=11.3330, Min=-55.3845, Max=75.9376, RMS=11.3344
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0094, Std=5.9476, Min=-22.0850, Max=23.8182, RMS=5.9476
  Col 58: Mean=0.0782, Std=3.5578, Min=-18.9973, Max=18.9559, RMS=3.5587
  Col 59: Mean=-0.4330, Std=6.6042, Min=-16.1239, Max=44.0687, RMS=6.6184
  Col 60: Mean=0.1947, Std=7.2783, Min=-18.5319, Max=44.2316, RMS=7.2809
