--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0133, Std=1.4820, Min=-4.6158, Max=4.4405, RMS=1.4820
  Col 1: Mean=0.0380, Std=1.7984, Min=-8.3912, Max=5.2994, RMS=1.7988
  Col 2: Mean=-0.4134, Std=2.6431, Min=-9.1421, Max=6.9887, RMS=2.6753
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0016, Std=1.1043, Min=-2.3047, Max=2.5268, RMS=1.1043
  Col 13: Mean=-0.0019, Std=0.9333, Min=-3.0766, Max=2.5600, RMS=0.9333
  Col 14: Mean=-0.0028, Std=1.9374, Min=-4.7237, Max=5.9627, RMS=1.9374
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0180, Std=0.7518, Min=-2.3297, Max=2.0458, RMS=0.7520
  Col 19: Mean=-0.0025, Std=0.5323, Min=-1.6208, Max=1.5735, RMS=0.5323
  Col 20: Mean=-0.0147, Std=1.8329, Min=-3.7648, Max=7.7034, RMS=1.8329
  Col 21: Mean=-0.0006, Std=1.1876, Min=-2.5421, Max=3.4477, RMS=1.1876
  Col 22: Mean=-0.0010, Std=0.9169, Min=-4.8634, Max=2.4466, RMS=0.9169
  Col 23: Mean=0.0020, Std=2.0477, Min=-4.5685, Max=8.0347, RMS=2.0477
  Col 24: Mean=-0.0055, Std=1.7631, Min=-3.7159, Max=7.9008, RMS=1.7632
  Col 25: Mean=0.0082, Std=0.8591, Min=-2.2791, Max=2.3061, RMS=0.8592
  Col 26: Mean=-0.0046, Std=2.0326, Min=-4.7616, Max=7.4451, RMS=2.0326
  Col 27: Mean=-0.0109, Std=1.7310, Min=-4.1689, Max=5.1057, RMS=1.7310
  Col 28: Mean=-0.0012, Std=1.2147, Min=-3.6486, Max=5.3260, RMS=1.2147
  Col 29: Mean=-0.0056, Std=2.0720, Min=-5.0602, Max=6.8905, RMS=2.0720
  Col 30: Mean=-0.0134, Std=2.2601, Min=-5.9277, Max=6.9804, RMS=2.2602
  Col 31: Mean=0.0073, Std=1.4023, Min=-4.1041, Max=4.2207, RMS=1.4023
  Col 32: Mean=-0.0112, Std=2.0114, Min=-5.0236, Max=6.4230, RMS=2.0115
  Col 33: Mean=0.0001, Std=1.2254, Min=-2.7269, Max=3.9069, RMS=1.2254
  Col 34: Mean=-0.0030, Std=0.8276, Min=-2.6472, Max=3.2189, RMS=0.8276
  Col 35: Mean=0.0031, Std=2.2146, Min=-4.9949, Max=8.6209, RMS=2.2146
  Col 36: Mean=0.0012, Std=1.5836, Min=-3.2389, Max=8.6865, RMS=1.5836
  Col 37: Mean=-0.0071, Std=0.8762, Min=-4.8482, Max=2.8428, RMS=0.8762
  Col 38: Mean=-0.0029, Std=2.1117, Min=-5.8290, Max=6.4229, RMS=2.1117
  Col 39: Mean=-0.0039, Std=1.4595, Min=-3.3527, Max=4.2542, RMS=1.4595
  Col 40: Mean=0.0010, Std=0.8725, Min=-2.2162, Max=2.7114, RMS=0.8725
  Col 41: Mean=-0.0029, Std=2.0040, Min=-5.1118, Max=6.4317, RMS=2.0040
  Col 42: Mean=-0.0171, Std=1.7997, Min=-4.2335, Max=4.7949, RMS=1.7998
  Col 43: Mean=-0.0149, Std=0.9447, Min=-2.8274, Max=3.1953, RMS=0.9448
  Col 44: Mean=-0.3705, Std=2.7066, Min=-9.1454, Max=6.3692, RMS=2.7319
  Col 45: Mean=-0.0258, Std=3.6142, Min=-9.4874, Max=12.0577, RMS=3.6143
  Col 46: Mean=-0.0166, Std=2.9628, Min=-12.2294, Max=9.0373, RMS=2.9629
  Col 47: Mean=0.0015, Std=5.1941, Min=-15.3946, Max=25.0922, RMS=5.1941
  Col 48: Mean=-0.0556, Std=5.5742, Min=-16.7312, Max=19.1305, RMS=5.5745
