--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Elaheh/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0062, Std=1.6151, Min=-4.0365, Max=5.0092, RMS=1.6151
  Col 1: Mean=0.0001, Std=1.9639, Min=-7.3372, Max=5.0881, RMS=1.9639
  Col 2: Mean=0.0023, Std=2.2245, Min=-5.0769, Max=7.5389, RMS=2.2245
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0044, Std=0.9640, Min=-2.4645, Max=2.4318, RMS=0.9640
  Col 13: Mean=-0.0013, Std=1.0308, Min=-3.1534, Max=2.7754, RMS=1.0308
  Col 14: Mean=-0.0010, Std=2.1815, Min=-5.0041, Max=5.8106, RMS=2.1815
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0005, Std=0.6844, Min=-1.9642, Max=2.7117, RMS=0.6844
  Col 19: Mean=-0.0021, Std=0.6674, Min=-2.3649, Max=2.2959, RMS=0.6674
  Col 20: Mean=0.0010, Std=2.0166, Min=-4.1062, Max=7.8213, RMS=2.0166
  Col 21: Mean=0.0065, Std=1.0125, Min=-3.1341, Max=3.2898, RMS=1.0125
  Col 22: Mean=-0.0015, Std=1.1576, Min=-4.8756, Max=2.9438, RMS=1.1576
  Col 23: Mean=0.0006, Std=2.2332, Min=-5.1659, Max=8.3668, RMS=2.2332
  Col 24: Mean=0.0107, Std=1.9783, Min=-5.6670, Max=5.9192, RMS=1.9783
  Col 25: Mean=0.0145, Std=1.4063, Min=-3.1481, Max=4.5120, RMS=1.4064
  Col 26: Mean=-0.0062, Std=2.2498, Min=-5.3702, Max=6.7957, RMS=2.2498
  Col 27: Mean=0.0021, Std=2.2652, Min=-5.2975, Max=6.0995, RMS=2.2652
  Col 28: Mean=0.0014, Std=1.6630, Min=-4.6854, Max=3.9223, RMS=1.6630
  Col 29: Mean=-0.0076, Std=1.9825, Min=-5.3044, Max=7.4979, RMS=1.9825
  Col 30: Mean=-0.0101, Std=3.0697, Min=-8.0083, Max=7.9706, RMS=3.0697
  Col 31: Mean=0.0119, Std=2.3358, Min=-5.6053, Max=7.7719, RMS=2.3358
  Col 32: Mean=-0.0294, Std=1.8597, Min=-4.7534, Max=5.5557, RMS=1.8599
  Col 33: Mean=0.0053, Std=1.1382, Min=-2.8401, Max=3.3758, RMS=1.1382
  Col 34: Mean=-0.0026, Std=0.9391, Min=-2.8244, Max=3.3657, RMS=0.9391
  Col 35: Mean=0.0011, Std=2.3127, Min=-6.0733, Max=7.9215, RMS=2.3127
  Col 36: Mean=0.0010, Std=1.9069, Min=-5.7005, Max=5.5051, RMS=1.9069
  Col 37: Mean=-0.0135, Std=0.9648, Min=-3.6941, Max=2.3768, RMS=0.9649
  Col 38: Mean=-0.0060, Std=2.2797, Min=-6.3954, Max=6.5070, RMS=2.2797
  Col 39: Mean=-0.0071, Std=1.9852, Min=-4.9704, Max=4.5930, RMS=1.9852
  Col 40: Mean=0.0001, Std=1.0505, Min=-3.5708, Max=2.9850, RMS=1.0505
  Col 41: Mean=-0.0036, Std=2.0635, Min=-4.7729, Max=7.6850, RMS=2.0635
  Col 42: Mean=0.0003, Std=2.7894, Min=-7.7561, Max=7.1501, RMS=2.7894
  Col 43: Mean=-0.0041, Std=1.1984, Min=-3.2270, Max=3.3665, RMS=1.1984
  Col 44: Mean=-0.0860, Std=2.1263, Min=-8.7380, Max=6.8542, RMS=2.1281
