--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0096, Std=1.2908, Min=-3.6844, Max=5.1365, RMS=1.2908
  Col 1: Mean=0.0141, Std=1.4847, Min=-3.3693, Max=4.6869, RMS=1.4848
  Col 2: Mean=0.0108, Std=1.9468, Min=-4.8534, Max=14.2643, RMS=1.9469
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0055, Std=0.5904, Min=-1.8719, Max=1.9574, RMS=0.5905
  Col 13: Mean=0.0015, Std=0.8213, Min=-2.3807, Max=2.3332, RMS=0.8214
  Col 14: Mean=0.0146, Std=1.8606, Min=-3.9152, Max=9.8430, RMS=1.8606
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0186, Std=0.5660, Min=-1.3084, Max=1.8768, RMS=0.5663
  Col 19: Mean=-0.0005, Std=0.6473, Min=-1.6440, Max=1.5609, RMS=0.6473
  Col 20: Mean=0.0102, Std=1.8963, Min=-3.9578, Max=12.0302, RMS=1.8963
  Col 21: Mean=0.0098, Std=0.8163, Min=-2.0510, Max=3.4055, RMS=0.8164
  Col 22: Mean=0.0075, Std=0.8199, Min=-2.1987, Max=2.0953, RMS=0.8200
  Col 23: Mean=-0.0309, Std=2.0068, Min=-8.7027, Max=11.3947, RMS=2.0070
  Col 24: Mean=-0.0107, Std=0.7513, Min=-2.4846, Max=1.7732, RMS=0.7514
  Col 25: Mean=0.0147, Std=1.5103, Min=-4.4157, Max=5.4611, RMS=1.5104
  Col 26: Mean=-0.0010, Std=2.0944, Min=-4.7018, Max=10.0066, RMS=2.0944
  Col 27: Mean=0.0511, Std=0.8161, Min=-2.0039, Max=2.3670, RMS=0.8177
  Col 28: Mean=-0.0114, Std=1.7842, Min=-4.4197, Max=5.1483, RMS=1.7843
  Col 29: Mean=0.0166, Std=2.1039, Min=-4.0504, Max=11.1879, RMS=2.1040
  Col 30: Mean=0.0862, Std=1.2352, Min=-3.0510, Max=4.4158, RMS=1.2382
  Col 31: Mean=-0.0617, Std=2.6467, Min=-5.9416, Max=8.1623, RMS=2.6475
  Col 32: Mean=0.0088, Std=2.1639, Min=-4.3276, Max=9.9189, RMS=2.1639
  Col 33: Mean=0.0038, Std=0.6638, Min=-1.9578, Max=1.9664, RMS=0.6638
  Col 34: Mean=-0.0012, Std=0.9156, Min=-2.7548, Max=2.5822, RMS=0.9156
  Col 35: Mean=-0.0269, Std=1.9504, Min=-8.7349, Max=10.0919, RMS=1.9506
  Col 36: Mean=-0.0049, Std=0.6712, Min=-1.7221, Max=3.6213, RMS=0.6712
  Col 37: Mean=-0.0255, Std=1.6446, Min=-3.9149, Max=5.5052, RMS=1.6448
  Col 38: Mean=-0.0367, Std=2.1840, Min=-8.6797, Max=10.1624, RMS=2.1843
  Col 39: Mean=-0.0476, Std=0.8744, Min=-2.0886, Max=3.1735, RMS=0.8756
  Col 40: Mean=-0.0215, Std=2.0325, Min=-4.6166, Max=6.7621, RMS=2.0326
  Col 41: Mean=-0.0411, Std=2.1746, Min=-8.6853, Max=10.2776, RMS=2.1749
  Col 42: Mean=-0.0816, Std=1.1644, Min=-3.1483, Max=3.4235, RMS=1.1673
  Col 43: Mean=-0.0267, Std=2.8264, Min=-8.3069, Max=10.7986, RMS=2.8266
  Col 44: Mean=-0.0063, Std=2.1938, Min=-4.2748, Max=9.9019, RMS=2.1938
  Col 45: Mean=0.0055, Std=2.1611, Min=-9.5300, Max=9.4045, RMS=2.1611
  Col 46: Mean=-0.0017, Std=2.7861, Min=-9.5030, Max=10.0121, RMS=2.7861
  Col 47: Mean=0.0087, Std=3.0576, Min=-7.8624, Max=15.9743, RMS=3.0576
  Col 48: Mean=-0.0198, Std=3.1024, Min=-16.4702, Max=18.0827, RMS=3.1025
  Col 49: Mean=-0.0226, Std=4.4353, Min=-25.9911, Max=12.5562, RMS=4.4354
  Col 50: Mean=-0.1013, Std=2.4664, Min=-8.5972, Max=18.4787, RMS=2.4685
  Col 51: Mean=-0.0446, Std=3.5739, Min=-20.2102, Max=16.3667, RMS=3.5742
  Col 52: Mean=-0.0389, Std=6.9633, Min=-23.9999, Max=24.6285, RMS=6.9634
  Col 53: Mean=-0.1132, Std=4.6563, Min=-19.0935, Max=14.0995, RMS=4.6577
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0172, Std=2.2723, Min=-11.1099, Max=8.5889, RMS=2.2724
  Col 58: Mean=0.0090, Std=2.5934, Min=-6.5059, Max=8.1424, RMS=2.5934
  Col 59: Mean=0.0054, Std=2.9179, Min=-9.6816, Max=14.7552, RMS=2.9179
  Col 60: Mean=0.0227, Std=3.0619, Min=-17.2076, Max=14.9313, RMS=3.0620
  Col 61: Mean=-0.0336, Std=4.6389, Min=-22.6094, Max=11.5007, RMS=4.6390
  Col 62: Mean=-0.0868, Std=2.5622, Min=-7.3335, Max=18.1674, RMS=2.5637
  Col 63: Mean=0.0314, Std=3.4776, Min=-14.6544, Max=16.0184, RMS=3.4777
