--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0005, Std=1.5137, Min=-4.8918, Max=8.4564, RMS=1.5137
  Col 1: Mean=0.0154, Std=1.5610, Min=-4.8699, Max=5.5265, RMS=1.5611
  Col 2: Mean=0.0147, Std=2.1228, Min=-5.8339, Max=10.5571, RMS=2.1229
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0073, Std=0.5904, Min=-2.0704, Max=1.8926, RMS=0.5905
  Col 13: Mean=0.0039, Std=0.8954, Min=-2.3427, Max=2.5476, RMS=0.8954
  Col 14: Mean=0.0153, Std=1.9763, Min=-4.4678, Max=8.1801, RMS=1.9764
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0081, Std=0.5031, Min=-1.3114, Max=1.8045, RMS=0.5032
  Col 19: Mean=0.0086, Std=0.6909, Min=-2.1363, Max=1.8001, RMS=0.6910
  Col 20: Mean=0.0143, Std=1.9836, Min=-4.3211, Max=10.0656, RMS=1.9836
  Col 21: Mean=-0.0061, Std=0.7832, Min=-1.9245, Max=3.0748, RMS=0.7832
  Col 22: Mean=0.0020, Std=0.8824, Min=-2.4546, Max=2.4243, RMS=0.8824
  Col 23: Mean=0.0177, Std=2.0607, Min=-4.8313, Max=9.3516, RMS=2.0608
  Col 24: Mean=-0.0128, Std=0.6374, Min=-2.9773, Max=1.4504, RMS=0.6376
  Col 25: Mean=0.0004, Std=1.4566, Min=-4.0535, Max=6.3275, RMS=1.4566
  Col 26: Mean=0.0096, Std=2.1588, Min=-4.2090, Max=8.9007, RMS=2.1588
  Col 27: Mean=-0.0073, Std=0.7599, Min=-2.8404, Max=2.7418, RMS=0.7599
  Col 28: Mean=-0.0271, Std=1.6746, Min=-4.0701, Max=5.0251, RMS=1.6749
  Col 29: Mean=0.0126, Std=2.1336, Min=-4.7951, Max=9.5220, RMS=2.1337
  Col 30: Mean=-0.0141, Std=1.1313, Min=-3.0010, Max=4.2289, RMS=1.1314
  Col 31: Mean=-0.0501, Std=2.5811, Min=-5.6866, Max=8.9183, RMS=2.5816
  Col 32: Mean=0.0064, Std=2.1874, Min=-4.9987, Max=8.7371, RMS=2.1874
  Col 33: Mean=-0.0072, Std=0.6344, Min=-2.4675, Max=2.0054, RMS=0.6345
  Col 34: Mean=0.0023, Std=0.9616, Min=-2.5658, Max=3.9999, RMS=0.9616
  Col 35: Mean=0.0194, Std=2.0346, Min=-4.5081, Max=9.0259, RMS=2.0347
  Col 36: Mean=0.0007, Std=0.5879, Min=-1.6830, Max=2.2023, RMS=0.5879
  Col 37: Mean=0.0022, Std=1.4282, Min=-4.1265, Max=5.2011, RMS=1.4282
  Col 38: Mean=0.0107, Std=2.0899, Min=-5.6662, Max=8.3818, RMS=2.0899
  Col 39: Mean=-0.0095, Std=0.7968, Min=-1.9405, Max=2.9006, RMS=0.7968
  Col 40: Mean=-0.0008, Std=1.9797, Min=-4.9222, Max=6.4726, RMS=1.9797
  Col 41: Mean=0.0135, Std=1.9419, Min=-5.2088, Max=8.0389, RMS=1.9419
  Col 42: Mean=-0.0098, Std=1.0214, Min=-2.5857, Max=4.1746, RMS=1.0215
  Col 43: Mean=-0.0045, Std=2.7760, Min=-7.4367, Max=10.5868, RMS=2.7760
  Col 44: Mean=0.0073, Std=2.0034, Min=-5.5159, Max=7.4625, RMS=2.0034
  Col 45: Mean=0.0135, Std=2.3949, Min=-8.0436, Max=9.3786, RMS=2.3950
  Col 46: Mean=0.0013, Std=2.7651, Min=-8.8696, Max=9.6940, RMS=2.7651
  Col 47: Mean=0.0134, Std=3.2863, Min=-10.5943, Max=18.5962, RMS=3.2863
  Col 48: Mean=-0.0251, Std=3.0426, Min=-17.0713, Max=14.2748, RMS=3.0427
  Col 49: Mean=-0.0165, Std=4.4378, Min=-23.0126, Max=12.6256, RMS=4.4378
  Col 50: Mean=-0.0871, Std=2.4457, Min=-10.2772, Max=16.0041, RMS=2.4473
  Col 51: Mean=-0.0546, Std=3.7411, Min=-22.8637, Max=28.0451, RMS=3.7415
  Col 52: Mean=-0.0431, Std=6.8154, Min=-31.7171, Max=25.0029, RMS=6.8156
  Col 53: Mean=-0.1033, Std=4.9126, Min=-21.6470, Max=15.2704, RMS=4.9136
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0027, Std=2.1778, Min=-8.3229, Max=7.5111, RMS=2.1778
  Col 58: Mean=0.0127, Std=2.7323, Min=-9.9659, Max=8.0902, RMS=2.7323
  Col 59: Mean=0.0035, Std=3.2996, Min=-12.8279, Max=18.0612, RMS=3.2996
  Col 60: Mean=0.0282, Std=3.1845, Min=-17.0306, Max=20.5402, RMS=3.1846
  Col 61: Mean=-0.0223, Std=4.7522, Min=-21.7555, Max=11.8364, RMS=4.7522
  Col 62: Mean=-0.0823, Std=2.8460, Min=-8.9166, Max=20.0587, RMS=2.8472
  Col 63: Mean=0.0576, Std=3.7191, Min=-21.4996, Max=20.9185, RMS=3.7195
  Col 64: Mean=-0.0523, Std=7.1257, Min=-30.5337, Max=23.4505, RMS=7.1259
  Col 65: Mean=-0.1150, Std=5.8549, Min=-28.1058, Max=27.2572, RMS=5.8561
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
