--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=1.3724, Min=-4.7651, Max=3.8814, RMS=1.3724
  Col 1: Mean=-0.0001, Std=1.6671, Min=-4.2415, Max=5.4428, RMS=1.6671
  Col 2: Mean=-0.0082, Std=2.3289, Min=-4.9244, Max=7.9843, RMS=2.3289
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0054, Std=0.7205, Min=-2.1914, Max=2.3884, RMS=0.7205
  Col 13: Mean=0.0055, Std=1.2656, Min=-3.7091, Max=3.1451, RMS=1.2656
  Col 14: Mean=-0.0121, Std=2.0828, Min=-3.9381, Max=7.3381, RMS=2.0829
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0058, Std=0.6443, Min=-1.8634, Max=1.7474, RMS=0.6443
  Col 19: Mean=0.0177, Std=0.8032, Min=-1.7331, Max=2.0913, RMS=0.8034
  Col 20: Mean=-0.3949, Std=2.5723, Min=-8.9841, Max=6.8988, RMS=2.6024
  Col 21: Mean=0.0106, Std=0.8258, Min=-4.0416, Max=1.6335, RMS=0.8259
  Col 22: Mean=0.0078, Std=1.2189, Min=-4.1050, Max=3.1140, RMS=1.2189
  Col 23: Mean=-0.0101, Std=1.8525, Min=-3.1681, Max=6.2122, RMS=1.8525
  Col 24: Mean=0.0133, Std=0.6038, Min=-1.4259, Max=1.7912, RMS=0.6040
  Col 25: Mean=0.0409, Std=1.3516, Min=-4.8576, Max=2.6867, RMS=1.3522
