--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0256, Std=1.5059, Min=-6.9542, Max=3.5332, RMS=1.5062
  Col 1: Mean=-0.0075, Std=1.5316, Min=-5.6721, Max=5.8316, RMS=1.5316
  Col 2: Mean=-0.0047, Std=4.1140, Min=-7.2474, Max=19.2004, RMS=4.1140
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0013, Std=0.9429, Min=-3.9610, Max=3.2163, RMS=0.9429
  Col 13: Mean=-0.0143, Std=0.8800, Min=-2.9671, Max=2.8055, RMS=0.8801
  Col 14: Mean=0.0039, Std=3.6129, Min=-6.6554, Max=14.9108, RMS=3.6129
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0063, Std=0.8297, Min=-2.9554, Max=2.2162, RMS=0.8297
  Col 19: Mean=-0.0253, Std=0.7134, Min=-2.8173, Max=2.0870, RMS=0.7138
  Col 20: Mean=0.0038, Std=3.5328, Min=-6.3780, Max=14.2981, RMS=3.5328
  Col 21: Mean=0.0020, Std=0.8516, Min=-3.0960, Max=3.1765, RMS=0.8516
  Col 22: Mean=-0.0171, Std=1.1060, Min=-3.1203, Max=3.8484, RMS=1.1061
  Col 23: Mean=0.0062, Std=3.7110, Min=-6.6670, Max=15.4997, RMS=3.7110
  Col 24: Mean=-0.0094, Std=1.7759, Min=-9.4879, Max=6.0620, RMS=1.7759
  Col 25: Mean=-0.0278, Std=1.1135, Min=-3.4049, Max=3.4073, RMS=1.1139
  Col 26: Mean=-0.0042, Std=3.7907, Min=-6.9862, Max=14.4852, RMS=3.7907
  Col 27: Mean=-0.0083, Std=1.2813, Min=-3.4260, Max=3.6389, RMS=1.2813
  Col 28: Mean=-0.0305, Std=1.2792, Min=-3.0831, Max=3.7510, RMS=1.2796
  Col 29: Mean=-0.0038, Std=3.8933, Min=-6.5553, Max=15.0056, RMS=3.8933
  Col 30: Mean=-0.0058, Std=1.5791, Min=-4.2285, Max=5.5465, RMS=1.5792
  Col 31: Mean=-0.0334, Std=1.7770, Min=-3.6471, Max=5.0660, RMS=1.7773
  Col 32: Mean=-0.0085, Std=3.6924, Min=-6.0200, Max=14.2614, RMS=3.6924
  Col 33: Mean=0.0017, Std=1.1424, Min=-6.0736, Max=3.5754, RMS=1.1424
  Col 34: Mean=-0.0135, Std=0.8855, Min=-3.9283, Max=2.9712, RMS=0.8856
  Col 35: Mean=0.0054, Std=3.6701, Min=-6.2337, Max=13.1804, RMS=3.6701
  Col 36: Mean=0.0002, Std=1.7641, Min=-9.7210, Max=5.0851, RMS=1.7641
  Col 37: Mean=-0.0018, Std=0.8582, Min=-3.0461, Max=3.1927, RMS=0.8582
  Col 38: Mean=-0.0028, Std=3.6956, Min=-6.9438, Max=13.4550, RMS=3.6956
  Col 39: Mean=0.0147, Std=1.4958, Min=-6.2624, Max=3.5229, RMS=1.4959
  Col 40: Mean=-0.0068, Std=0.8136, Min=-2.2930, Max=3.4075, RMS=0.8137
  Col 41: Mean=0.0016, Std=3.7630, Min=-6.1569, Max=13.2791, RMS=3.7630
  Col 42: Mean=0.0220, Std=1.7934, Min=-7.0836, Max=5.4805, RMS=1.7935
  Col 43: Mean=-0.0089, Std=1.0529, Min=-3.0490, Max=3.4151, RMS=1.0530
  Col 44: Mean=-0.0043, Std=3.8150, Min=-6.1967, Max=14.1986, RMS=3.8150
  Col 45: Mean=-0.0364, Std=2.7629, Min=-11.4857, Max=7.3503, RMS=2.7631
  Col 46: Mean=0.0034, Std=2.7944, Min=-10.6481, Max=14.8829, RMS=2.7944
  Col 47: Mean=-0.0071, Std=5.0404, Min=-13.5670, Max=24.2104, RMS=5.0404
  Col 48: Mean=0.0768, Std=4.9220, Min=-18.1700, Max=16.8344, RMS=4.9226
  Col 49: Mean=-0.0465, Std=3.0026, Min=-16.4055, Max=9.7585, RMS=3.0029
  Col 50: Mean=-0.1052, Std=4.0977, Min=-10.5267, Max=19.3132, RMS=4.0991
  Col 51: Mean=0.1083, Std=5.9533, Min=-20.7109, Max=20.2262, RMS=5.9543
  Col 52: Mean=-0.0953, Std=5.9600, Min=-50.7342, Max=45.5287, RMS=5.9608
  Col 53: Mean=-0.0333, Std=6.8430, Min=-31.3655, Max=49.9735, RMS=6.8430
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0291, Std=2.6395, Min=-9.2874, Max=6.8850, RMS=2.6397
  Col 58: Mean=0.0163, Std=2.6264, Min=-11.5322, Max=13.1932, RMS=2.6264
  Col 59: Mean=-0.0047, Std=4.8432, Min=-12.3558, Max=23.6840, RMS=4.8432
  Col 60: Mean=0.1109, Std=5.3577, Min=-21.9008, Max=28.7167, RMS=5.3588
  Col 61: Mean=-0.0415, Std=3.6615, Min=-12.6802, Max=14.6687, RMS=3.6618
  Col 62: Mean=-0.2837, Std=4.0798, Min=-9.2140, Max=25.7257, RMS=4.0896
  Col 63: Mean=0.0330, Std=6.1256, Min=-23.1816, Max=24.8517, RMS=6.1257
  Col 64: Mean=0.0320, Std=5.7185, Min=-34.1447, Max=45.7786, RMS=5.7186
  Col 65: Mean=-0.0193, Std=8.3315, Min=-23.2542, Max=80.0247, RMS=8.3315
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-23.2508, Std=10.8607, Min=-66.9237, Max=7.7890, RMS=25.6623
  Col 1: Mean=-79.1557, Std=2.9058, Min=-86.6503, Max=-72.2766, RMS=79.2090
  Col 2: Mean=-3.7529, Std=10.6784, Min=-35.0406, Max=37.6194, RMS=11.3187
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-1.8127, Std=4.5544, Min=-17.3076, Max=8.3011, RMS=4.9019
  Col 13: Mean=-64.5072, Std=3.0945, Min=-72.5897, Max=-57.6691, RMS=64.5814
  Col 14: Mean=156.6127, Std=5.6046, Min=142.0719, Max=176.2699, RMS=156.7130
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-93.2452, Std=9.5795, Min=-122.3278, Max=-84.6904, RMS=93.7360
  Col 19: Mean=-0.9885, Std=1.7632, Min=-4.7072, Max=4.9696, RMS=2.0214
  Col 20: Mean=81.6720, Std=3.3554, Min=72.0353, Max=89.6601, RMS=81.7409
  Col 21: Mean=65.9553, Std=3.1176, Min=58.3531, Max=75.1109, RMS=66.0289
  Col 22: Mean=0.4760, Std=2.1559, Min=-4.9325, Max=6.1916, RMS=2.2078
  Col 23: Mean=-110.7614, Std=3.0464, Min=-117.6917, Max=-102.6466, RMS=110.8033
  Col 24: Mean=-47.1732, Std=22.4900, Min=-91.1579, Max=35.2019, RMS=52.2601
  Col 25: Mean=-82.0979, Std=2.2196, Min=-88.1828, Max=-77.4413, RMS=82.1279
  Col 26: Mean=111.5980, Std=23.6315, Min=28.7938, Max=168.9924, RMS=114.0726
  Col 27: Mean=-9.7019, Std=9.8097, Min=-33.3268, Max=17.5819, RMS=13.7970
  Col 28: Mean=-71.4050, Std=3.2521, Min=-78.2747, Max=-64.4032, RMS=71.4790
  Col 29: Mean=104.9919, Std=13.1370, Min=78.4905, Max=143.2372, RMS=105.8105
  Col 30: Mean=75.4175, Std=3.2614, Min=68.7009, Max=85.3025, RMS=75.4880
  Col 31: Mean=-7.0259, Std=4.8527, Min=-17.9049, Max=4.6221, RMS=8.5388
  Col 32: Mean=-30.7005, Std=7.4956, Min=-49.1070, Max=-12.8118, RMS=31.6023
