--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0015, Std=1.7524, Min=-5.3394, Max=6.8532, RMS=1.7524
  Col 1: Mean=0.0005, Std=1.7488, Min=-6.9009, Max=6.0694, RMS=1.7488
  Col 2: Mean=-0.0010, Std=3.4386, Min=-7.0674, Max=9.9454, RMS=3.4386
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0162, Std=1.2071, Min=-2.5450, Max=4.2141, RMS=1.2072
  Col 13: Mean=0.0188, Std=1.1307, Min=-3.8594, Max=2.9261, RMS=1.1308
  Col 14: Mean=-0.0030, Std=3.6228, Min=-7.0399, Max=9.9401, RMS=3.6228
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0064, Std=0.7454, Min=-1.6234, Max=3.3551, RMS=0.7454
  Col 19: Mean=0.0217, Std=1.1109, Min=-2.7816, Max=2.4637, RMS=1.1111
  Col 20: Mean=0.0012, Std=3.2870, Min=-6.7663, Max=9.1282, RMS=3.2870
  Col 21: Mean=0.0181, Std=1.1732, Min=-3.1778, Max=3.9637, RMS=1.1734
