--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0032, Std=1.6332, Min=-4.5997, Max=5.4260, RMS=1.6332
  Col 1: Mean=0.0114, Std=1.5836, Min=-5.2047, Max=5.8901, RMS=1.5837
  Col 2: Mean=0.0014, Std=3.3387, Min=-6.7650, Max=8.2996, RMS=3.3387
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0041, Std=1.1642, Min=-2.1132, Max=3.8303, RMS=1.1642
  Col 13: Mean=0.0085, Std=1.0492, Min=-3.2651, Max=2.6004, RMS=1.0493
  Col 14: Mean=0.0019, Std=3.2847, Min=-6.3339, Max=8.4468, RMS=3.2847
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0002, Std=0.7189, Min=-1.7913, Max=3.2439, RMS=0.7189
  Col 19: Mean=0.0111, Std=0.9117, Min=-2.1508, Max=2.5520, RMS=0.9118
  Col 20: Mean=0.0082, Std=3.0037, Min=-5.6853, Max=8.5876, RMS=3.0037
  Col 21: Mean=0.0050, Std=1.1347, Min=-2.3417, Max=3.8117, RMS=1.1347
  Col 22: Mean=0.0088, Std=1.2178, Min=-4.9221, Max=3.6498, RMS=1.2179
  Col 23: Mean=0.0036, Std=2.9426, Min=-5.1847, Max=8.4229, RMS=2.9426
  Col 24: Mean=0.0067, Std=1.8237, Min=-4.6401, Max=6.7602, RMS=1.8237
  Col 25: Mean=0.0037, Std=1.0186, Min=-3.6181, Max=3.2480, RMS=1.0186
  Col 26: Mean=-0.0033, Std=3.2155, Min=-5.9073, Max=7.9551, RMS=3.2155
  Col 27: Mean=-0.0033, Std=1.9191, Min=-4.9637, Max=6.7747, RMS=1.9191
  Col 28: Mean=0.0134, Std=1.0009, Min=-3.2189, Max=2.6752, RMS=1.0009
  Col 29: Mean=-0.0036, Std=3.0845, Min=-6.2047, Max=7.3844, RMS=3.0845
  Col 30: Mean=-0.0784, Std=2.3813, Min=-6.2549, Max=8.3610, RMS=2.3826
  Col 31: Mean=0.0469, Std=1.3511, Min=-3.4650, Max=4.2512, RMS=1.3519
  Col 32: Mean=-0.2216, Std=3.2846, Min=-9.2249, Max=7.8294, RMS=3.2920
  Col 33: Mean=0.0003, Std=1.3090, Min=-3.1554, Max=3.9838, RMS=1.3090
  Col 34: Mean=0.0087, Std=1.0876, Min=-3.8312, Max=3.2356, RMS=1.0877
  Col 35: Mean=0.0039, Std=2.9285, Min=-5.0107, Max=8.1101, RMS=2.9285
  Col 36: Mean=0.0002, Std=1.7192, Min=-4.6777, Max=5.7450, RMS=1.7192
  Col 37: Mean=-0.0004, Std=0.8336, Min=-2.5724, Max=2.0789, RMS=0.8336
  Col 38: Mean=0.0081, Std=3.0412, Min=-6.1663, Max=8.4465, RMS=3.0412
  Col 39: Mean=-0.0262, Std=2.3629, Min=-5.1884, Max=6.6446, RMS=2.3631
  Col 40: Mean=-0.0163, Std=1.0607, Min=-4.4254, Max=2.6902, RMS=1.0608
  Col 41: Mean=0.0159, Std=2.7867, Min=-4.9289, Max=9.7698, RMS=2.7868
  Col 42: Mean=-0.0428, Std=3.0553, Min=-10.5186, Max=8.0994, RMS=3.0556
  Col 43: Mean=-0.0273, Std=1.4371, Min=-4.2803, Max=3.1985, RMS=1.4374
  Col 44: Mean=0.0079, Std=2.7203, Min=-4.7207, Max=9.7682, RMS=2.7203
  Col 45: Mean=-0.0237, Std=3.0283, Min=-9.6220, Max=14.0100, RMS=3.0284
  Col 46: Mean=0.0111, Std=2.4550, Min=-9.7065, Max=7.6213, RMS=2.4550
  Col 47: Mean=0.0098, Std=3.8357, Min=-9.2509, Max=17.4813, RMS=3.8357
  Col 48: Mean=-0.0761, Std=4.7257, Min=-15.1577, Max=16.3570, RMS=4.7263
  Col 49: Mean=0.0586, Std=2.7046, Min=-7.2053, Max=17.3957, RMS=2.7053
  Col 50: Mean=-0.0692, Std=4.7538, Min=-11.3947, Max=29.1493, RMS=4.7543
  Col 51: Mean=-0.1614, Std=6.5841, Min=-17.5518, Max=30.6971, RMS=6.5861
  Col 52: Mean=0.0471, Std=3.9577, Min=-22.9933, Max=26.8114, RMS=3.9580
  Col 53: Mean=-0.0317, Std=6.3444, Min=-17.7752, Max=26.4674, RMS=6.3445
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0181, Std=2.9831, Min=-9.8712, Max=11.1859, RMS=2.9831
  Col 58: Mean=0.0073, Std=2.3732, Min=-7.3095, Max=6.2083, RMS=2.3732
  Col 59: Mean=0.0127, Std=3.4857, Min=-8.1589, Max=13.8524, RMS=3.4858
  Col 60: Mean=-0.0590, Std=4.9975, Min=-15.7456, Max=22.5481, RMS=4.9978
  Col 61: Mean=0.0061, Std=3.2729, Min=-8.9730, Max=11.9881, RMS=3.2729
  Col 62: Mean=-0.0754, Std=4.4014, Min=-9.9580, Max=22.1727, RMS=4.4020
  Col 63: Mean=-0.1372, Std=7.2208, Min=-27.3359, Max=44.2714, RMS=7.2221
  Col 64: Mean=0.0815, Std=4.4542, Min=-36.6363, Max=16.5698, RMS=4.4550
  Col 65: Mean=-0.0228, Std=6.4565, Min=-14.7014, Max=39.8097, RMS=6.4565
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-19.6224, Std=12.0453, Min=-46.2915, Max=5.8186, RMS=23.0245
  Col 1: Mean=-73.9526, Std=2.2683, Min=-78.7030, Max=-68.6707, RMS=73.9874
  Col 2: Mean=42.7075, Std=163.0821, Min=-179.7788, Max=179.9605, RMS=168.5814
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-7.8457, Std=8.7469, Min=-27.7325, Max=25.2983, RMS=11.7500
  Col 13: Mean=-74.3144, Std=5.1380, Min=-84.7615, Max=-62.2933, RMS=74.4918
  Col 14: Mean=-12.8148, Std=9.9812, Min=-47.1524, Max=12.4859, RMS=16.2432
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-95.2496, Std=4.9940, Min=-114.3667, Max=-86.8795, RMS=95.3804
  Col 19: Mean=-1.2177, Std=2.8440, Min=-5.8076, Max=5.2359, RMS=3.0937
  Col 20: Mean=-91.3994, Std=5.8891, Min=-101.9180, Max=-76.2573, RMS=91.5890
  Col 21: Mean=55.8778, Std=5.6100, Min=44.8815, Max=69.7317, RMS=56.1587
  Col 22: Mean=3.6196, Std=2.1734, Min=-1.7903, Max=9.7181, RMS=4.2219
  Col 23: Mean=76.4346, Std=4.2982, Min=68.2404, Max=86.6245, RMS=76.5553
  Col 24: Mean=-10.2930, Std=43.6926, Min=-101.8222, Max=55.3628, RMS=44.8886
  Col 25: Mean=-82.6123, Std=2.3422, Min=-88.9298, Max=-76.5796, RMS=82.6455
  Col 26: Mean=-94.4185, Std=48.1671, Min=-173.1140, Max=3.9227, RMS=105.9950
  Col 27: Mean=0.8950, Std=24.3838, Min=-44.0551, Max=59.8088, RMS=24.4002
  Col 28: Mean=-74.4424, Std=3.0420, Min=-79.2351, Max=-66.0423, RMS=74.5045
