--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/walk/Run_4
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0006, Std=2.6891, Min=-8.6564, Max=6.2487, RMS=2.6891
  Col 1: Mean=-0.0042, Std=2.4710, Min=-8.0337, Max=7.1729, RMS=2.4710
  Col 2: Mean=0.0056, Std=3.0485, Min=-6.6093, Max=9.9951, RMS=3.0485
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0282, Std=1.1557, Min=-3.2136, Max=4.0631, RMS=1.1561
  Col 13: Mean=-0.0106, Std=0.8876, Min=-2.4768, Max=2.3634, RMS=0.8877
  Col 14: Mean=-0.5661, Std=3.6131, Min=-9.2401, Max=8.2056, RMS=3.6571
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0036, Std=0.6200, Min=-1.4003, Max=3.5722, RMS=0.6200
  Col 19: Mean=-0.0009, Std=0.4645, Min=-1.7455, Max=1.8864, RMS=0.4645
