--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eleonora/imu/walk/Run_5
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0014, Std=2.8828, Min=-10.1940, Max=6.2818, RMS=2.8828
  Col 1: Mean=-0.0060, Std=2.6143, Min=-7.0112, Max=7.1135, RMS=2.6143
  Col 2: Mean=0.0087, Std=3.2642, Min=-7.2906, Max=9.1499, RMS=3.2642
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0177, Std=1.3049, Min=-3.8915, Max=5.7102, RMS=1.3050
  Col 13: Mean=-0.0205, Std=1.0856, Min=-2.5412, Max=3.0459, RMS=1.0858
  Col 14: Mean=-0.4183, Std=3.7078, Min=-9.3982, Max=8.6661, RMS=3.7313
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0134, Std=0.6288, Min=-1.6319, Max=2.9810, RMS=0.6289
  Col 19: Mean=-0.0023, Std=0.4346, Min=-1.5456, Max=1.2790, RMS=0.4346
  Col 20: Mean=0.0002, Std=2.9137, Min=-4.6510, Max=9.9427, RMS=2.9137
  Col 21: Mean=-0.0235, Std=1.2535, Min=-3.6789, Max=4.7012, RMS=1.2537
  Col 22: Mean=-0.0039, Std=1.4970, Min=-4.8897, Max=6.0444, RMS=1.4970
  Col 23: Mean=0.0042, Std=3.1853, Min=-5.8799, Max=10.7188, RMS=3.1853
  Col 24: Mean=-0.0197, Std=2.6847, Min=-7.6717, Max=7.1072, RMS=2.6848
  Col 25: Mean=-0.0237, Std=1.0944, Min=-3.2902, Max=4.1675, RMS=1.0946
  Col 26: Mean=-0.0119, Std=2.4399, Min=-5.9867, Max=6.0681, RMS=2.4400
  Col 27: Mean=-0.0126, Std=5.3020, Min=-11.2040, Max=10.6864, RMS=5.3021
  Col 28: Mean=-0.0150, Std=1.1108, Min=-3.4571, Max=3.1721, RMS=1.1109
  Col 29: Mean=-0.0226, Std=1.9737, Min=-5.4824, Max=5.8896, RMS=1.9738
