--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0027, Std=1.7125, Min=-7.7599, Max=12.5763, RMS=1.7125
  Col 1: Mean=-0.0124, Std=1.5591, Min=-9.2394, Max=3.3371, RMS=1.5591
  Col 2: Mean=0.0071, Std=2.4201, Min=-6.3596, Max=9.5232, RMS=2.4202
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0003, Std=1.0524, Min=-2.7255, Max=5.0830, RMS=1.0524
  Col 13: Mean=0.0022, Std=1.0039, Min=-3.7225, Max=2.0733, RMS=1.0040
  Col 14: Mean=0.0146, Std=2.2075, Min=-5.1862, Max=8.3325, RMS=2.2076
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0103, Std=1.1982, Min=-2.8685, Max=3.8647, RMS=1.1983
  Col 19: Mean=0.0047, Std=0.8482, Min=-2.1920, Max=2.4493, RMS=0.8482
  Col 20: Mean=-0.3330, Std=2.7714, Min=-8.8195, Max=11.7491, RMS=2.7913
  Col 21: Mean=-0.0001, Std=0.9999, Min=-2.2505, Max=4.4351, RMS=0.9999
  Col 22: Mean=0.0071, Std=1.3242, Min=-5.3982, Max=3.4290, RMS=1.3242
  Col 23: Mean=0.0142, Std=2.6106, Min=-5.7236, Max=10.7216, RMS=2.6107
  Col 24: Mean=0.0109, Std=1.6091, Min=-6.5142, Max=6.5469, RMS=1.6091
  Col 25: Mean=0.0124, Std=1.5372, Min=-5.8841, Max=4.0396, RMS=1.5373
  Col 26: Mean=0.0104, Std=2.5625, Min=-5.3455, Max=8.8900, RMS=2.5626
  Col 27: Mean=-0.0279, Std=1.5158, Min=-5.0135, Max=6.5420, RMS=1.5160
  Col 28: Mean=0.0158, Std=1.2967, Min=-3.6923, Max=3.7542, RMS=1.2968
  Col 29: Mean=0.0135, Std=3.0468, Min=-6.3018, Max=11.4783, RMS=3.0468
  Col 30: Mean=-0.0465, Std=2.2099, Min=-7.5103, Max=8.6610, RMS=2.2104
  Col 31: Mean=0.0249, Std=2.0020, Min=-7.5899, Max=6.9087, RMS=2.0021
  Col 32: Mean=0.0258, Std=2.9974, Min=-6.7878, Max=12.4631, RMS=2.9975
  Col 33: Mean=-0.0040, Std=1.2946, Min=-4.2987, Max=4.9225, RMS=1.2946
  Col 34: Mean=-0.0002, Std=1.1506, Min=-5.7190, Max=3.0834, RMS=1.1506
  Col 35: Mean=0.0141, Std=2.6553, Min=-5.9376, Max=14.0003, RMS=2.6553
  Col 36: Mean=-0.0121, Std=1.0678, Min=-3.1671, Max=2.5827, RMS=1.0679
  Col 37: Mean=-0.0141, Std=2.0719, Min=-7.1394, Max=7.8976, RMS=2.0719
  Col 38: Mean=0.0045, Std=2.6344, Min=-5.2388, Max=11.0540, RMS=2.6344
  Col 39: Mean=-0.0007, Std=1.7473, Min=-5.9300, Max=5.8911, RMS=1.7473
  Col 40: Mean=0.0139, Std=5.2856, Min=-12.5814, Max=15.2088, RMS=5.2856
  Col 41: Mean=0.0219, Std=4.3455, Min=-10.4810, Max=16.3904, RMS=4.3455
  Col 42: Mean=-0.0212, Std=2.6051, Min=-7.4363, Max=8.2197, RMS=2.6052
  Col 43: Mean=0.0666, Std=6.8402, Min=-15.8529, Max=17.7501, RMS=6.8405
  Col 44: Mean=0.0206, Std=5.8013, Min=-16.5305, Max=21.8305, RMS=5.8013
  Col 45: Mean=0.0042, Std=2.1732, Min=-11.4649, Max=12.0464, RMS=2.1732
  Col 46: Mean=-0.0082, Std=3.3503, Min=-14.1067, Max=17.7438, RMS=3.3503
  Col 47: Mean=-0.0120, Std=4.7750, Min=-24.9155, Max=31.5689, RMS=4.7750
  Col 48: Mean=-0.0155, Std=3.5064, Min=-15.3423, Max=21.5987, RMS=3.5064
  Col 49: Mean=0.0510, Std=4.7841, Min=-21.2691, Max=16.8155, RMS=4.7844
  Col 50: Mean=-0.0730, Std=3.0742, Min=-15.4737, Max=15.8906, RMS=3.0751
  Col 51: Mean=-0.0139, Std=4.2211, Min=-16.7989, Max=24.8346, RMS=4.2212
  Col 52: Mean=0.0348, Std=8.0984, Min=-43.0501, Max=40.8718, RMS=8.0984
  Col 53: Mean=-0.0463, Std=6.7384, Min=-48.8224, Max=38.5682, RMS=6.7385
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
