--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0154, Std=1.4932, Min=-6.5486, Max=7.6441, RMS=1.4933
  Col 1: Mean=-0.0322, Std=1.4477, Min=-7.6973, Max=3.1585, RMS=1.4480
  Col 2: Mean=0.0031, Std=2.1343, Min=-4.8509, Max=8.3191, RMS=2.1343
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0285, Std=0.8921, Min=-2.3037, Max=4.0535, RMS=0.8926
  Col 13: Mean=-0.0327, Std=0.9936, Min=-3.3488, Max=2.2457, RMS=0.9942
  Col 14: Mean=0.0129, Std=1.9576, Min=-4.4956, Max=6.5549, RMS=1.9576
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0535, Std=1.1332, Min=-2.8954, Max=2.6891, RMS=1.1345
  Col 19: Mean=-0.0407, Std=0.7780, Min=-2.0952, Max=1.6399, RMS=0.7791
  Col 20: Mean=-0.1277, Std=2.2627, Min=-8.9998, Max=7.7501, RMS=2.2663
  Col 21: Mean=-0.0244, Std=0.9735, Min=-2.4051, Max=3.1755, RMS=0.9738
  Col 22: Mean=-0.0281, Std=1.2968, Min=-5.7625, Max=2.8882, RMS=1.2971
  Col 23: Mean=0.0126, Std=2.2571, Min=-4.5036, Max=8.7914, RMS=2.2572
  Col 24: Mean=-0.0289, Std=1.3423, Min=-3.7659, Max=5.6871, RMS=1.3426
  Col 25: Mean=-0.0146, Std=1.7559, Min=-4.9698, Max=3.9038, RMS=1.7560
  Col 26: Mean=0.0102, Std=2.3863, Min=-4.3813, Max=7.5811, RMS=2.3863
  Col 27: Mean=-0.0937, Std=1.6209, Min=-4.0294, Max=4.9713, RMS=1.6236
  Col 28: Mean=-0.0127, Std=1.7449, Min=-4.2093, Max=5.4930, RMS=1.7450
  Col 29: Mean=0.0125, Std=3.3916, Min=-6.9906, Max=11.9739, RMS=3.3916
  Col 30: Mean=-0.1169, Std=2.3406, Min=-10.7202, Max=8.3644, RMS=2.3436
  Col 31: Mean=0.0157, Std=2.6501, Min=-6.8772, Max=10.8739, RMS=2.6502
  Col 32: Mean=0.0006, Std=3.5777, Min=-8.6498, Max=11.7569, RMS=3.5777
  Col 33: Mean=-0.0253, Std=1.2110, Min=-3.0394, Max=3.0722, RMS=1.2112
  Col 34: Mean=-0.0372, Std=0.9696, Min=-3.5800, Max=3.2505, RMS=0.9703
  Col 35: Mean=0.0101, Std=2.2201, Min=-4.3965, Max=7.9693, RMS=2.2201
  Col 36: Mean=-0.0334, Std=1.4005, Min=-4.6181, Max=3.4056, RMS=1.4009
  Col 37: Mean=-0.0636, Std=2.4082, Min=-11.8744, Max=5.2303, RMS=2.4091
  Col 38: Mean=-0.0063, Std=2.5161, Min=-5.2917, Max=7.2725, RMS=2.5161
