--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0015, Std=2.7852, Min=-15.6688, Max=14.6315, RMS=2.7852
  Col 1: Mean=0.0220, Std=3.0333, Min=-14.3667, Max=13.4819, RMS=3.0334
  Col 2: Mean=-0.0136, Std=4.1342, Min=-9.4295, Max=26.5141, RMS=4.1342
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0351, Std=1.3345, Min=-5.7005, Max=6.2742, RMS=1.3349
  Col 13: Mean=0.0170, Std=1.2409, Min=-4.7638, Max=6.6725, RMS=1.2410
  Col 14: Mean=0.0114, Std=4.4772, Min=-13.3972, Max=27.7941, RMS=4.4772
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0335, Std=1.6717, Min=-6.2737, Max=4.3150, RMS=1.6720
  Col 19: Mean=0.0287, Std=1.7825, Min=-6.3288, Max=6.6188, RMS=1.7827
  Col 20: Mean=0.0182, Std=3.7948, Min=-11.7165, Max=17.6203, RMS=3.7948
  Col 21: Mean=-0.0610, Std=2.5355, Min=-16.2592, Max=10.6391, RMS=2.5363
  Col 22: Mean=0.0229, Std=1.5203, Min=-8.3084, Max=9.2881, RMS=1.5204
  Col 23: Mean=0.0087, Std=4.3040, Min=-8.8443, Max=25.8670, RMS=4.3040
  Col 24: Mean=-0.0212, Std=2.5793, Min=-10.2764, Max=10.4740, RMS=2.5793
  Col 25: Mean=0.0839, Std=2.9135, Min=-13.2819, Max=9.9037, RMS=2.9147
  Col 26: Mean=-0.0322, Std=3.9567, Min=-10.6985, Max=16.4824, RMS=3.9569
  Col 27: Mean=0.0043, Std=2.7563, Min=-10.3990, Max=10.2820, RMS=2.7563
  Col 28: Mean=-0.0346, Std=2.3138, Min=-7.8810, Max=11.2966, RMS=2.3141
  Col 29: Mean=-0.0371, Std=4.4932, Min=-10.2745, Max=23.2891, RMS=4.4934
  Col 30: Mean=-0.0689, Std=5.1263, Min=-23.1160, Max=19.2814, RMS=5.1268
  Col 31: Mean=-0.1400, Std=3.4269, Min=-15.2856, Max=11.9984, RMS=3.4298
  Col 32: Mean=-0.0659, Std=5.8364, Min=-19.1412, Max=27.4475, RMS=5.8368
  Col 33: Mean=-0.0321, Std=1.4069, Min=-4.4690, Max=4.5060, RMS=1.4072
  Col 34: Mean=0.0015, Std=2.5455, Min=-8.7461, Max=15.2140, RMS=2.5455
  Col 35: Mean=0.0190, Std=4.1679, Min=-8.9541, Max=24.6926, RMS=4.1680
  Col 36: Mean=0.0241, Std=2.9880, Min=-10.8357, Max=11.6532, RMS=2.9881
  Col 37: Mean=-0.0135, Std=2.9886, Min=-10.2556, Max=14.7128, RMS=2.9886
  Col 38: Mean=-0.0115, Std=4.1710, Min=-10.7294, Max=16.7676, RMS=4.1710
  Col 39: Mean=-0.1234, Std=4.9881, Min=-18.0247, Max=17.1322, RMS=4.9896
  Col 40: Mean=-0.0142, Std=3.4020, Min=-11.7540, Max=19.4044, RMS=3.4020
  Col 41: Mean=-0.0354, Std=5.7955, Min=-14.1074, Max=22.4261, RMS=5.7956
  Col 42: Mean=-0.2336, Std=6.7729, Min=-21.1376, Max=17.4030, RMS=6.7769
  Col 43: Mean=-0.0321, Std=5.3024, Min=-21.4776, Max=12.7154, RMS=5.3025
  Col 44: Mean=-0.1074, Std=8.0309, Min=-20.0873, Max=29.0480, RMS=8.0316
  Col 45: Mean=0.0028, Std=4.8831, Min=-47.3641, Max=15.8360, RMS=4.8831
  Col 46: Mean=-0.0242, Std=3.8478, Min=-13.6266, Max=34.2808, RMS=3.8479
  Col 47: Mean=-0.0193, Std=7.0749, Min=-25.0330, Max=47.6383, RMS=7.0749
  Col 48: Mean=-0.0923, Std=6.5703, Min=-28.3128, Max=28.2711, RMS=6.5709
  Col 49: Mean=-0.0628, Std=4.9102, Min=-44.1803, Max=24.2135, RMS=4.9106
  Col 50: Mean=-0.1540, Std=5.1262, Min=-18.2527, Max=31.1586, RMS=5.1285
  Col 51: Mean=-0.0141, Std=9.3514, Min=-54.5189, Max=42.9710, RMS=9.3514
  Col 52: Mean=-0.0031, Std=7.9769, Min=-34.4931, Max=70.3468, RMS=7.9769
