--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0109, Std=1.6360, Min=-6.1180, Max=8.8770, RMS=1.6360
  Col 1: Mean=-0.0087, Std=1.9986, Min=-8.1335, Max=13.1627, RMS=1.9987
  Col 2: Mean=0.0018, Std=3.1661, Min=-5.6876, Max=12.9192, RMS=3.1661
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0034, Std=0.9279, Min=-3.1365, Max=4.8751, RMS=0.9279
  Col 13: Mean=-0.0229, Std=1.0077, Min=-2.5254, Max=3.4536, RMS=1.0079
  Col 14: Mean=0.0137, Std=2.9095, Min=-5.0652, Max=9.8783, RMS=2.9095
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0508, Std=1.0227, Min=-3.8589, Max=2.6230, RMS=1.0240
  Col 19: Mean=-0.0192, Std=1.3964, Min=-3.7561, Max=3.8385, RMS=1.3965
  Col 20: Mean=0.0034, Std=3.3438, Min=-4.7885, Max=19.0472, RMS=3.3438
  Col 21: Mean=0.0151, Std=1.4671, Min=-5.9347, Max=4.4407, RMS=1.4672
  Col 22: Mean=-0.0248, Std=1.1625, Min=-2.7741, Max=3.1358, RMS=1.1627
  Col 23: Mean=0.0132, Std=3.4817, Min=-5.5058, Max=13.2374, RMS=3.4817
  Col 24: Mean=0.0030, Std=2.0865, Min=-5.8540, Max=5.9741, RMS=2.0865
  Col 25: Mean=0.0036, Std=2.0111, Min=-3.9189, Max=9.9639, RMS=2.0111
  Col 26: Mean=0.0084, Std=3.3810, Min=-4.5292, Max=13.7836, RMS=3.3810
  Col 27: Mean=-0.0210, Std=2.5649, Min=-9.2169, Max=5.2232, RMS=2.5649
  Col 28: Mean=-0.0664, Std=1.8056, Min=-8.3188, Max=7.5448, RMS=1.8068
  Col 29: Mean=0.0276, Std=4.0995, Min=-6.1668, Max=15.8959, RMS=4.0996
  Col 30: Mean=-0.0492, Std=4.1213, Min=-14.3820, Max=11.9650, RMS=4.1216
  Col 31: Mean=-0.1211, Std=2.7805, Min=-14.0342, Max=11.6060, RMS=2.7831
  Col 32: Mean=-0.0023, Std=4.2825, Min=-8.4897, Max=17.4482, RMS=4.2825
  Col 33: Mean=0.0091, Std=1.0507, Min=-4.8929, Max=5.0750, RMS=1.0508
  Col 34: Mean=-0.0415, Std=1.5744, Min=-4.7061, Max=4.4334, RMS=1.5750
  Col 35: Mean=0.0061, Std=3.4693, Min=-4.8388, Max=12.1780, RMS=3.4693
  Col 36: Mean=0.0364, Std=3.0165, Min=-5.7542, Max=12.6488, RMS=3.0168
  Col 37: Mean=-0.0504, Std=1.8424, Min=-5.7498, Max=5.1157, RMS=1.8431
  Col 38: Mean=-0.0151, Std=3.7263, Min=-5.3112, Max=14.0602, RMS=3.7263
  Col 39: Mean=0.0371, Std=3.7932, Min=-9.8241, Max=12.3399, RMS=3.7934
  Col 40: Mean=-0.0317, Std=2.6083, Min=-14.4158, Max=9.0553, RMS=2.6085
  Col 41: Mean=-0.0857, Std=5.4178, Min=-8.3009, Max=19.5723, RMS=5.4185
  Col 42: Mean=0.0429, Std=5.8594, Min=-23.0381, Max=17.1449, RMS=5.8595
  Col 43: Mean=0.0008, Std=4.1977, Min=-23.0664, Max=16.8265, RMS=4.1977
  Col 44: Mean=-0.1547, Std=6.0072, Min=-10.8426, Max=19.9589, RMS=6.0092
  Col 45: Mean=0.0194, Std=3.2736, Min=-16.9969, Max=22.8866, RMS=3.2737
  Col 46: Mean=0.0000, Std=2.3979, Min=-13.0302, Max=9.9800, RMS=2.3979
  Col 47: Mean=-0.0098, Std=5.6417, Min=-23.2802, Max=46.8970, RMS=5.6417
  Col 48: Mean=-0.0896, Std=4.5713, Min=-14.8853, Max=30.2322, RMS=4.5721
  Col 49: Mean=-0.0412, Std=4.3227, Min=-43.3345, Max=37.2477, RMS=4.3229
  Col 50: Mean=-0.1004, Std=4.6629, Min=-9.4952, Max=41.2576, RMS=4.6640
  Col 51: Mean=0.0020, Std=8.4411, Min=-28.3680, Max=56.8377, RMS=8.4411
  Col 52: Mean=-0.0455, Std=4.7486, Min=-21.8709, Max=27.1159, RMS=4.7488
  Col 53: Mean=-0.0380, Std=7.2416, Min=-25.3835, Max=57.1301, RMS=7.2417
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0326, Std=2.3025, Min=-10.6686, Max=10.1621, RMS=2.3027
  Col 58: Mean=0.0276, Std=2.5440, Min=-6.5399, Max=12.7293, RMS=2.5442
  Col 59: Mean=-0.0320, Std=5.1379, Min=-10.0052, Max=29.9895, RMS=5.1380
  Col 60: Mean=-0.0063, Std=3.9169, Min=-17.2514, Max=10.1896, RMS=3.9170
  Col 61: Mean=-0.0170, Std=4.2481, Min=-15.2749, Max=18.9588, RMS=4.2481
  Col 62: Mean=-0.1186, Std=4.1979, Min=-11.8995, Max=21.4878, RMS=4.1996
  Col 63: Mean=0.0571, Std=7.9840, Min=-33.5427, Max=34.7668, RMS=7.9842
  Col 64: Mean=0.0020, Std=6.2148, Min=-21.7886, Max=41.2611, RMS=6.2148
  Col 65: Mean=-0.0974, Std=8.4194, Min=-36.3362, Max=59.4417, RMS=8.4199
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-62.6551, Std=30.6658, Min=-161.5806, Max=-3.6914, RMS=69.7571
  Col 1: Mean=-83.0752, Std=2.2014, Min=-88.3035, Max=-78.1152, RMS=83.1044
  Col 2: Mean=-93.5986, Std=29.5431, Min=-147.6994, Max=1.6081, RMS=98.1504
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-4.9348, Std=8.1822, Min=-29.4839, Max=11.4357, RMS=9.5552
  Col 13: Mean=-57.4658, Std=2.0120, Min=-63.0503, Max=-52.4512, RMS=57.5011
  Col 14: Mean=27.2425, Std=10.3348, Min=10.2077, Max=59.3822, RMS=29.1369
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=93.4027, Std=14.7347, Min=65.9744, Max=117.3263, RMS=94.5578
  Col 19: Mean=2.3701, Std=7.1340, Min=-10.6102, Max=18.3575, RMS=7.5174
  Col 20: Mean=-83.0840, Std=3.3938, Min=-89.4549, Max=-76.3698, RMS=83.1533
  Col 21: Mean=60.3311, Std=3.0388, Min=50.6571, Max=67.2134, RMS=60.4076
  Col 22: Mean=9.6481, Std=4.3721, Min=3.2858, Max=23.2844, RMS=10.5925
  Col 23: Mean=128.7466, Std=6.1348, Min=118.4562, Max=141.6345, RMS=128.8927
  Col 24: Mean=10.8119, Std=20.0624, Min=-19.8423, Max=57.2706, RMS=22.7902
  Col 25: Mean=-73.6542, Std=4.1103, Min=-84.5954, Max=-64.7154, RMS=73.7688
  Col 26: Mean=-50.9962, Std=24.4571, Min=-107.6993, Max=-18.5002, RMS=56.5576
  Col 27: Mean=-27.3531, Std=7.2515, Min=-43.5131, Max=-10.6285, RMS=28.2980
  Col 28: Mean=-54.9842, Std=12.8227, Min=-73.3568, Max=-17.1742, RMS=56.4596
