--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0166, Std=1.4008, Min=-5.8397, Max=5.5626, RMS=1.4009
  Col 1: Mean=0.0112, Std=1.5967, Min=-6.7791, Max=9.5396, RMS=1.5967
  Col 2: Mean=0.0145, Std=3.0746, Min=-5.1165, Max=15.6718, RMS=3.0746
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0141, Std=2.0568, Min=-9.1602, Max=9.1947, RMS=2.0569
  Col 13: Mean=0.0084, Std=1.3506, Min=-5.7907, Max=5.0582, RMS=1.3506
  Col 14: Mean=0.0109, Std=2.5100, Min=-6.0896, Max=13.7138, RMS=2.5101
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0017, Std=1.9971, Min=-5.9534, Max=7.8749, RMS=1.9971
  Col 19: Mean=-0.0001, Std=1.9649, Min=-7.3165, Max=7.0704, RMS=1.9649
  Col 20: Mean=0.0047, Std=2.4351, Min=-4.7806, Max=11.6782, RMS=2.4351
  Col 21: Mean=0.0170, Std=2.1121, Min=-7.6415, Max=9.4592, RMS=2.1122
  Col 22: Mean=0.0032, Std=1.5559, Min=-5.8677, Max=5.6528, RMS=1.5559
  Col 23: Mean=0.0095, Std=2.2396, Min=-5.5928, Max=8.4628, RMS=2.2397
  Col 24: Mean=0.0242, Std=1.8761, Min=-6.7049, Max=6.0095, RMS=1.8763
  Col 25: Mean=0.0067, Std=1.5230, Min=-6.6273, Max=5.4869, RMS=1.5230
  Col 26: Mean=0.0061, Std=2.3104, Min=-5.8742, Max=9.1964, RMS=2.3104
  Col 27: Mean=0.0420, Std=1.4800, Min=-4.9991, Max=4.3808, RMS=1.4806
  Col 28: Mean=-0.0030, Std=1.9162, Min=-8.6838, Max=8.6243, RMS=1.9162
  Col 29: Mean=-0.0586, Std=2.6271, Min=-9.0443, Max=8.6439, RMS=2.6277
  Col 30: Mean=0.0709, Std=2.2842, Min=-6.5050, Max=9.4729, RMS=2.2853
  Col 31: Mean=0.0310, Std=2.5531, Min=-12.2565, Max=11.7005, RMS=2.5533
  Col 32: Mean=-0.0082, Std=2.7066, Min=-7.3572, Max=8.8846, RMS=2.7066
  Col 33: Mean=0.0068, Std=2.1118, Min=-7.5669, Max=7.3711, RMS=2.1118
  Col 34: Mean=0.0056, Std=1.8258, Min=-7.5560, Max=6.8848, RMS=1.8258
  Col 35: Mean=0.0157, Std=2.4482, Min=-5.5980, Max=12.2259, RMS=2.4482
  Col 36: Mean=-0.0216, Std=2.5339, Min=-14.6899, Max=5.8154, RMS=2.5339
  Col 37: Mean=0.0059, Std=1.7568, Min=-6.7787, Max=7.0064, RMS=1.7568
  Col 38: Mean=0.0131, Std=2.5755, Min=-6.3215, Max=11.8236, RMS=2.5756
  Col 39: Mean=0.0720, Std=4.6141, Min=-12.7972, Max=10.9421, RMS=4.6146
  Col 40: Mean=-0.0297, Std=2.5263, Min=-9.3751, Max=8.1912, RMS=2.5265
  Col 41: Mean=0.0271, Std=3.6216, Min=-8.3442, Max=14.3157, RMS=3.6217
  Col 42: Mean=0.1375, Std=6.2191, Min=-19.8218, Max=14.6146, RMS=6.2206
  Col 43: Mean=-0.0522, Std=3.7332, Min=-17.7753, Max=12.2620, RMS=3.7336
  Col 44: Mean=-0.0413, Std=4.6279, Min=-13.5691, Max=18.1876, RMS=4.6281
  Col 45: Mean=0.0355, Std=3.2362, Min=-23.2536, Max=12.3454, RMS=3.2364
  Col 46: Mean=-0.0030, Std=2.6039, Min=-10.9384, Max=12.0813, RMS=2.6039
  Col 47: Mean=0.0118, Std=4.6231, Min=-22.3803, Max=26.3142, RMS=4.6232
  Col 48: Mean=0.0933, Std=4.1994, Min=-31.0457, Max=17.2963, RMS=4.2004
  Col 49: Mean=0.0134, Std=2.9929, Min=-9.3114, Max=18.1615, RMS=2.9930
  Col 50: Mean=-0.0412, Std=5.7392, Min=-31.8593, Max=53.9870, RMS=5.7394
  Col 51: Mean=0.1851, Std=7.8021, Min=-90.8871, Max=26.0694, RMS=7.8043
  Col 52: Mean=0.0717, Std=4.1925, Min=-34.1743, Max=16.7284, RMS=4.1932
  Col 53: Mean=-0.1420, Std=6.1369, Min=-22.2232, Max=34.1072, RMS=6.1385
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0510, Std=3.2778, Min=-14.8299, Max=19.5951, RMS=3.2782
  Col 58: Mean=0.0274, Std=2.8494, Min=-10.2575, Max=12.4236, RMS=2.8495
  Col 59: Mean=0.0161, Std=3.5520, Min=-10.3586, Max=20.7064, RMS=3.5521
  Col 60: Mean=0.0517, Std=4.2621, Min=-16.0433, Max=27.1670, RMS=4.2624
  Col 61: Mean=0.0497, Std=3.7576, Min=-16.3046, Max=17.8428, RMS=3.7579
  Col 62: Mean=-0.2668, Std=5.2269, Min=-21.0237, Max=31.8353, RMS=5.2337
  Col 63: Mean=0.1136, Std=6.9772, Min=-53.2153, Max=21.7358, RMS=6.9781
  Col 64: Mean=0.1065, Std=5.6913, Min=-40.9448, Max=25.3562, RMS=5.6923
  Col 65: Mean=-0.0388, Std=7.1101, Min=-36.0286, Max=55.0862, RMS=7.1102
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-30.7087, Std=30.2408, Min=-105.1685, Max=8.8366, RMS=43.0991
  Col 1: Mean=-71.6648, Std=7.8851, Min=-83.8580, Max=-55.4447, RMS=72.0972
  Col 2: Mean=57.9500, Std=30.4970, Min=17.9359, Max=130.6541, RMS=65.4849
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
