--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/walk/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0339, Std=1.7749, Min=-5.9109, Max=6.8901, RMS=1.7752
  Col 1: Mean=-0.0173, Std=1.3840, Min=-5.6988, Max=5.0970, RMS=1.3841
  Col 2: Mean=-0.0052, Std=2.6809, Min=-4.3038, Max=8.0536, RMS=2.6809
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0317, Std=1.2996, Min=-3.0941, Max=3.9354, RMS=1.3000
  Col 13: Mean=-0.0117, Std=1.1351, Min=-2.3508, Max=4.0900, RMS=1.1351
  Col 14: Mean=0.0060, Std=2.8219, Min=-6.2413, Max=8.2613, RMS=2.8219
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0299, Std=0.7685, Min=-2.5797, Max=1.8683, RMS=0.7691
  Col 19: Mean=-0.0092, Std=1.2650, Min=-3.4477, Max=4.1468, RMS=1.2650
  Col 20: Mean=0.0001, Std=2.5083, Min=-4.6000, Max=6.6811, RMS=2.5083
  Col 21: Mean=-0.0369, Std=1.2501, Min=-3.2161, Max=3.4915, RMS=1.2506
  Col 22: Mean=-0.0030, Std=1.0277, Min=-2.9223, Max=3.1653, RMS=1.0277
  Col 23: Mean=-0.0023, Std=2.6315, Min=-5.2591, Max=6.5360, RMS=2.6315
  Col 24: Mean=-0.0774, Std=1.9829, Min=-4.9147, Max=6.3718, RMS=1.9844
  Col 25: Mean=0.0207, Std=1.2718, Min=-3.7586, Max=5.3639, RMS=1.2720
  Col 26: Mean=-0.0073, Std=2.9146, Min=-5.6581, Max=8.5142, RMS=2.9146
  Col 27: Mean=-0.1147, Std=2.6685, Min=-6.9650, Max=8.6648, RMS=2.6709
  Col 28: Mean=-0.0404, Std=1.7083, Min=-5.7681, Max=10.5313, RMS=1.7087
  Col 29: Mean=-0.0037, Std=2.9125, Min=-5.4257, Max=8.5107, RMS=2.9125
  Col 30: Mean=-0.1463, Std=3.7659, Min=-12.3381, Max=14.3635, RMS=3.7687
  Col 31: Mean=-0.0167, Std=1.8599, Min=-6.2653, Max=11.7385, RMS=1.8600
  Col 32: Mean=-0.0114, Std=3.2574, Min=-8.8391, Max=9.2805, RMS=3.2575
  Col 33: Mean=-0.0170, Std=1.2582, Min=-3.9400, Max=6.3745, RMS=1.2584
  Col 34: Mean=-0.0243, Std=1.1503, Min=-3.3287, Max=3.9441, RMS=1.1506
  Col 35: Mean=0.0001, Std=2.6262, Min=-5.6783, Max=6.3220, RMS=2.6262
  Col 36: Mean=-0.0681, Std=3.0003, Min=-7.6379, Max=11.1694, RMS=3.0011
  Col 37: Mean=-0.0816, Std=1.4981, Min=-5.3172, Max=4.7182, RMS=1.5004
  Col 38: Mean=-0.0306, Std=2.5003, Min=-5.5484, Max=8.6824, RMS=2.5005
  Col 39: Mean=-0.0716, Std=5.6375, Min=-12.7515, Max=9.8647, RMS=5.6380
  Col 40: Mean=0.0044, Std=1.5026, Min=-4.7161, Max=4.6347, RMS=1.5026
  Col 41: Mean=-0.0448, Std=2.8623, Min=-7.1047, Max=10.5908, RMS=2.8627
  Col 42: Mean=-0.0885, Std=7.6373, Min=-20.1496, Max=12.6091, RMS=7.6378
  Col 43: Mean=-0.0246, Std=2.4475, Min=-9.0466, Max=10.6738, RMS=2.4476
  Col 44: Mean=-0.0728, Std=5.0859, Min=-14.4620, Max=17.6377, RMS=5.0864
  Col 45: Mean=-0.0279, Std=6.0658, Min=-25.1316, Max=21.2834, RMS=6.0659
  Col 46: Mean=-0.0241, Std=2.1671, Min=-8.1959, Max=8.3162, RMS=2.1673
  Col 47: Mean=-0.0196, Std=6.1892, Min=-16.9092, Max=23.2230, RMS=6.1892
  Col 48: Mean=-0.1332, Std=6.7291, Min=-25.5520, Max=17.8784, RMS=6.7304
  Col 49: Mean=0.0518, Std=4.2554, Min=-14.8492, Max=15.8511, RMS=4.2557
  Col 50: Mean=-0.1754, Std=3.2518, Min=-14.6244, Max=12.4337, RMS=3.2566
  Col 51: Mean=-0.1824, Std=12.3985, Min=-53.1820, Max=51.3159, RMS=12.3998
  Col 52: Mean=-0.0404, Std=4.4815, Min=-19.4732, Max=21.8395, RMS=4.4817
  Col 53: Mean=-0.3080, Std=10.4570, Min=-65.4673, Max=34.1673, RMS=10.4616
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0273, Std=5.3593, Min=-26.4639, Max=16.4783, RMS=5.3594
  Col 58: Mean=0.0252, Std=2.9735, Min=-14.9135, Max=10.2656, RMS=2.9737
  Col 59: Mean=-0.0082, Std=6.3964, Min=-20.0593, Max=36.6525, RMS=6.3964
  Col 60: Mean=-0.1148, Std=6.5056, Min=-21.9403, Max=12.4473, RMS=6.5066
  Col 61: Mean=-0.0909, Std=4.8021, Min=-19.4626, Max=22.6339, RMS=4.8029
  Col 62: Mean=-0.2016, Std=3.5960, Min=-15.2138, Max=14.9804, RMS=3.6017
  Col 63: Mean=-0.1931, Std=12.5218, Min=-44.1460, Max=63.1172, RMS=12.5233
  Col 64: Mean=0.0285, Std=5.1270, Min=-21.8165, Max=35.2906, RMS=5.1271
  Col 65: Mean=-0.3299, Std=10.3960, Min=-55.6001, Max=37.5701, RMS=10.4012
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-48.0871, Std=18.2384, Min=-115.3599, Max=-16.9656, RMS=51.4296
  Col 1: Mean=-80.7576, Std=2.3771, Min=-87.2216, Max=-75.0930, RMS=80.7926
  Col 2: Mean=-115.7274, Std=19.4899, Min=-145.5656, Max=-45.9337, RMS=117.3571
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
