--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Federico/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0026, Std=1.6050, Min=-5.1099, Max=4.4963, RMS=1.6050
  Col 1: Mean=-0.0113, Std=1.4144, Min=-4.9718, Max=6.1553, RMS=1.4145
  Col 2: Mean=-0.0031, Std=2.3885, Min=-4.0696, Max=7.4110, RMS=2.3885
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0013, Std=1.1304, Min=-2.7825, Max=3.7055, RMS=1.1304
  Col 13: Mean=-0.0209, Std=1.0356, Min=-2.3076, Max=4.0560, RMS=1.0358
  Col 14: Mean=0.0006, Std=2.5968, Min=-5.5537, Max=6.7053, RMS=2.5968
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0033, Std=0.7975, Min=-2.6842, Max=2.4533, RMS=0.7975
  Col 19: Mean=-0.0400, Std=1.1124, Min=-2.5245, Max=3.3857, RMS=1.1131
  Col 20: Mean=0.0007, Std=2.3170, Min=-4.9059, Max=7.0185, RMS=2.3170
  Col 21: Mean=0.0088, Std=1.1986, Min=-3.4578, Max=3.9517, RMS=1.1987
  Col 22: Mean=-0.0156, Std=0.9595, Min=-3.6285, Max=3.5451, RMS=0.9596
  Col 23: Mean=0.0030, Std=2.3771, Min=-4.9656, Max=6.2155, RMS=2.3771
  Col 24: Mean=-0.0170, Std=1.9387, Min=-6.1032, Max=5.2812, RMS=1.9388
  Col 25: Mean=-0.0008, Std=1.4203, Min=-4.0248, Max=6.0753, RMS=1.4203
  Col 26: Mean=-0.0158, Std=2.6863, Min=-5.0685, Max=7.1781, RMS=2.6863
  Col 27: Mean=-0.0185, Std=2.3788, Min=-9.2411, Max=10.5671, RMS=2.3789
  Col 28: Mean=-0.0358, Std=1.7334, Min=-4.5257, Max=12.1068, RMS=1.7338
  Col 29: Mean=-0.0113, Std=3.0704, Min=-6.9601, Max=11.3277, RMS=3.0704
  Col 30: Mean=-0.0443, Std=3.4651, Min=-11.4599, Max=15.1809, RMS=3.4654
  Col 31: Mean=-0.0378, Std=2.1087, Min=-7.0870, Max=12.8059, RMS=2.1090
  Col 32: Mean=-0.0061, Std=3.5573, Min=-10.9701, Max=14.6256, RMS=3.5573
  Col 33: Mean=-0.0022, Std=1.0756, Min=-3.1544, Max=4.5306, RMS=1.0756
  Col 34: Mean=-0.0319, Std=1.1415, Min=-3.5390, Max=3.9794, RMS=1.1419
  Col 35: Mean=0.0014, Std=2.4011, Min=-5.3489, Max=5.5260, RMS=2.4011
  Col 36: Mean=0.0083, Std=3.0449, Min=-7.6737, Max=14.5371, RMS=3.0449
  Col 37: Mean=-0.0765, Std=1.6940, Min=-7.5075, Max=4.8044, RMS=1.6957
  Col 38: Mean=-0.0178, Std=2.3868, Min=-4.7293, Max=8.9618, RMS=2.3869
