--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0002, Std=1.4203, Min=-8.8781, Max=5.7882, RMS=1.4203
  Col 1: Mean=-0.0086, Std=1.1753, Min=-4.6967, Max=3.9868, RMS=1.1753
  Col 2: Mean=0.0053, Std=1.9939, Min=-5.6227, Max=13.9474, RMS=1.9939
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0010, Std=0.7118, Min=-2.5216, Max=1.6344, RMS=0.7118
  Col 13: Mean=-0.0045, Std=0.5517, Min=-1.8071, Max=1.0954, RMS=0.5517
  Col 14: Mean=0.0092, Std=1.5491, Min=-3.1145, Max=8.8912, RMS=1.5491
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0009, Std=0.6619, Min=-1.9528, Max=1.3430, RMS=0.6619
  Col 19: Mean=-0.0053, Std=0.4962, Min=-1.4470, Max=1.1855, RMS=0.4962
  Col 20: Mean=0.0047, Std=1.5929, Min=-3.3641, Max=8.0722, RMS=1.5929
  Col 21: Mean=0.0019, Std=0.8020, Min=-2.5303, Max=1.8529, RMS=0.8020
  Col 22: Mean=-0.0051, Std=0.5697, Min=-1.6423, Max=1.4769, RMS=0.5698
  Col 23: Mean=0.0063, Std=1.7721, Min=-3.2666, Max=7.4713, RMS=1.7721
  Col 24: Mean=0.0060, Std=0.9924, Min=-2.5550, Max=2.1494, RMS=0.9924
  Col 25: Mean=-0.0189, Std=1.0994, Min=-5.2937, Max=2.7878, RMS=1.0996
  Col 26: Mean=-0.3539, Std=2.4825, Min=-9.0009, Max=7.9336, RMS=2.5076
  Col 27: Mean=0.0055, Std=1.0930, Min=-2.8991, Max=2.1670, RMS=1.0930
  Col 28: Mean=-0.0019, Std=1.1185, Min=-2.8487, Max=3.1000, RMS=1.1185
  Col 29: Mean=0.0049, Std=1.9604, Min=-4.0356, Max=9.0011, RMS=1.9604
  Col 30: Mean=0.0062, Std=1.3560, Min=-4.0073, Max=3.4913, RMS=1.3560
  Col 31: Mean=0.0045, Std=1.4580, Min=-4.6825, Max=3.9349, RMS=1.4580
  Col 32: Mean=0.0044, Std=1.9963, Min=-4.1021, Max=9.3394, RMS=1.9963
  Col 33: Mean=0.0011, Std=0.7367, Min=-1.9211, Max=2.4071, RMS=0.7367
  Col 34: Mean=-0.0039, Std=0.6250, Min=-2.0667, Max=1.8629, RMS=0.6250
  Col 35: Mean=0.0082, Std=1.8065, Min=-3.6828, Max=10.8202, RMS=1.8066
  Col 36: Mean=-0.0091, Std=0.9531, Min=-3.9211, Max=2.0706, RMS=0.9531
  Col 37: Mean=-0.0041, Std=1.5926, Min=-4.3816, Max=4.7959, RMS=1.5926
  Col 38: Mean=0.0064, Std=1.9112, Min=-4.1241, Max=8.1882, RMS=1.9112
  Col 39: Mean=0.0069, Std=0.8194, Min=-3.4545, Max=3.0395, RMS=0.8194
  Col 40: Mean=0.0109, Std=2.7535, Min=-7.7131, Max=6.5173, RMS=2.7536
  Col 41: Mean=0.0069, Std=2.3169, Min=-5.2824, Max=8.5043, RMS=2.3169
  Col 42: Mean=0.0121, Std=1.1935, Min=-4.0709, Max=4.3514, RMS=1.1935
  Col 43: Mean=0.0193, Std=3.5898, Min=-10.6487, Max=8.3571, RMS=3.5898
  Col 44: Mean=-0.0071, Std=2.5631, Min=-6.1543, Max=9.4405, RMS=2.5631
  Col 45: Mean=0.0101, Std=3.1531, Min=-10.8944, Max=16.6965, RMS=3.1531
  Col 46: Mean=-0.0028, Std=4.2344, Min=-25.9645, Max=21.9443, RMS=4.2344
  Col 47: Mean=-0.0054, Std=4.0011, Min=-28.0243, Max=14.8275, RMS=4.0011
  Col 48: Mean=0.0076, Std=2.4502, Min=-16.9932, Max=10.0322, RMS=2.4502
  Col 49: Mean=-0.0253, Std=4.1512, Min=-18.7746, Max=14.2534, RMS=4.1513
  Col 50: Mean=-0.1141, Std=2.9190, Min=-10.2638, Max=17.4403, RMS=2.9212
  Col 51: Mean=0.0446, Std=4.3648, Min=-30.5655, Max=17.2968, RMS=4.3651
  Col 52: Mean=0.0420, Std=7.4710, Min=-30.7357, Max=24.3721, RMS=7.4711
  Col 53: Mean=-0.0896, Std=7.0129, Min=-25.5558, Max=72.5819, RMS=7.0135
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0019, Std=3.7336, Min=-15.2821, Max=25.2631, RMS=3.7336
  Col 58: Mean=0.0191, Std=5.5154, Min=-27.8231, Max=42.6302, RMS=5.5155
  Col 59: Mean=-0.0366, Std=4.5658, Min=-26.5970, Max=30.8845, RMS=4.5660
  Col 60: Mean=-0.0097, Std=2.7557, Min=-12.7670, Max=10.8798, RMS=2.7557
  Col 61: Mean=0.0254, Std=4.2744, Min=-14.6430, Max=17.4906, RMS=4.2744
  Col 62: Mean=-0.0689, Std=2.7291, Min=-10.5972, Max=20.6348, RMS=2.7300
  Col 63: Mean=-0.0296, Std=4.9087, Min=-34.8742, Max=28.1548, RMS=4.9088
  Col 64: Mean=0.0604, Std=8.2816, Min=-30.2080, Max=38.1310, RMS=8.2818
  Col 65: Mean=-0.1087, Std=7.1318, Min=-34.5726, Max=41.0794, RMS=7.1326
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-25.0964, Std=9.1820, Min=-52.8448, Max=-2.7391, RMS=26.7234
  Col 1: Mean=-78.9237, Std=2.8693, Min=-84.2408, Max=-72.5035, RMS=78.9758
  Col 2: Mean=93.6032, Std=8.7990, Min=73.4553, Max=123.3244, RMS=94.0159
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-15.1333, Std=4.7295, Min=-29.7784, Max=-7.2662, RMS=15.8551
  Col 13: Mean=-64.5831, Std=3.2889, Min=-73.9209, Max=-59.4132, RMS=64.6668
  Col 14: Mean=-95.8628, Std=3.8815, Min=-100.9045, Max=-84.4677, RMS=95.9414
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=87.7429, Std=2.3424, Min=82.4228, Max=91.3913, RMS=87.7742
