--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0042, Std=1.7314, Min=-9.8094, Max=6.6728, RMS=1.7314
  Col 1: Mean=-0.0106, Std=1.3350, Min=-5.6076, Max=3.9602, RMS=1.3351
  Col 2: Mean=0.0094, Std=2.3433, Min=-7.3024, Max=16.9518, RMS=2.3433
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0020, Std=0.8221, Min=-3.2115, Max=1.8680, RMS=0.8221
  Col 13: Mean=-0.0058, Std=0.7280, Min=-3.2042, Max=1.4109, RMS=0.7280
  Col 14: Mean=0.0135, Std=1.8475, Min=-3.4699, Max=8.5017, RMS=1.8476
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0046, Std=0.7510, Min=-2.0286, Max=1.7419, RMS=0.7510
  Col 19: Mean=-0.0008, Std=0.6058, Min=-2.2809, Max=1.2836, RMS=0.6058
  Col 20: Mean=0.0094, Std=1.9024, Min=-3.6435, Max=8.1408, RMS=1.9024
  Col 21: Mean=0.0057, Std=0.9348, Min=-2.4872, Max=2.1696, RMS=0.9349
  Col 22: Mean=-0.0053, Std=0.7188, Min=-2.5581, Max=1.7138, RMS=0.7188
  Col 23: Mean=0.0139, Std=2.1448, Min=-3.5087, Max=9.3511, RMS=2.1449
  Col 24: Mean=0.0313, Std=1.2400, Min=-2.8518, Max=2.7501, RMS=1.2404
  Col 25: Mean=-0.0209, Std=1.5632, Min=-8.2865, Max=3.1277, RMS=1.5634
  Col 26: Mean=-0.3701, Std=2.9309, Min=-9.1009, Max=8.0006, RMS=2.9542
  Col 27: Mean=-0.0071, Std=1.3450, Min=-3.4248, Max=2.8010, RMS=1.3451
  Col 28: Mean=-0.0106, Std=1.7949, Min=-4.0305, Max=4.2840, RMS=1.7950
  Col 29: Mean=-0.0654, Std=2.5443, Min=-8.8908, Max=8.7475, RMS=2.5451
  Col 30: Mean=0.0091, Std=1.7211, Min=-4.9080, Max=4.1235, RMS=1.7211
  Col 31: Mean=0.0321, Std=2.4137, Min=-6.9677, Max=5.5875, RMS=2.4140
  Col 32: Mean=0.0056, Std=2.5670, Min=-5.3730, Max=8.9798, RMS=2.5670
  Col 33: Mean=0.0035, Std=0.8636, Min=-2.5672, Max=2.8493, RMS=0.8636
  Col 34: Mean=-0.0070, Std=0.8162, Min=-2.8584, Max=1.7134, RMS=0.8162
  Col 35: Mean=0.0127, Std=2.1493, Min=-3.8851, Max=11.4419, RMS=2.1493
  Col 36: Mean=-0.0079, Std=1.0415, Min=-4.6613, Max=2.3743, RMS=1.0415
  Col 37: Mean=-0.0053, Std=1.7242, Min=-4.6968, Max=3.9119, RMS=1.7242
  Col 38: Mean=0.0052, Std=2.2174, Min=-4.2090, Max=7.5661, RMS=2.2174
  Col 39: Mean=0.0103, Std=1.1107, Min=-3.2281, Max=2.9274, RMS=1.1107
  Col 40: Mean=0.0076, Std=2.7940, Min=-7.8574, Max=5.3709, RMS=2.7940
  Col 41: Mean=0.0062, Std=2.5470, Min=-5.3664, Max=8.9582, RMS=2.5470
  Col 42: Mean=0.0191, Std=1.5124, Min=-4.5113, Max=4.1262, RMS=1.5125
  Col 43: Mean=0.0148, Std=3.6024, Min=-10.4284, Max=7.2062, RMS=3.6024
  Col 44: Mean=-0.0011, Std=2.8202, Min=-6.5335, Max=8.7754, RMS=2.8202
  Col 45: Mean=0.0063, Std=3.8470, Min=-15.2542, Max=15.6090, RMS=3.8470
  Col 46: Mean=0.0020, Std=4.1681, Min=-18.5178, Max=18.2779, RMS=4.1681
  Col 47: Mean=0.0060, Std=4.4353, Min=-23.9816, Max=23.1286, RMS=4.4353
  Col 48: Mean=0.0036, Std=2.6613, Min=-14.3737, Max=12.9130, RMS=2.6613
  Col 49: Mean=-0.0562, Std=4.2975, Min=-16.9908, Max=19.8374, RMS=4.2979
  Col 50: Mean=-0.1720, Std=3.4412, Min=-10.1169, Max=29.4192, RMS=3.4455
  Col 51: Mean=0.0524, Std=4.9272, Min=-30.7691, Max=16.8311, RMS=4.9274
  Col 52: Mean=0.0428, Std=7.8919, Min=-36.1197, Max=26.1246, RMS=7.8920
  Col 53: Mean=-0.0985, Std=6.7539, Min=-25.7124, Max=55.8498, RMS=6.7546
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0169, Std=4.1165, Min=-20.1785, Max=19.6208, RMS=4.1165
  Col 58: Mean=0.0278, Std=5.6418, Min=-22.8768, Max=39.4872, RMS=5.6418
  Col 59: Mean=-0.0206, Std=5.3674, Min=-32.0212, Max=31.6754, RMS=5.3675
  Col 60: Mean=0.0054, Std=3.0361, Min=-14.9651, Max=13.3079, RMS=3.0361
  Col 61: Mean=0.0363, Std=4.4358, Min=-14.2268, Max=16.5114, RMS=4.4360
  Col 62: Mean=-0.0622, Std=3.1325, Min=-10.9298, Max=19.9129, RMS=3.1331
  Col 63: Mean=0.0270, Std=6.8383, Min=-52.6143, Max=29.2759, RMS=6.8384
  Col 64: Mean=0.0450, Std=8.2886, Min=-30.9530, Max=24.4037, RMS=8.2887
  Col 65: Mean=-0.0999, Std=8.0720, Min=-35.3074, Max=60.9749, RMS=8.0726
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-23.4672, Std=8.4684, Min=-51.4330, Max=-1.7093, RMS=24.9484
  Col 1: Mean=-77.1052, Std=2.5353, Min=-82.3542, Max=-71.3020, RMS=77.1469
  Col 2: Mean=87.8218, Std=8.0205, Min=67.8769, Max=112.7132, RMS=88.1873
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-15.7216, Std=5.5803, Min=-33.0677, Max=-6.6922, RMS=16.6825
  Col 13: Mean=-65.7736, Std=3.2207, Min=-73.3103, Max=-58.1675, RMS=65.8524
  Col 14: Mean=-99.6762, Std=5.6732, Min=-108.8531, Max=-82.2336, RMS=99.8375
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=87.7826, Std=1.4309, Min=84.1573, Max=90.1633, RMS=87.7943
  Col 19: Mean=-24.9938, Std=3.8706, Min=-32.1424, Max=-16.7665, RMS=25.2918
  Col 20: Mean=43.1803, Std=2.8426, Min=38.6357, Max=51.0502, RMS=43.2737
  Col 21: Mean=58.1893, Std=3.5452, Min=48.8072, Max=65.8691, RMS=58.2972
  Col 22: Mean=0.2632, Std=1.5093, Min=-3.1439, Max=4.2233, RMS=1.5321
  Col 23: Mean=-19.3798, Std=4.0846, Min=-26.0817, Max=-8.0979, RMS=19.8056
  Col 24: Mean=-48.2887, Std=30.4156, Min=-179.2268, Max=-17.2465, RMS=57.0693
  Col 25: Mean=-66.7687, Std=14.6704, Min=-82.8115, Max=-5.8826, RMS=68.3614
  Col 26: Mean=-150.8060, Std=12.2334, Min=-179.8075, Max=-132.2229, RMS=151.3014
  Col 27: Mean=-52.3656, Std=15.1247, Min=-179.8530, Max=-4.8085, RMS=54.5061
  Col 28: Mean=-66.0654, Std=11.1934, Min=-86.1762, Max=-6.2696, RMS=67.0069
  Col 29: Mean=-120.0438, Std=14.5708, Min=-179.8929, Max=-98.9670, RMS=120.9249
  Col 30: Mean=-68.9568, Std=4.6945, Min=-78.9485, Max=-58.5748, RMS=69.1164
