--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0049, Std=1.1580, Min=-3.3758, Max=3.9233, RMS=1.1580
  Col 1: Mean=0.0032, Std=1.6206, Min=-5.6728, Max=6.4006, RMS=1.6206
  Col 2: Mean=-0.0022, Std=1.9059, Min=-4.3298, Max=6.6165, RMS=1.9059
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0006, Std=0.8652, Min=-1.9224, Max=3.2707, RMS=0.8652
  Col 13: Mean=0.0024, Std=0.8720, Min=-1.7877, Max=2.8247, RMS=0.8720
  Col 14: Mean=-0.0049, Std=1.7791, Min=-4.4683, Max=5.5643, RMS=1.7791
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0033, Std=0.7559, Min=-1.7962, Max=2.0762, RMS=0.7559
  Col 19: Mean=-0.0017, Std=0.6344, Min=-1.4936, Max=1.5232, RMS=0.6344
  Col 20: Mean=-0.0059, Std=1.6507, Min=-4.1148, Max=5.8688, RMS=1.6507
  Col 21: Mean=-0.0041, Std=0.9397, Min=-2.1685, Max=2.7121, RMS=0.9397
  Col 22: Mean=0.0022, Std=0.8236, Min=-2.2809, Max=3.1224, RMS=0.8236
  Col 23: Mean=-0.0042, Std=1.7448, Min=-4.6755, Max=5.3814, RMS=1.7448
  Col 24: Mean=-0.0118, Std=1.0885, Min=-2.2343, Max=3.2042, RMS=1.0886
  Col 25: Mean=-0.0021, Std=1.2867, Min=-3.5719, Max=5.9983, RMS=1.2867
  Col 26: Mean=-0.0096, Std=1.8074, Min=-4.8089, Max=5.0612, RMS=1.8074
  Col 27: Mean=-0.0075, Std=1.0560, Min=-2.2876, Max=2.8509, RMS=1.0560
  Col 28: Mean=-0.0139, Std=1.6949, Min=-3.8988, Max=4.1767, RMS=1.6949
