--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=1.1999, Min=-3.4104, Max=5.1195, RMS=1.1999
  Col 1: Mean=-0.0020, Std=1.3751, Min=-7.3586, Max=4.8774, RMS=1.3751
  Col 2: Mean=-0.0011, Std=3.1589, Min=-7.3450, Max=13.1214, RMS=3.1589
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0006, Std=0.5805, Min=-1.5427, Max=2.7911, RMS=0.5805
  Col 13: Mean=0.0024, Std=0.7328, Min=-4.0929, Max=1.8341, RMS=0.7328
  Col 14: Mean=-0.0006, Std=2.8675, Min=-5.9939, Max=9.8378, RMS=2.8675
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0019, Std=0.5353, Min=-2.0777, Max=1.8130, RMS=0.5353
  Col 19: Mean=0.0053, Std=0.7269, Min=-2.7963, Max=2.4846, RMS=0.7269
  Col 20: Mean=-0.0006, Std=2.7403, Min=-5.8619, Max=9.1252, RMS=2.7403
  Col 21: Mean=0.0002, Std=0.6568, Min=-2.5904, Max=2.5660, RMS=0.6568
  Col 22: Mean=0.0021, Std=0.9711, Min=-2.8973, Max=2.8895, RMS=0.9711
  Col 23: Mean=-0.0025, Std=3.1195, Min=-6.2384, Max=13.3807, RMS=3.1195
  Col 24: Mean=0.0196, Std=1.5884, Min=-4.7930, Max=9.5022, RMS=1.5885
  Col 25: Mean=0.0071, Std=1.3977, Min=-3.8655, Max=4.7575, RMS=1.3977
  Col 26: Mean=-0.0084, Std=3.3033, Min=-6.1400, Max=10.9081, RMS=3.3033
  Col 27: Mean=-0.0134, Std=1.9991, Min=-6.1870, Max=4.7728, RMS=1.9991
  Col 28: Mean=0.0104, Std=1.5501, Min=-4.4088, Max=5.4616, RMS=1.5502
  Col 29: Mean=-0.0012, Std=3.6331, Min=-6.8078, Max=11.1792, RMS=3.6331
  Col 30: Mean=-0.0409, Std=3.0961, Min=-9.3810, Max=8.6105, RMS=3.0964
  Col 31: Mean=0.0079, Std=2.5392, Min=-8.0013, Max=6.7605, RMS=2.5392
  Col 32: Mean=-0.0326, Std=3.8399, Min=-8.5939, Max=11.6734, RMS=3.8400
  Col 33: Mean=-0.0055, Std=0.8627, Min=-2.5991, Max=2.9268, RMS=0.8627
  Col 34: Mean=-0.0001, Std=0.8580, Min=-3.7728, Max=3.7323, RMS=0.8580
  Col 35: Mean=-0.0001, Std=3.1627, Min=-6.0384, Max=15.4574, RMS=3.1627
  Col 36: Mean=-0.0060, Std=1.7532, Min=-4.9999, Max=5.8796, RMS=1.7532
  Col 37: Mean=-0.0233, Std=1.7753, Min=-15.3434, Max=3.5433, RMS=1.7755
  Col 38: Mean=-0.0129, Std=3.4853, Min=-5.8860, Max=12.4354, RMS=3.4854
  Col 39: Mean=-0.0044, Std=2.5111, Min=-7.8051, Max=9.8773, RMS=2.5111
  Col 40: Mean=0.0240, Std=2.2254, Min=-6.6392, Max=7.5831, RMS=2.2255
  Col 41: Mean=-0.0065, Std=4.2718, Min=-7.6272, Max=19.4807, RMS=4.2718
  Col 42: Mean=0.0090, Std=3.6126, Min=-10.0594, Max=14.6764, RMS=3.6126
  Col 43: Mean=0.0422, Std=3.4500, Min=-10.7598, Max=14.2919, RMS=3.4503
  Col 44: Mean=-0.0413, Std=4.8275, Min=-9.7986, Max=25.9467, RMS=4.8277
  Col 45: Mean=0.0159, Std=3.3053, Min=-20.2708, Max=13.6550, RMS=3.3053
  Col 46: Mean=0.0014, Std=3.9571, Min=-36.0576, Max=18.2764, RMS=3.9571
  Col 47: Mean=-0.0138, Std=4.1924, Min=-11.4240, Max=20.2639, RMS=4.1924
  Col 48: Mean=-0.0341, Std=4.9649, Min=-34.7450, Max=37.2618, RMS=4.9650
  Col 49: Mean=0.0529, Std=3.4358, Min=-19.2452, Max=18.8797, RMS=3.4362
  Col 50: Mean=-0.0880, Std=3.6886, Min=-10.7861, Max=28.4841, RMS=3.6896
  Col 51: Mean=0.0277, Std=7.6982, Min=-49.1015, Max=69.2959, RMS=7.6982
  Col 52: Mean=0.0268, Std=6.3417, Min=-61.4345, Max=30.7946, RMS=6.3418
  Col 53: Mean=-0.0499, Std=7.1575, Min=-37.5374, Max=57.2871, RMS=7.1576
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0034, Std=4.3489, Min=-19.1717, Max=24.1559, RMS=4.3489
  Col 58: Mean=0.0018, Std=3.2843, Min=-15.1426, Max=21.7166, RMS=3.2843
  Col 59: Mean=-0.0595, Std=4.6998, Min=-15.9637, Max=23.3920, RMS=4.7002
  Col 60: Mean=-0.0617, Std=3.4941, Min=-13.7824, Max=12.1387, RMS=3.4946
  Col 61: Mean=0.0482, Std=3.5863, Min=-18.9095, Max=17.2997, RMS=3.5866
  Col 62: Mean=-0.1038, Std=3.6204, Min=-11.1351, Max=21.1654, RMS=3.6219
  Col 63: Mean=-0.0774, Std=6.1681, Min=-27.4881, Max=27.7825, RMS=6.1686
  Col 64: Mean=-0.0268, Std=5.7710, Min=-25.6346, Max=24.8950, RMS=5.7710
  Col 65: Mean=-0.0476, Std=7.8055, Min=-31.2021, Max=70.2905, RMS=7.8056
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-28.5756, Std=8.9207, Min=-55.2738, Max=-7.1282, RMS=29.9356
  Col 1: Mean=-79.9457, Std=2.0561, Min=-85.2226, Max=-75.9449, RMS=79.9722
  Col 2: Mean=113.4239, Std=124.7597, Min=-179.9442, Max=179.9938, RMS=168.6119
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-16.6915, Std=4.5073, Min=-30.5240, Max=-6.8054, RMS=17.2894
  Col 13: Mean=-67.1681, Std=2.7824, Min=-72.1658, Max=-61.1560, RMS=67.2257
  Col 14: Mean=-21.7198, Std=5.6280, Min=-35.9993, Max=-9.3019, RMS=22.4371
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=82.3822, Std=3.9804, Min=77.1988, Max=89.6789, RMS=82.4783
  Col 19: Mean=-9.4854, Std=15.0639, Min=-32.5138, Max=8.5476, RMS=17.8015
  Col 20: Mean=121.7990, Std=2.8535, Min=113.0268, Max=126.5859, RMS=121.8324
  Col 21: Mean=55.4957, Std=3.6731, Min=49.0531, Max=62.7000, RMS=55.6171
