--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0007, Std=1.2580, Min=-3.9050, Max=6.0963, RMS=1.2580
  Col 1: Mean=0.0034, Std=1.4324, Min=-6.3972, Max=4.0577, RMS=1.4324
  Col 2: Mean=-0.0009, Std=3.2838, Min=-6.9722, Max=15.4872, RMS=3.2838
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0050, Std=0.5999, Min=-1.7658, Max=3.0634, RMS=0.5999
  Col 13: Mean=0.0047, Std=0.7732, Min=-3.1551, Max=1.9943, RMS=0.7732
  Col 14: Mean=-0.0014, Std=2.8373, Min=-5.5509, Max=8.6211, RMS=2.8373
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0104, Std=0.6741, Min=-2.9749, Max=2.4245, RMS=0.6741
  Col 19: Mean=0.0112, Std=0.7700, Min=-2.5091, Max=2.3543, RMS=0.7701
  Col 20: Mean=-0.0013, Std=2.7646, Min=-5.3300, Max=8.9856, RMS=2.7646
  Col 21: Mean=-0.0033, Std=0.6881, Min=-3.0844, Max=2.9314, RMS=0.6881
  Col 22: Mean=0.0103, Std=1.0242, Min=-3.5612, Max=3.1723, RMS=1.0243
  Col 23: Mean=-0.0021, Std=3.2193, Min=-6.0023, Max=11.6946, RMS=3.2193
  Col 24: Mean=0.0050, Std=1.7689, Min=-5.4857, Max=6.7257, RMS=1.7689
  Col 25: Mean=0.0184, Std=1.4004, Min=-3.9001, Max=5.3324, RMS=1.4005
  Col 26: Mean=-0.0057, Std=3.3931, Min=-6.0613, Max=9.7631, RMS=3.3931
  Col 27: Mean=-0.0295, Std=1.5537, Min=-5.9898, Max=3.4280, RMS=1.5539
  Col 28: Mean=0.0180, Std=1.4449, Min=-4.1187, Max=3.8067, RMS=1.4450
  Col 29: Mean=-0.0034, Std=3.6454, Min=-6.8505, Max=12.0548, RMS=3.6454
  Col 30: Mean=-0.0454, Std=2.4594, Min=-8.2667, Max=7.8468, RMS=2.4598
  Col 31: Mean=0.0147, Std=2.3403, Min=-7.6486, Max=6.8558, RMS=2.3403
  Col 32: Mean=-0.0253, Std=3.5877, Min=-8.4007, Max=11.5134, RMS=3.5878
  Col 33: Mean=-0.0055, Std=0.8453, Min=-2.4607, Max=3.1773, RMS=0.8453
  Col 34: Mean=0.0039, Std=0.8907, Min=-3.5624, Max=2.9458, RMS=0.8908
  Col 35: Mean=-0.0013, Std=3.2830, Min=-5.0158, Max=16.9071, RMS=3.2830
  Col 36: Mean=-0.0009, Std=1.6819, Min=-5.5630, Max=4.4377, RMS=1.6819
  Col 37: Mean=-0.0219, Std=1.5562, Min=-7.1973, Max=4.4161, RMS=1.5563
  Col 38: Mean=-0.0118, Std=3.4173, Min=-5.5166, Max=10.4846, RMS=3.4173
  Col 39: Mean=-0.0242, Std=2.7857, Min=-6.4603, Max=7.2162, RMS=2.7859
  Col 40: Mean=0.0331, Std=2.3305, Min=-8.0346, Max=6.4355, RMS=2.3307
  Col 41: Mean=0.0029, Std=4.2639, Min=-8.7009, Max=13.0795, RMS=4.2639
  Col 42: Mean=-0.0285, Std=4.0681, Min=-9.1861, Max=11.0554, RMS=4.0682
  Col 43: Mean=0.0600, Std=3.4234, Min=-11.3985, Max=7.9478, RMS=3.4239
  Col 44: Mean=-0.0283, Std=4.9282, Min=-10.8105, Max=15.1971, RMS=4.9283
  Col 45: Mean=0.0072, Std=3.9840, Min=-23.1565, Max=18.5396, RMS=3.9840
  Col 46: Mean=0.0043, Std=3.4671, Min=-28.7268, Max=15.4747, RMS=3.4671
  Col 47: Mean=-0.0166, Std=4.1877, Min=-10.9956, Max=17.3095, RMS=4.1878
  Col 48: Mean=-0.0400, Std=4.3868, Min=-21.1696, Max=30.4618, RMS=4.3870
  Col 49: Mean=0.0445, Std=2.9923, Min=-20.4497, Max=11.8503, RMS=2.9926
  Col 50: Mean=-0.0891, Std=3.6533, Min=-12.7435, Max=25.0796, RMS=3.6544
  Col 51: Mean=-0.0093, Std=8.1505, Min=-41.3651, Max=42.2367, RMS=8.1505
  Col 52: Mean=0.0469, Std=5.8123, Min=-26.5248, Max=29.4514, RMS=5.8125
  Col 53: Mean=-0.0169, Std=7.6356, Min=-23.6465, Max=60.9849, RMS=7.6356
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
