--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0015, Std=0.9936, Min=-3.7427, Max=3.6430, RMS=0.9936
  Col 1: Mean=-0.0001, Std=0.9496, Min=-2.7547, Max=3.5761, RMS=0.9496
  Col 2: Mean=0.0032, Std=1.7575, Min=-3.6561, Max=8.6427, RMS=1.7575
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0060, Std=0.7649, Min=-2.9768, Max=2.0527, RMS=0.7650
  Col 13: Mean=0.0016, Std=0.9216, Min=-2.1008, Max=3.5811, RMS=0.9216
  Col 14: Mean=0.0011, Std=1.8238, Min=-3.8779, Max=5.1451, RMS=1.8238
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0007, Std=0.7213, Min=-2.4760, Max=1.5698, RMS=0.7213
  Col 19: Mean=0.0002, Std=0.8615, Min=-1.6139, Max=2.5449, RMS=0.8615
  Col 20: Mean=0.0003, Std=1.7004, Min=-3.5260, Max=6.1310, RMS=1.7004
  Col 21: Mean=-0.0063, Std=0.8256, Min=-3.8397, Max=2.4857, RMS=0.8256
  Col 22: Mean=-0.0010, Std=1.0975, Min=-2.4301, Max=3.1633, RMS=1.0975
  Col 23: Mean=0.0016, Std=1.7320, Min=-3.6556, Max=6.5383, RMS=1.7320
  Col 24: Mean=-0.0067, Std=1.4034, Min=-5.3529, Max=3.2060, RMS=1.4034
  Col 25: Mean=-0.0072, Std=1.1885, Min=-2.9495, Max=3.1999, RMS=1.1885
  Col 26: Mean=-0.0012, Std=1.7960, Min=-3.4529, Max=5.1815, RMS=1.7960
  Col 27: Mean=-0.0004, Std=2.4164, Min=-5.9226, Max=6.2884, RMS=2.4164
  Col 28: Mean=-0.0091, Std=1.1924, Min=-2.7595, Max=4.0355, RMS=1.1924
  Col 29: Mean=0.0015, Std=1.9875, Min=-4.3269, Max=5.0812, RMS=1.9875
  Col 30: Mean=0.0306, Std=3.1726, Min=-9.2792, Max=7.5859, RMS=3.1728
  Col 31: Mean=-0.0056, Std=1.5416, Min=-6.0263, Max=5.5794, RMS=1.5416
  Col 32: Mean=-0.1779, Std=2.5480, Min=-9.1317, Max=5.5071, RMS=2.5542
  Col 33: Mean=-0.0069, Std=0.8597, Min=-2.5670, Max=1.9286, RMS=0.8598
  Col 34: Mean=-0.0008, Std=0.9794, Min=-2.8018, Max=2.3842, RMS=0.9794
  Col 35: Mean=0.0007, Std=1.6779, Min=-3.6005, Max=5.8720, RMS=1.6779
