--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Francesco/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0141, Std=1.9379, Min=-5.5846, Max=6.8882, RMS=1.9379
  Col 1: Mean=-0.0003, Std=1.2849, Min=-4.3559, Max=4.1952, RMS=1.2849
  Col 2: Mean=-0.0069, Std=2.7890, Min=-5.9199, Max=11.0974, RMS=2.7890
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0098, Std=0.7315, Min=-2.1981, Max=2.1651, RMS=0.7316
  Col 13: Mean=-0.0015, Std=0.9159, Min=-3.0045, Max=2.6389, RMS=0.9159
  Col 14: Mean=-0.0014, Std=2.1057, Min=-3.8285, Max=6.4003, RMS=2.1057
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0058, Std=0.5014, Min=-1.4761, Max=1.7629, RMS=0.5014
  Col 19: Mean=-0.0030, Std=0.6693, Min=-1.8414, Max=1.7760, RMS=0.6693
  Col 20: Mean=-0.0007, Std=2.0964, Min=-3.2459, Max=7.7107, RMS=2.0964
  Col 21: Mean=-0.0094, Std=0.7866, Min=-2.2631, Max=2.2242, RMS=0.7867
  Col 22: Mean=-0.0017, Std=0.7730, Min=-2.1432, Max=2.0983, RMS=0.7730
  Col 23: Mean=0.0004, Std=2.2294, Min=-3.9052, Max=6.6045, RMS=2.2294
  Col 24: Mean=0.0020, Std=1.7327, Min=-6.2456, Max=4.6529, RMS=1.7327
  Col 25: Mean=-0.0109, Std=1.1320, Min=-4.5713, Max=2.8359, RMS=1.1320
  Col 26: Mean=-0.0022, Std=2.2629, Min=-4.7319, Max=6.5471, RMS=2.2629
  Col 27: Mean=0.0072, Std=2.5687, Min=-5.2065, Max=5.2450, RMS=2.5688
  Col 28: Mean=-0.0022, Std=0.8542, Min=-3.6249, Max=2.6129, RMS=0.8542
  Col 29: Mean=0.0083, Std=2.5039, Min=-9.2015, Max=6.8069, RMS=2.5039
  Col 30: Mean=0.0178, Std=3.5461, Min=-9.1676, Max=7.4258, RMS=3.5461
  Col 31: Mean=0.0115, Std=1.2791, Min=-4.4882, Max=3.0280, RMS=1.2791
  Col 32: Mean=0.0043, Std=2.7439, Min=-8.1647, Max=6.8852, RMS=2.7439
  Col 33: Mean=-0.0081, Std=0.7401, Min=-2.7565, Max=2.1165, RMS=0.7402
  Col 34: Mean=0.0019, Std=0.7807, Min=-1.9080, Max=1.7300, RMS=0.7807
  Col 35: Mean=-0.0006, Std=2.2608, Min=-4.2604, Max=8.3165, RMS=2.2608
  Col 36: Mean=0.0018, Std=1.7508, Min=-5.1215, Max=5.1547, RMS=1.7508
  Col 37: Mean=0.0122, Std=1.2177, Min=-3.2114, Max=2.3541, RMS=1.2177
  Col 38: Mean=-0.0103, Std=2.1269, Min=-3.8536, Max=5.9643, RMS=2.1269
  Col 39: Mean=0.0066, Std=3.7180, Min=-7.2459, Max=7.4362, RMS=3.7180
  Col 40: Mean=-0.0049, Std=1.2248, Min=-2.6952, Max=3.1555, RMS=1.2248
  Col 41: Mean=0.0204, Std=2.7110, Min=-5.9002, Max=5.9789, RMS=2.7111
  Col 42: Mean=0.0183, Std=4.9989, Min=-9.9968, Max=10.2486, RMS=4.9989
  Col 43: Mean=-0.0151, Std=1.5134, Min=-3.4568, Max=4.8197, RMS=1.5135
  Col 44: Mean=0.0090, Std=3.2634, Min=-9.7968, Max=6.8318, RMS=3.2635
  Col 45: Mean=0.0591, Std=5.9986, Min=-23.4616, Max=28.9152, RMS=5.9989
  Col 46: Mean=0.0678, Std=3.0686, Min=-13.5310, Max=15.0420, RMS=3.0694
  Col 47: Mean=-0.4336, Std=5.4798, Min=-23.0289, Max=23.2905, RMS=5.4970
  Col 48: Mean=0.0355, Std=5.9549, Min=-15.0390, Max=19.4327, RMS=5.9550
  Col 49: Mean=-0.0339, Std=3.0903, Min=-13.7392, Max=12.2067, RMS=3.0905
  Col 50: Mean=-0.1264, Std=3.7495, Min=-13.0516, Max=23.7807, RMS=3.7516
  Col 51: Mean=0.0937, Std=11.9380, Min=-35.9442, Max=33.4664, RMS=11.9384
  Col 52: Mean=-0.0167, Std=2.9178, Min=-19.2519, Max=14.8793, RMS=2.9178
  Col 53: Mean=-0.1823, Std=8.6012, Min=-33.3986, Max=30.3271, RMS=8.6031
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
