--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0037, Std=1.0478, Min=-3.8101, Max=4.6060, RMS=1.0478
  Col 1: Mean=-0.0052, Std=1.3892, Min=-6.8046, Max=4.5545, RMS=1.3892
  Col 2: Mean=0.0108, Std=1.2756, Min=-3.1366, Max=4.2624, RMS=1.2757
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0037, Std=0.4603, Min=-0.9756, Max=1.7308, RMS=0.4603
  Col 13: Mean=0.0004, Std=1.0204, Min=-2.4062, Max=2.4863, RMS=1.0204
  Col 14: Mean=0.0100, Std=1.2781, Min=-2.3312, Max=4.1112, RMS=1.2782
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0031, Std=0.3957, Min=-0.9078, Max=1.0329, RMS=0.3957
  Col 19: Mean=0.0040, Std=0.8843, Min=-3.0625, Max=2.4340, RMS=0.8843
  Col 20: Mean=0.0093, Std=1.2489, Min=-2.7578, Max=4.4327, RMS=1.2489
  Col 21: Mean=0.0025, Std=0.5255, Min=-1.1236, Max=1.6558, RMS=0.5255
  Col 22: Mean=0.0016, Std=1.0196, Min=-3.3621, Max=2.3177, RMS=1.0196
  Col 23: Mean=0.0102, Std=1.3640, Min=-2.5567, Max=5.1561, RMS=1.3641
  Col 24: Mean=0.0049, Std=0.5272, Min=-1.5031, Max=1.9976, RMS=0.5273
  Col 25: Mean=0.0142, Std=1.2990, Min=-5.7095, Max=2.6995, RMS=1.2991
  Col 26: Mean=-0.1511, Std=1.8215, Min=-9.0858, Max=4.9326, RMS=1.8278
  Col 27: Mean=0.0075, Std=0.5872, Min=-1.5052, Max=2.5635, RMS=0.5872
  Col 28: Mean=0.0033, Std=1.2072, Min=-2.9896, Max=2.8838, RMS=1.2072
  Col 29: Mean=-0.0011, Std=1.4541, Min=-2.5509, Max=4.7219, RMS=1.4541
  Col 30: Mean=0.0050, Std=0.6666, Min=-2.1020, Max=1.8182, RMS=0.6666
  Col 31: Mean=0.0109, Std=1.4876, Min=-4.3538, Max=3.9468, RMS=1.4876
  Col 32: Mean=-0.0020, Std=1.4049, Min=-2.7240, Max=4.4999, RMS=1.4049
  Col 33: Mean=0.0043, Std=0.5575, Min=-1.1940, Max=1.5206, RMS=0.5575
  Col 34: Mean=0.0006, Std=1.0560, Min=-3.0589, Max=2.7822, RMS=1.0560
  Col 35: Mean=0.0116, Std=1.4074, Min=-2.7562, Max=5.6195, RMS=1.4074
  Col 36: Mean=0.0010, Std=0.7008, Min=-1.6898, Max=2.1599, RMS=0.7008
  Col 37: Mean=-0.0062, Std=1.4839, Min=-5.3379, Max=4.2171, RMS=1.4839
  Col 38: Mean=0.0028, Std=1.5308, Min=-2.8347, Max=5.7524, RMS=1.5308
  Col 39: Mean=0.0020, Std=0.8566, Min=-2.7669, Max=2.2122, RMS=0.8566
  Col 40: Mean=-0.0059, Std=1.2749, Min=-3.2571, Max=4.3191, RMS=1.2750
  Col 41: Mean=-0.0017, Std=1.5204, Min=-3.3836, Max=5.8233, RMS=1.5204
  Col 42: Mean=0.0022, Std=1.3316, Min=-5.3114, Max=3.9917, RMS=1.3316
  Col 43: Mean=-0.0090, Std=1.6669, Min=-3.7075, Max=5.9529, RMS=1.6669
  Col 44: Mean=-0.0107, Std=1.6703, Min=-4.3258, Max=6.3871, RMS=1.6703
  Col 45: Mean=-0.0078, Std=1.5295, Min=-5.4359, Max=5.9548, RMS=1.5295
  Col 46: Mean=-0.0100, Std=1.8668, Min=-5.2201, Max=6.0882, RMS=1.8669
  Col 47: Mean=0.0114, Std=2.7559, Min=-10.2044, Max=13.1314, RMS=2.7560
  Col 48: Mean=0.0111, Std=2.2239, Min=-11.4723, Max=10.1204, RMS=2.2239
  Col 49: Mean=0.0145, Std=3.5685, Min=-7.4752, Max=16.4512, RMS=3.5685
  Col 50: Mean=-0.0602, Std=2.0707, Min=-6.8881, Max=12.1881, RMS=2.0716
  Col 51: Mean=0.0140, Std=2.5712, Min=-19.6966, Max=14.2364, RMS=2.5713
  Col 52: Mean=0.0189, Std=5.8496, Min=-14.2901, Max=34.4618, RMS=5.8497
  Col 53: Mean=-0.0783, Std=3.7235, Min=-13.0367, Max=16.3953, RMS=3.7243
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0096, Std=1.5742, Min=-4.9513, Max=5.0383, RMS=1.5742
  Col 58: Mean=-0.0046, Std=1.9872, Min=-4.5736, Max=6.8598, RMS=1.9872
  Col 59: Mean=0.0045, Std=2.7988, Min=-9.8604, Max=13.8804, RMS=2.7988
  Col 60: Mean=-0.0083, Std=1.6778, Min=-8.1682, Max=7.3246, RMS=1.6778
  Col 61: Mean=-0.0036, Std=3.7384, Min=-8.8796, Max=15.9643, RMS=3.7384
  Col 62: Mean=-0.0489, Std=2.3987, Min=-11.1433, Max=13.8000, RMS=2.3992
