--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0399, Std=0.9348, Min=-2.5652, Max=2.9092, RMS=0.9357
  Col 1: Mean=-0.0076, Std=1.2741, Min=-4.8730, Max=3.3390, RMS=1.2741
  Col 2: Mean=0.0126, Std=1.1429, Min=-2.1600, Max=3.9804, RMS=1.1430
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0187, Std=0.4922, Min=-0.9664, Max=1.6692, RMS=0.4926
  Col 13: Mean=-0.0119, Std=0.9422, Min=-2.6586, Max=2.6166, RMS=0.9423
  Col 14: Mean=0.0198, Std=1.1799, Min=-2.0872, Max=4.4530, RMS=1.1800
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0036, Std=0.4141, Min=-1.0002, Max=1.0225, RMS=0.4141
  Col 19: Mean=-0.0368, Std=0.8433, Min=-2.8272, Max=2.7256, RMS=0.8441
  Col 20: Mean=0.0075, Std=1.1407, Min=-2.0944, Max=4.3306, RMS=1.1407
  Col 21: Mean=-0.0255, Std=0.5463, Min=-1.4218, Max=1.5440, RMS=0.5469
  Col 22: Mean=-0.0222, Std=0.9509, Min=-2.5111, Max=2.6882, RMS=0.9512
  Col 23: Mean=0.0030, Std=1.2458, Min=-2.4380, Max=4.8087, RMS=1.2458
  Col 24: Mean=-0.0222, Std=0.6109, Min=-1.8596, Max=2.2474, RMS=0.6113
  Col 25: Mean=-0.0184, Std=1.3068, Min=-4.0425, Max=3.1224, RMS=1.3070
  Col 26: Mean=-0.0015, Std=1.3012, Min=-2.8402, Max=4.2743, RMS=1.3012
  Col 27: Mean=-0.0283, Std=0.5299, Min=-1.6251, Max=1.3504, RMS=0.5306
  Col 28: Mean=-0.0046, Std=1.0855, Min=-2.6144, Max=2.3445, RMS=1.0855
  Col 29: Mean=-0.0023, Std=1.2411, Min=-2.2420, Max=4.2313, RMS=1.2411
  Col 30: Mean=-0.0337, Std=0.6218, Min=-1.6342, Max=1.5398, RMS=0.6227
  Col 31: Mean=0.0090, Std=1.2519, Min=-3.5403, Max=2.3929, RMS=1.2519
