--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0023, Std=0.8680, Min=-3.2876, Max=2.8546, RMS=0.8680
  Col 1: Mean=0.0029, Std=1.2188, Min=-3.3899, Max=3.8090, RMS=1.2188
  Col 2: Mean=-0.0009, Std=1.2929, Min=-3.0322, Max=4.9460, RMS=1.2929
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0083, Std=0.5896, Min=-2.2150, Max=1.9974, RMS=0.5897
  Col 13: Mean=-0.0034, Std=1.2486, Min=-3.4368, Max=3.7648, RMS=1.2486
  Col 14: Mean=-0.0043, Std=1.3110, Min=-1.9790, Max=4.7175, RMS=1.3110
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0016, Std=0.5769, Min=-1.5659, Max=1.8271, RMS=0.5769
  Col 19: Mean=0.0159, Std=1.2139, Min=-3.6058, Max=3.4964, RMS=1.2140
  Col 20: Mean=-0.0085, Std=1.2567, Min=-1.9662, Max=4.9176, RMS=1.2567
  Col 21: Mean=-0.0108, Std=0.6581, Min=-2.5269, Max=2.4174, RMS=0.6582
  Col 22: Mean=-0.0074, Std=1.2716, Min=-3.5651, Max=3.1559, RMS=1.2716
  Col 23: Mean=-0.0058, Std=1.2723, Min=-2.1947, Max=4.8592, RMS=1.2723
  Col 24: Mean=-0.0087, Std=0.6752, Min=-2.0119, Max=2.6004, RMS=0.6753
  Col 25: Mean=-0.0275, Std=1.5151, Min=-3.7047, Max=3.6899, RMS=1.5154
