--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0037, Std=0.7507, Min=-3.2962, Max=3.6132, RMS=0.7507
  Col 1: Mean=0.0092, Std=1.1767, Min=-3.2700, Max=4.2633, RMS=1.1767
  Col 2: Mean=-0.0003, Std=1.2013, Min=-2.5645, Max=4.2052, RMS=1.2013
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0021, Std=0.5426, Min=-1.8392, Max=2.0243, RMS=0.5426
  Col 13: Mean=-0.0015, Std=1.2217, Min=-2.8168, Max=3.5760, RMS=1.2217
  Col 14: Mean=-0.0054, Std=1.3203, Min=-2.3049, Max=4.6992, RMS=1.3203
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0040, Std=0.4898, Min=-1.3927, Max=1.5767, RMS=0.4898
  Col 19: Mean=-0.0014, Std=1.1289, Min=-2.6101, Max=3.3412, RMS=1.1289
  Col 20: Mean=-0.0045, Std=1.2410, Min=-1.9880, Max=4.4968, RMS=1.2410
  Col 21: Mean=0.0017, Std=0.5556, Min=-1.8954, Max=1.5692, RMS=0.5556
  Col 22: Mean=-0.0003, Std=1.2421, Min=-4.1899, Max=3.3166, RMS=1.2421
  Col 23: Mean=-0.0054, Std=1.2497, Min=-1.8021, Max=4.0814, RMS=1.2497
