--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0069, Std=2.2992, Min=-8.1163, Max=9.1582, RMS=2.2992
  Col 1: Mean=0.0196, Std=2.1647, Min=-14.9015, Max=7.8201, RMS=2.1648
  Col 2: Mean=-0.0223, Std=3.5621, Min=-8.7845, Max=16.0091, RMS=3.5621
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0150, Std=0.8893, Min=-3.3648, Max=5.2085, RMS=0.8894
  Col 13: Mean=0.0162, Std=0.7070, Min=-2.4703, Max=3.1696, RMS=0.7072
  Col 14: Mean=0.0053, Std=3.0703, Min=-5.6468, Max=11.7492, RMS=3.0703
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0156, Std=1.0047, Min=-3.1464, Max=3.0102, RMS=1.0048
  Col 19: Mean=0.0029, Std=0.5316, Min=-1.3649, Max=1.4211, RMS=0.5316
  Col 20: Mean=0.0041, Std=3.0134, Min=-5.3025, Max=12.7333, RMS=3.0134
  Col 21: Mean=-0.0133, Std=0.9296, Min=-2.6062, Max=4.0136, RMS=0.9297
  Col 22: Mean=0.0143, Std=0.8438, Min=-4.4974, Max=3.2924, RMS=0.8439
  Col 23: Mean=0.0054, Std=3.3092, Min=-5.9034, Max=12.6610, RMS=3.3092
  Col 24: Mean=-0.0057, Std=1.3721, Min=-3.1933, Max=5.5984, RMS=1.3721
  Col 25: Mean=0.0191, Std=0.9649, Min=-3.2734, Max=3.5942, RMS=0.9651
  Col 26: Mean=0.0008, Std=3.2643, Min=-6.5629, Max=12.1865, RMS=3.2643
  Col 27: Mean=0.0019, Std=1.0924, Min=-2.2479, Max=3.7564, RMS=1.0924
  Col 28: Mean=0.0184, Std=0.9752, Min=-3.0597, Max=4.5850, RMS=0.9754
  Col 29: Mean=-0.0027, Std=3.1146, Min=-5.7872, Max=12.3533, RMS=3.1146
