--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0029, Std=1.2868, Min=-3.8335, Max=3.6341, RMS=1.2868
  Col 1: Mean=-0.0083, Std=1.2346, Min=-4.0275, Max=4.6696, RMS=1.2346
  Col 2: Mean=0.0020, Std=2.3024, Min=-4.0467, Max=7.1930, RMS=2.3024
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0210, Std=1.0806, Min=-5.0639, Max=2.6693, RMS=1.0808
  Col 13: Mean=-0.0098, Std=0.8519, Min=-3.9980, Max=1.9206, RMS=0.8520
  Col 14: Mean=-0.1764, Std=2.5483, Min=-8.8530, Max=7.3752, RMS=2.5544
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0014, Std=1.0067, Min=-3.6552, Max=3.0347, RMS=1.0067
  Col 19: Mean=-0.0049, Std=0.8829, Min=-3.5373, Max=2.3982, RMS=0.8829
  Col 20: Mean=0.0029, Std=2.1689, Min=-3.6542, Max=6.8404, RMS=2.1689
  Col 21: Mean=-0.0020, Std=1.2001, Min=-4.5579, Max=3.2143, RMS=1.2001
  Col 22: Mean=-0.0051, Std=1.0656, Min=-4.0397, Max=4.1635, RMS=1.0656
  Col 23: Mean=0.0010, Std=2.2351, Min=-3.8467, Max=8.6392, RMS=2.2351
  Col 24: Mean=-0.0008, Std=1.5057, Min=-4.4070, Max=4.2353, RMS=1.5057
  Col 25: Mean=-0.0084, Std=0.7936, Min=-3.2460, Max=2.9584, RMS=0.7936
  Col 26: Mean=-0.0024, Std=2.4400, Min=-4.2090, Max=8.3525, RMS=2.4400
  Col 27: Mean=-0.0004, Std=1.2624, Min=-3.6118, Max=2.5754, RMS=1.2624
  Col 28: Mean=0.0025, Std=0.9193, Min=-4.8149, Max=2.1188, RMS=0.9193
  Col 29: Mean=-0.0073, Std=2.3560, Min=-3.8335, Max=7.8812, RMS=2.3560
  Col 30: Mean=-0.0003, Std=1.5576, Min=-5.1652, Max=4.0110, RMS=1.5576
  Col 31: Mean=0.0026, Std=0.9228, Min=-4.1255, Max=2.7215, RMS=0.9228
  Col 32: Mean=-0.0040, Std=2.2877, Min=-3.9716, Max=8.1427, RMS=2.2877
  Col 33: Mean=-0.0037, Std=1.3213, Min=-5.7518, Max=3.3628, RMS=1.3213
  Col 34: Mean=-0.0035, Std=1.1627, Min=-2.7732, Max=5.3636, RMS=1.1627
  Col 35: Mean=0.0010, Std=2.3172, Min=-3.7084, Max=8.0200, RMS=2.3172
  Col 36: Mean=-0.0034, Std=1.5275, Min=-4.9665, Max=3.9493, RMS=1.5275
  Col 37: Mean=-0.0044, Std=1.1026, Min=-2.9223, Max=3.6395, RMS=1.1026
  Col 38: Mean=-0.0032, Std=2.4667, Min=-4.2653, Max=8.2158, RMS=2.4667
  Col 39: Mean=0.0185, Std=1.5872, Min=-8.3841, Max=3.6906, RMS=1.5873
  Col 40: Mean=-0.0103, Std=0.9948, Min=-2.9756, Max=4.6003, RMS=0.9948
  Col 41: Mean=-0.0015, Std=2.3491, Min=-3.5737, Max=9.1473, RMS=2.3491
  Col 42: Mean=0.0100, Std=1.8940, Min=-10.8333, Max=4.2033, RMS=1.8940
  Col 43: Mean=-0.0142, Std=1.2262, Min=-3.8529, Max=6.0438, RMS=1.2263
  Col 44: Mean=-0.3157, Std=2.8690, Min=-9.2189, Max=9.2734, RMS=2.8863
  Col 45: Mean=-0.0007, Std=2.8945, Min=-13.8645, Max=10.0069, RMS=2.8945
  Col 46: Mean=-0.0059, Std=1.8234, Min=-6.2355, Max=7.6728, RMS=1.8235
  Col 47: Mean=0.0069, Std=3.6033, Min=-10.4660, Max=13.5933, RMS=3.6033
  Col 48: Mean=0.0801, Std=4.0221, Min=-12.7669, Max=15.6257, RMS=4.0229
  Col 49: Mean=0.0111, Std=2.4963, Min=-17.2678, Max=15.4145, RMS=2.4963
  Col 50: Mean=-0.0488, Std=4.0293, Min=-13.8492, Max=18.5828, RMS=4.0296
  Col 51: Mean=0.1475, Std=5.7223, Min=-27.7318, Max=15.3481, RMS=5.7242
  Col 52: Mean=0.0347, Std=3.1600, Min=-25.0325, Max=21.6046, RMS=3.1602
  Col 53: Mean=-0.2269, Std=5.9320, Min=-17.3554, Max=31.9806, RMS=5.9364
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0097, Std=2.8432, Min=-15.9377, Max=10.2036, RMS=2.8432
  Col 58: Mean=0.0109, Std=2.2280, Min=-10.0117, Max=7.0919, RMS=2.2281
  Col 59: Mean=0.0002, Std=3.7356, Min=-8.9514, Max=16.2038, RMS=3.7356
  Col 60: Mean=0.0768, Std=4.1452, Min=-16.1587, Max=14.2752, RMS=4.1459
  Col 61: Mean=0.0280, Std=2.4595, Min=-11.6185, Max=20.5634, RMS=2.4596
  Col 62: Mean=-0.0620, Std=4.7614, Min=-17.0208, Max=28.9065, RMS=4.7618
  Col 63: Mean=0.1818, Std=6.8184, Min=-24.4865, Max=26.5891, RMS=6.8208
  Col 64: Mean=0.0325, Std=4.3772, Min=-26.5814, Max=36.4803, RMS=4.3773
  Col 65: Mean=0.0224, Std=7.2906, Min=-24.8058, Max=35.5821, RMS=7.2907
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-8.7294, Std=7.1864, Min=-21.4952, Max=6.3858, RMS=11.3069
  Col 1: Mean=-61.1363, Std=3.5604, Min=-70.1689, Max=-53.1498, RMS=61.2399
  Col 2: Mean=20.8168, Std=4.9141, Min=6.6306, Max=32.4707, RMS=21.3890
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.8028, Std=26.1280, Min=-179.9762, Max=179.8922, RMS=26.1403
  Col 13: Mean=-71.4850, Std=10.6519, Min=-82.1166, Max=-6.1626, RMS=72.2742
  Col 14: Mean=-104.3787, Std=128.9866, Min=-179.9810, Max=179.9895, RMS=165.9290
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-86.9430, Std=11.0694, Min=-117.7149, Max=-77.2284, RMS=87.6449
  Col 19: Mean=-1.4940, Std=5.0226, Min=-6.6722, Max=13.6136, RMS=5.2401
  Col 20: Mean=124.8556, Std=3.5414, Min=117.2892, Max=132.6535, RMS=124.9058
  Col 21: Mean=59.1387, Std=6.4121, Min=48.2444, Max=72.7099, RMS=59.4853
  Col 22: Mean=1.1985, Std=2.7143, Min=-4.5002, Max=8.6530, RMS=2.9672
  Col 23: Mean=-67.9005, Std=5.9183, Min=-80.5027, Max=-53.9598, RMS=68.1579
  Col 24: Mean=17.5080, Std=15.4731, Min=-14.9087, Max=45.1061, RMS=23.3655
  Col 25: Mean=-72.5228, Std=4.3844, Min=-80.7436, Max=-59.9358, RMS=72.6552
  Col 26: Mean=81.4776, Std=16.8241, Min=44.6211, Max=114.6118, RMS=83.1965
  Col 27: Mean=16.9615, Std=22.2077, Min=-15.3062, Max=66.7715, RMS=27.9441
  Col 28: Mean=-76.9644, Std=2.7082, Min=-83.4619, Max=-71.1167, RMS=77.0120
