--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Jessica/imu/walk/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0003, Std=1.7739, Min=-4.1325, Max=6.0908, RMS=1.7739
  Col 1: Mean=0.0059, Std=1.1949, Min=-5.7178, Max=3.3911, RMS=1.1950
  Col 2: Mean=-0.0043, Std=1.8830, Min=-4.5568, Max=6.4337, RMS=1.8830
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0009, Std=0.8626, Min=-1.4660, Max=2.4427, RMS=0.8626
  Col 13: Mean=0.0021, Std=0.6685, Min=-2.2227, Max=1.4928, RMS=0.6685
  Col 14: Mean=0.0008, Std=1.7689, Min=-3.4637, Max=5.0774, RMS=1.7689
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0038, Std=0.4608, Min=-1.5420, Max=1.3882, RMS=0.4608
  Col 19: Mean=0.0038, Std=0.5520, Min=-1.8178, Max=1.3469, RMS=0.5520
  Col 20: Mean=0.0023, Std=1.6710, Min=-3.2791, Max=5.2775, RMS=1.6710
  Col 21: Mean=-0.0000, Std=0.8462, Min=-1.7120, Max=2.5985, RMS=0.8462
  Col 22: Mean=0.0032, Std=0.7622, Min=-2.7785, Max=2.4515, RMS=0.7622
  Col 23: Mean=0.0005, Std=1.6336, Min=-3.0035, Max=5.3458, RMS=1.6336
  Col 24: Mean=-0.0013, Std=1.1816, Min=-2.4990, Max=4.7858, RMS=1.1816
  Col 25: Mean=0.0062, Std=0.8981, Min=-2.2669, Max=2.3524, RMS=0.8981
  Col 26: Mean=-0.0019, Std=1.8879, Min=-3.4054, Max=4.7782, RMS=1.8879
  Col 27: Mean=-0.0124, Std=1.2079, Min=-3.2967, Max=3.2732, RMS=1.2080
  Col 28: Mean=0.0039, Std=0.9812, Min=-2.4176, Max=3.2269, RMS=0.9812
  Col 29: Mean=-0.0025, Std=1.9388, Min=-3.6466, Max=4.8924, RMS=1.9388
  Col 30: Mean=-0.0188, Std=1.7995, Min=-4.3585, Max=5.4419, RMS=1.7996
  Col 31: Mean=0.0230, Std=1.1297, Min=-3.1648, Max=2.4233, RMS=1.1299
  Col 32: Mean=-0.3644, Std=2.5455, Min=-9.0622, Max=4.7441, RMS=2.5714
  Col 33: Mean=0.0020, Std=0.9281, Min=-2.2763, Max=3.1568, RMS=0.9281
  Col 34: Mean=0.0033, Std=0.6724, Min=-2.3877, Max=1.9552, RMS=0.6724
  Col 35: Mean=0.0021, Std=1.6699, Min=-3.0600, Max=5.0626, RMS=1.6699
  Col 36: Mean=0.0013, Std=1.7137, Min=-5.9085, Max=5.1705, RMS=1.7137
  Col 37: Mean=-0.0084, Std=0.9399, Min=-3.5102, Max=2.2668, RMS=0.9399
  Col 38: Mean=-0.0035, Std=1.9735, Min=-3.3566, Max=4.9999, RMS=1.9735
  Col 39: Mean=-0.0181, Std=2.1678, Min=-7.9669, Max=4.2528, RMS=2.1679
  Col 40: Mean=0.0202, Std=1.1732, Min=-3.9590, Max=2.7479, RMS=1.1734
  Col 41: Mean=-0.0032, Std=1.9167, Min=-3.1241, Max=5.6511, RMS=1.9167
  Col 42: Mean=-0.0272, Std=3.0554, Min=-9.0316, Max=6.3866, RMS=3.0556
  Col 43: Mean=0.0269, Std=1.8917, Min=-6.6552, Max=4.1793, RMS=1.8919
  Col 44: Mean=-0.0161, Std=2.0873, Min=-3.3251, Max=6.1699, RMS=2.0874
  Col 45: Mean=-0.0097, Std=2.5891, Min=-6.3658, Max=13.6823, RMS=2.5891
  Col 46: Mean=-0.0134, Std=2.3510, Min=-7.0871, Max=8.6417, RMS=2.3510
  Col 47: Mean=-0.0007, Std=3.8151, Min=-10.7925, Max=13.8305, RMS=3.8151
  Col 48: Mean=-0.0219, Std=5.2319, Min=-16.6623, Max=11.4855, RMS=5.2320
  Col 49: Mean=0.0387, Std=2.5553, Min=-8.4330, Max=8.6397, RMS=2.5556
  Col 50: Mean=-0.1254, Std=3.0128, Min=-11.7687, Max=15.4038, RMS=3.0154
  Col 51: Mean=-0.0576, Std=8.5034, Min=-37.7779, Max=26.8550, RMS=8.5036
  Col 52: Mean=0.0429, Std=4.4249, Min=-19.4801, Max=17.1328, RMS=4.4251
  Col 53: Mean=-0.2014, Std=5.7106, Min=-22.9016, Max=22.4523, RMS=5.7141
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0001, Std=2.8920, Min=-7.5301, Max=7.5179, RMS=2.8920
  Col 58: Mean=0.0157, Std=1.8485, Min=-5.9309, Max=5.8271, RMS=1.8485
  Col 59: Mean=-0.0030, Std=3.4383, Min=-9.4984, Max=9.5474, RMS=3.4383
  Col 60: Mean=-0.0269, Std=5.1626, Min=-16.6671, Max=11.9065, RMS=5.1627
  Col 61: Mean=-0.0173, Std=2.7450, Min=-7.6939, Max=10.7172, RMS=2.7450
  Col 62: Mean=-0.1208, Std=2.7030, Min=-9.7550, Max=12.6697, RMS=2.7057
  Col 63: Mean=-0.0493, Std=9.0032, Min=-36.2735, Max=27.2019, RMS=9.0033
  Col 64: Mean=-0.0012, Std=4.2701, Min=-18.1909, Max=24.7919, RMS=4.2701
  Col 65: Mean=-0.1909, Std=5.6540, Min=-20.0022, Max=21.5201, RMS=5.6572
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-9.9379, Std=7.3842, Min=-21.5094, Max=2.1682, RMS=12.3809
  Col 1: Mean=-63.8081, Std=1.9595, Min=-68.7771, Max=-59.3374, RMS=63.8382
  Col 2: Mean=47.3791, Std=167.4653, Min=-179.9974, Max=179.9767, RMS=174.0385
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.9342, Std=2.0625, Min=-2.5797, Max=7.7216, RMS=2.2642
  Col 13: Mean=-61.2695, Std=2.3077, Min=-69.9077, Max=-56.2343, RMS=61.3130
  Col 14: Mean=-21.0383, Std=2.2043, Min=-27.9312, Max=-15.7648, RMS=21.1535
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-101.8222, Std=11.7065, Min=-116.3321, Max=-79.2398, RMS=102.4929
  Col 19: Mean=2.2382, Std=3.2616, Min=-4.2882, Max=7.1423, RMS=3.9557
  Col 20: Mean=-91.1435, Std=2.1499, Min=-96.2327, Max=-84.8629, RMS=91.1689
  Col 21: Mean=71.1432, Std=2.6157, Min=61.4055, Max=76.1969, RMS=71.1912
  Col 22: Mean=-1.2380, Std=0.8143, Min=-4.2325, Max=0.4353, RMS=1.4818
  Col 23: Mean=76.7139, Std=2.6462, Min=70.7404, Max=83.3651, RMS=76.7595
  Col 24: Mean=-15.7207, Std=13.4424, Min=-42.2580, Max=18.5501, RMS=20.6843
  Col 25: Mean=-78.1286, Std=1.3321, Min=-80.6498, Max=-74.8019, RMS=78.1400
  Col 26: Mean=-101.9574, Std=15.4743, Min=-136.4109, Max=-68.7596, RMS=103.1250
  Col 27: Mean=-6.0343, Std=11.4368, Min=-26.3761, Max=24.2807, RMS=12.9311
  Col 28: Mean=-71.6226, Std=5.1338, Min=-79.2196, Max=-57.1212, RMS=71.8064
  Col 29: Mean=-46.5919, Std=14.5458, Min=-83.3074, Max=-21.1392, RMS=48.8097
  Col 30: Mean=84.8723, Std=18.2166, Min=76.5897, Max=173.1721, RMS=86.8052
  Col 31: Mean=-8.7427, Std=6.3731, Min=-26.3197, Max=3.0028, RMS=10.8190
  Col 32: Mean=138.6466, Std=97.0758, Min=-179.9947, Max=179.9267, RMS=169.2530
  Col 33: Mean=64.4890, Std=2.3545, Min=56.3200, Max=70.3741, RMS=64.5320
  Col 34: Mean=-9.2623, Std=1.2433, Min=-12.9732, Max=-6.5879, RMS=9.3454
  Col 35: Mean=58.0275, Std=2.7300, Min=52.2536, Max=64.5682, RMS=58.0916
  Col 36: Mean=8.4424, Std=15.0812, Min=-32.8049, Max=38.9504, RMS=17.2834
  Col 37: Mean=-74.5159, Std=2.9738, Min=-80.7697, Max=-67.2941, RMS=74.5752
  Col 38: Mean=41.9275, Std=19.4926, Min=0.8713, Max=99.4518, RMS=46.2372
  Col 39: Mean=42.9438, Std=12.1290, Min=9.6294, Max=64.0520, RMS=44.6238
  Col 40: Mean=-60.1356, Std=8.8177, Min=-73.2802, Max=-37.0064, RMS=60.7786
  Col 41: Mean=6.0854, Std=16.9885, Min=-37.2294, Max=45.3379, RMS=18.0455
  Col 42: Mean=81.2984, Std=4.6543, Min=70.4059, Max=91.2615, RMS=81.4315
  Col 43: Mean=-0.5907, Std=11.1691, Min=-22.1844, Max=27.1946, RMS=11.1847
  Col 44: Mean=-41.9731, Std=10.1157, Min=-69.6052, Max=-15.5711, RMS=43.1749
  Col 45: Mean=-18.1135, Std=94.5773, Min=-179.9976, Max=179.9033, RMS=96.2963
  Col 46: Mean=-76.3823, Std=6.9561, Min=-89.2502, Max=-62.5102, RMS=76.6984
  Col 47: Mean=22.7551, Std=79.9432, Min=-179.9452, Max=177.1587, RMS=83.1186
  Col 48: Mean=39.8429, Std=117.4378, Min=-179.6694, Max=179.9002, RMS=124.0125
  Col 49: Mean=-68.9987, Std=13.7493, Min=-88.4716, Max=-39.3010, RMS=70.3552
  Col 50: Mean=93.9228, Std=66.5948, Min=-15.2145, Max=169.7859, RMS=115.1362
  Col 51: Mean=-34.5280, Std=44.5188, Min=-176.3228, Max=-7.1185, RMS=56.3392
  Col 52: Mean=-43.9814, Std=19.7958, Min=-87.8628, Max=-5.4753, RMS=48.2311
  Col 53: Mean=3.6578, Std=42.6839, Min=-25.7486, Max=139.3785, RMS=42.8404
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=73.3772, Std=60.9231, Min=-179.7940, Max=179.0219, RMS=95.3721
  Col 58: Mean=-74.2710, Std=6.6208, Min=-88.2725, Max=-61.3118, RMS=74.5655
  Col 59: Mean=-76.3945, Std=52.6674, Min=-169.9815, Max=-16.1049, RMS=92.7899
  Col 60: Mean=-53.3023, Std=114.9859, Min=-179.1417, Max=179.9912, RMS=126.7395
  Col 61: Mean=-67.4721, Std=15.8300, Min=-87.5246, Max=-34.3566, RMS=69.3042
  Col 62: Mean=24.7066, Std=140.7222, Min=-179.6928, Max=179.9350, RMS=142.8747
  Col 63: Mean=-21.3248, Std=41.9929, Min=-179.9769, Max=171.3615, RMS=47.0973
  Col 64: Mean=-39.4009, Std=21.5380, Min=-89.2973, Max=-3.0209, RMS=44.9034
  Col 65: Mean=8.3435, Std=40.6775, Min=-44.0847, Max=173.0671, RMS=41.5244
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.3717, Std=0.0863, Min=-0.5327, Max=-0.1833, RMS=0.3816
  Col 1: Mean=-0.1165, Std=0.0589, Min=-0.2798, Max=0.0264, RMS=0.1306
  Col 2: Mean=-0.6663, Std=0.0735, Min=-0.8130, Max=-0.5090, RMS=0.6704
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.7906, Std=0.0647, Min=-0.9023, Max=-0.6685, RMS=0.7932
  Col 13: Mean=0.1128, Std=0.0311, Min=0.0439, Max=0.2029, RMS=0.1170
  Col 14: Mean=0.0359, Std=0.0695, Min=-0.1064, Max=0.1899, RMS=0.0783
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.2714, Std=0.0695, Min=-0.4426, Max=-0.1748, RMS=0.2801
  Col 19: Mean=0.6400, Std=0.1025, Min=0.3865, Max=0.7759, RMS=0.6481
  Col 20: Mean=-0.1606, Std=0.1431, Min=-0.4402, Max=0.0996, RMS=0.2151
  Col 21: Mean=0.2194, Std=0.0339, Min=0.1387, Max=0.3206, RMS=0.2220
  Col 22: Mean=-0.5268, Std=0.0819, Min=-0.6638, Max=-0.3386, RMS=0.5331
  Col 23: Mean=-0.5788, Std=0.0533, Min=-0.6985, Max=-0.4531, RMS=0.5812
  Col 24: Mean=-0.6107, Std=0.0812, Min=-0.7676, Max=-0.4275, RMS=0.6161
  Col 25: Mean=-0.4426, Std=0.0683, Min=-0.5613, Max=-0.2874, RMS=0.4478
  Col 26: Mean=-0.0804, Std=0.0436, Min=-0.1794, Max=0.0413, RMS=0.0915
  Col 27: Mean=-0.7569, Std=0.0887, Min=-0.9221, Max=-0.4985, RMS=0.7621
  Col 28: Mean=0.0223, Std=0.0878, Min=-0.1753, Max=0.2246, RMS=0.0906
  Col 29: Mean=0.1431, Std=0.0908, Min=-0.1204, Max=0.3301, RMS=0.1695
  Col 30: Mean=0.3265, Std=0.1174, Min=0.0139, Max=0.6184, RMS=0.3470
  Col 31: Mean=-0.7008, Std=0.0967, Min=-0.8901, Max=-0.4067, RMS=0.7074
  Col 32: Mean=0.0925, Std=0.0571, Min=-0.0410, Max=0.2500, RMS=0.1087
