--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0038, Std=0.9993, Min=-3.9251, Max=3.0918, RMS=0.9993
  Col 1: Mean=-0.0107, Std=1.2498, Min=-3.8338, Max=3.9054, RMS=1.2498
  Col 2: Mean=0.0132, Std=1.3790, Min=-2.7301, Max=7.2516, RMS=1.3790
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0015, Std=0.5364, Min=-2.3825, Max=1.4517, RMS=0.5364
  Col 13: Mean=-0.0104, Std=0.8843, Min=-2.7212, Max=2.2666, RMS=0.8844
  Col 14: Mean=0.0191, Std=1.4881, Min=-3.0592, Max=5.6903, RMS=1.4883
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0010, Std=0.4188, Min=-0.8806, Max=0.9123, RMS=0.4188
  Col 19: Mean=-0.0089, Std=0.6040, Min=-1.3824, Max=1.5065, RMS=0.6041
  Col 20: Mean=0.0154, Std=1.3638, Min=-2.5950, Max=5.7688, RMS=1.3638
  Col 21: Mean=-0.0009, Std=0.6818, Min=-2.1350, Max=2.4090, RMS=0.6818
  Col 22: Mean=-0.0068, Std=0.8391, Min=-1.8075, Max=1.8115, RMS=0.8392
  Col 23: Mean=0.0188, Std=1.5191, Min=-2.8493, Max=7.0858, RMS=1.5192
  Col 24: Mean=0.0031, Std=0.6892, Min=-2.5714, Max=2.5931, RMS=0.6892
  Col 25: Mean=-0.0091, Std=1.3653, Min=-5.4792, Max=2.9294, RMS=1.3654
  Col 26: Mean=0.0114, Std=1.6837, Min=-3.5442, Max=7.3464, RMS=1.6837
  Col 27: Mean=-0.0054, Std=0.8052, Min=-2.2063, Max=1.8398, RMS=0.8052
  Col 28: Mean=-0.0038, Std=1.6299, Min=-4.1418, Max=3.3802, RMS=1.6299
  Col 29: Mean=0.0082, Std=1.7283, Min=-2.6584, Max=6.7972, RMS=1.7283
  Col 30: Mean=-0.0031, Std=0.9216, Min=-2.4169, Max=1.7996, RMS=0.9216
  Col 31: Mean=0.0165, Std=1.8524, Min=-5.6774, Max=4.4807, RMS=1.8525
  Col 32: Mean=0.0052, Std=1.6993, Min=-2.5754, Max=5.9383, RMS=1.6993
  Col 33: Mean=0.0002, Std=0.6629, Min=-1.9319, Max=1.3945, RMS=0.6629
  Col 34: Mean=-0.0074, Std=0.8914, Min=-3.1046, Max=2.2170, RMS=0.8914
  Col 35: Mean=0.0185, Std=1.5007, Min=-2.9388, Max=6.5350, RMS=1.5009
  Col 36: Mean=-0.0063, Std=0.8948, Min=-4.0389, Max=2.1988, RMS=0.8948
  Col 37: Mean=-0.0118, Std=1.4346, Min=-5.9440, Max=4.0089, RMS=1.4347
  Col 38: Mean=0.0105, Std=1.6728, Min=-3.0688, Max=6.0414, RMS=1.6728
  Col 39: Mean=0.0059, Std=0.7593, Min=-2.9212, Max=1.4269, RMS=0.7593
  Col 40: Mean=-0.0103, Std=1.4984, Min=-4.4504, Max=4.3221, RMS=1.4985
  Col 41: Mean=0.0095, Std=1.7486, Min=-3.1291, Max=6.2525, RMS=1.7486
  Col 42: Mean=0.0045, Std=0.8086, Min=-2.6523, Max=1.6764, RMS=0.8086
  Col 43: Mean=-0.0077, Std=1.7934, Min=-4.9390, Max=4.5179, RMS=1.7934
  Col 44: Mean=0.0060, Std=1.8124, Min=-3.0924, Max=6.7846, RMS=1.8124
  Col 45: Mean=-0.0097, Std=2.2223, Min=-10.9974, Max=8.3521, RMS=2.2224
  Col 46: Mean=-0.0099, Std=2.9997, Min=-8.8941, Max=11.9235, RMS=2.9997
  Col 47: Mean=0.0170, Std=3.0134, Min=-14.9183, Max=13.4012, RMS=3.0134
  Col 48: Mean=-0.0027, Std=2.4285, Min=-9.9922, Max=9.6673, RMS=2.4285
  Col 49: Mean=0.0225, Std=3.8565, Min=-9.0303, Max=16.5099, RMS=3.8566
  Col 50: Mean=-0.0391, Std=2.2390, Min=-5.5359, Max=17.1779, RMS=2.2393
  Col 51: Mean=0.0406, Std=1.7955, Min=-11.3756, Max=9.6201, RMS=1.7960
  Col 52: Mean=0.0360, Std=6.9742, Min=-22.5677, Max=24.2013, RMS=6.9743
  Col 53: Mean=-0.0693, Std=5.0044, Min=-16.0832, Max=19.4339, RMS=5.0049
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0040, Std=1.9785, Min=-6.6869, Max=7.4927, RMS=1.9785
  Col 58: Mean=-0.0158, Std=2.3774, Min=-8.2165, Max=7.1652, RMS=2.3775
  Col 59: Mean=0.0034, Std=2.1907, Min=-9.7759, Max=8.1223, RMS=2.1907
  Col 60: Mean=-0.0193, Std=2.5051, Min=-9.7411, Max=8.6249, RMS=2.5051
  Col 61: Mean=-0.0001, Std=4.7101, Min=-15.2752, Max=19.2661, RMS=4.7101
  Col 62: Mean=-0.0471, Std=2.8349, Min=-9.7453, Max=29.3494, RMS=2.8353
  Col 63: Mean=-0.0740, Std=2.7309, Min=-26.2553, Max=22.4930, RMS=2.7319
  Col 64: Mean=0.0552, Std=7.4454, Min=-20.5237, Max=53.2592, RMS=7.4457
  Col 65: Mean=-0.0927, Std=6.1800, Min=-29.0954, Max=26.3734, RMS=6.1807
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-11.9890, Std=11.9302, Min=-42.8520, Max=14.6867, RMS=16.9135
  Col 1: Mean=-81.7916, Std=3.7392, Min=-87.5478, Max=-72.5911, RMS=81.8771
  Col 2: Mean=103.9371, Std=14.5556, Min=72.2559, Max=139.2032, RMS=104.9514
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-6.2272, Std=1.8305, Min=-11.0465, Max=-2.4637, RMS=6.4906
  Col 13: Mean=-58.0818, Std=3.2683, Min=-66.1396, Max=-51.5786, RMS=58.1737
  Col 14: Mean=-84.2284, Std=2.2504, Min=-89.3850, Max=-78.7911, RMS=84.2585
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=87.7850, Std=1.2985, Min=85.1800, Max=90.1832, RMS=87.7946
  Col 19: Mean=-7.6908, Std=4.6500, Min=-16.2921, Max=-0.5860, RMS=8.9872
  Col 20: Mean=72.8182, Std=2.8577, Min=66.8824, Max=78.0280, RMS=72.8742
