--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0060, Std=0.7713, Min=-2.1005, Max=3.3109, RMS=0.7714
  Col 1: Mean=0.0109, Std=1.3904, Min=-4.3840, Max=3.1022, RMS=1.3904
  Col 2: Mean=-0.0118, Std=1.3691, Min=-2.0849, Max=6.0661, RMS=1.3691
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0006, Std=0.5305, Min=-2.0065, Max=1.5736, RMS=0.5305
  Col 13: Mean=0.0098, Std=0.9894, Min=-1.6680, Max=2.9014, RMS=0.9894
  Col 14: Mean=-0.0074, Std=1.5155, Min=-2.2333, Max=5.2006, RMS=1.5155
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0075, Std=0.4591, Min=-1.0162, Max=0.9906, RMS=0.4592
  Col 19: Mean=-0.0164, Std=0.6606, Min=-1.8498, Max=1.5817, RMS=0.6608
  Col 20: Mean=-0.0157, Std=1.3657, Min=-2.1601, Max=5.1181, RMS=1.3658
  Col 21: Mean=-0.0071, Std=0.6328, Min=-2.2595, Max=1.6319, RMS=0.6328
  Col 22: Mean=0.0114, Std=0.9994, Min=-1.8490, Max=3.2132, RMS=0.9995
  Col 23: Mean=-0.2466, Std=1.9617, Min=-8.8817, Max=4.8666, RMS=1.9771
  Col 24: Mean=-0.0053, Std=0.5099, Min=-1.5557, Max=1.2512, RMS=0.5100
  Col 25: Mean=0.0152, Std=1.1234, Min=-2.7111, Max=3.2085, RMS=1.1235
  Col 26: Mean=-0.0136, Std=1.4674, Min=-2.3422, Max=5.5421, RMS=1.4675
  Col 27: Mean=-0.0049, Std=0.6757, Min=-1.7135, Max=1.9492, RMS=0.6757
  Col 28: Mean=0.0217, Std=1.4142, Min=-5.0818, Max=3.1408, RMS=1.4144
  Col 29: Mean=-0.0187, Std=1.4992, Min=-2.5364, Max=5.6858, RMS=1.4993
  Col 30: Mean=-0.0091, Std=0.8297, Min=-2.2640, Max=2.3848, RMS=0.8298
  Col 31: Mean=0.0112, Std=1.6423, Min=-5.4138, Max=3.5411, RMS=1.6423
  Col 32: Mean=-0.0213, Std=1.4595, Min=-2.6101, Max=5.4727, RMS=1.4596
  Col 33: Mean=0.0003, Std=0.6204, Min=-1.9236, Max=1.4745, RMS=0.6204
  Col 34: Mean=0.0090, Std=0.9761, Min=-1.7205, Max=3.3671, RMS=0.9761
  Col 35: Mean=-0.0082, Std=1.3141, Min=-2.0261, Max=4.7630, RMS=1.3141
  Col 36: Mean=0.0013, Std=0.6829, Min=-1.7581, Max=2.4383, RMS=0.6829
  Col 37: Mean=0.0148, Std=1.0262, Min=-2.6020, Max=3.8394, RMS=1.0263
  Col 38: Mean=-0.2603, Std=2.0762, Min=-8.8712, Max=5.0985, RMS=2.0924
  Col 39: Mean=-0.0139, Std=0.7083, Min=-3.1923, Max=1.6784, RMS=0.7085
  Col 40: Mean=-0.0308, Std=1.3572, Min=-3.5893, Max=3.8341, RMS=1.3575
  Col 41: Mean=0.0007, Std=1.5644, Min=-2.4829, Max=5.0385, RMS=1.5644
  Col 42: Mean=-0.0156, Std=0.7790, Min=-3.9677, Max=1.9677, RMS=0.7792
  Col 43: Mean=-0.0426, Std=1.8143, Min=-4.9730, Max=4.7793, RMS=1.8148
  Col 44: Mean=-0.0015, Std=1.5773, Min=-2.9801, Max=4.2535, RMS=1.5773
  Col 45: Mean=0.0169, Std=2.0057, Min=-8.2146, Max=8.1210, RMS=2.0058
  Col 46: Mean=-0.0085, Std=2.5141, Min=-9.2678, Max=9.9834, RMS=2.5141
  Col 47: Mean=0.0087, Std=2.3668, Min=-9.8453, Max=15.7823, RMS=2.3669
  Col 48: Mean=0.0008, Std=1.9171, Min=-10.2990, Max=7.4483, RMS=1.9171
  Col 49: Mean=-0.0292, Std=3.5525, Min=-12.0243, Max=8.6736, RMS=3.5526
  Col 50: Mean=-0.0629, Std=1.8469, Min=-6.4655, Max=12.7470, RMS=1.8480
  Col 51: Mean=-0.0294, Std=1.7892, Min=-12.9591, Max=9.6346, RMS=1.7894
  Col 52: Mean=-0.0419, Std=7.0955, Min=-31.9996, Max=23.1635, RMS=7.0957
  Col 53: Mean=-0.0870, Std=4.3504, Min=-23.1253, Max=13.9276, RMS=4.3513
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0041, Std=1.6165, Min=-8.9125, Max=5.8420, RMS=1.6165
  Col 58: Mean=-0.0035, Std=2.1412, Min=-5.6331, Max=6.7332, RMS=2.1412
  Col 59: Mean=-0.0044, Std=2.0979, Min=-9.5825, Max=7.4230, RMS=2.0979
  Col 60: Mean=0.0333, Std=1.7756, Min=-10.1878, Max=10.5887, RMS=1.7759
  Col 61: Mean=0.0035, Std=4.1729, Min=-18.8885, Max=10.5737, RMS=4.1729
  Col 62: Mean=-0.1220, Std=2.4122, Min=-9.5342, Max=22.0605, RMS=2.4153
  Col 63: Mean=0.0652, Std=1.6173, Min=-7.0445, Max=7.4817, RMS=1.6186
  Col 64: Mean=-0.0631, Std=7.0806, Min=-32.1720, Max=20.7060, RMS=7.0809
  Col 65: Mean=-0.0899, Std=4.7667, Min=-16.7956, Max=32.4563, RMS=4.7675
