--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0005, Std=0.8374, Min=-2.3238, Max=4.6038, RMS=0.8374
  Col 1: Mean=0.0020, Std=1.5264, Min=-5.8094, Max=3.6961, RMS=1.5264
  Col 2: Mean=-0.0117, Std=1.5018, Min=-2.8838, Max=7.3126, RMS=1.5019
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0033, Std=0.5831, Min=-2.0142, Max=1.9345, RMS=0.5832
  Col 13: Mean=-0.0015, Std=1.0535, Min=-1.9846, Max=2.6849, RMS=1.0535
  Col 14: Mean=-0.0080, Std=1.6409, Min=-3.3920, Max=5.8546, RMS=1.6410
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0007, Std=0.4390, Min=-0.9232, Max=1.1066, RMS=0.4390
  Col 19: Mean=-0.0011, Std=0.6697, Min=-1.7390, Max=1.8986, RMS=0.6697
  Col 20: Mean=-0.0103, Std=1.4730, Min=-3.1805, Max=5.9905, RMS=1.4730
  Col 21: Mean=0.0046, Std=0.6637, Min=-2.3937, Max=1.5911, RMS=0.6637
  Col 22: Mean=0.0084, Std=1.0545, Min=-2.3329, Max=3.3953, RMS=1.0545
  Col 23: Mean=-0.3334, Std=2.1075, Min=-9.0613, Max=5.0492, RMS=2.1337
  Col 24: Mean=-0.0072, Std=0.5797, Min=-1.3970, Max=1.4189, RMS=0.5797
  Col 25: Mean=-0.0021, Std=1.2480, Min=-2.8687, Max=5.3345, RMS=1.2480
  Col 26: Mean=-0.0098, Std=1.6087, Min=-3.2557, Max=5.1782, RMS=1.6087
  Col 27: Mean=-0.0112, Std=0.9487, Min=-2.2812, Max=3.0248, RMS=0.9488
  Col 28: Mean=-0.0045, Std=1.5306, Min=-5.1193, Max=3.1576, RMS=1.5306
  Col 29: Mean=-0.0123, Std=1.5793, Min=-3.1428, Max=5.2201, RMS=1.5793
  Col 30: Mean=-0.0214, Std=1.1614, Min=-3.3921, Max=3.1729, RMS=1.1616
  Col 31: Mean=-0.0150, Std=1.8571, Min=-6.2735, Max=3.8257, RMS=1.8571
  Col 32: Mean=-0.0174, Std=1.5496, Min=-3.0011, Max=4.5841, RMS=1.5497
  Col 33: Mean=-0.0023, Std=0.6636, Min=-1.9260, Max=1.7921, RMS=0.6636
  Col 34: Mean=-0.0053, Std=1.0456, Min=-2.1066, Max=3.0889, RMS=1.0456
  Col 35: Mean=-0.0083, Std=1.4056, Min=-3.2922, Max=4.6131, RMS=1.4056
  Col 36: Mean=-0.0046, Std=0.7677, Min=-2.2271, Max=2.4097, RMS=0.7677
  Col 37: Mean=0.0188, Std=1.2269, Min=-3.4491, Max=4.0295, RMS=1.2270
  Col 38: Mean=-0.2755, Std=2.1976, Min=-8.9607, Max=4.7234, RMS=2.2148
  Col 39: Mean=-0.0103, Std=0.6788, Min=-1.6384, Max=1.5817, RMS=0.6789
  Col 40: Mean=-0.0140, Std=1.6509, Min=-4.5955, Max=4.1163, RMS=1.6510
  Col 41: Mean=-0.0129, Std=1.6221, Min=-3.0636, Max=5.2496, RMS=1.6222
  Col 42: Mean=-0.0068, Std=0.8079, Min=-2.0925, Max=1.8446, RMS=0.8079
  Col 43: Mean=-0.0217, Std=2.0935, Min=-6.1345, Max=4.7470, RMS=2.0936
  Col 44: Mean=-0.0181, Std=1.6446, Min=-2.9142, Max=5.0572, RMS=1.6447
  Col 45: Mean=0.0209, Std=2.2376, Min=-8.8735, Max=8.0006, RMS=2.2377
  Col 46: Mean=-0.0143, Std=2.9358, Min=-7.3835, Max=14.1276, RMS=2.9359
  Col 47: Mean=0.0142, Std=2.8432, Min=-12.1694, Max=12.1161, RMS=2.8433
  Col 48: Mean=-0.0059, Std=2.0883, Min=-7.5413, Max=7.9020, RMS=2.0883
  Col 49: Mean=-0.0355, Std=3.9482, Min=-12.8993, Max=8.9135, RMS=3.9484
  Col 50: Mean=-0.0808, Std=2.1823, Min=-7.4623, Max=14.1800, RMS=2.1838
  Col 51: Mean=-0.0285, Std=1.9388, Min=-9.4942, Max=7.4123, RMS=1.9390
  Col 52: Mean=-0.0492, Std=7.6884, Min=-36.5519, Max=22.6522, RMS=7.6885
  Col 53: Mean=-0.1065, Std=4.5245, Min=-18.6272, Max=13.2594, RMS=4.5257
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0073, Std=1.8124, Min=-7.8682, Max=7.4218, RMS=1.8124
  Col 58: Mean=-0.0059, Std=2.4513, Min=-6.5252, Max=6.7998, RMS=2.4513
  Col 59: Mean=-0.0080, Std=2.2146, Min=-7.4555, Max=6.0611, RMS=2.2146
  Col 60: Mean=0.0363, Std=2.4783, Min=-13.1396, Max=15.2200, RMS=2.4786
  Col 61: Mean=0.0449, Std=5.1089, Min=-28.1777, Max=13.5479, RMS=5.1091
  Col 62: Mean=-0.1876, Std=3.1878, Min=-14.6000, Max=35.2182, RMS=3.1933
  Col 63: Mean=0.0797, Std=2.3701, Min=-12.3208, Max=16.6134, RMS=2.3714
  Col 64: Mean=-0.0806, Std=8.1602, Min=-49.7232, Max=25.3457, RMS=8.1606
  Col 65: Mean=-0.1096, Std=5.2901, Min=-25.0942, Max=34.3533, RMS=5.2912
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-11.6823, Std=9.7677, Min=-29.5705, Max=10.3993, RMS=15.2277
  Col 1: Mean=-78.1799, Std=3.9268, Min=-85.3639, Max=-70.8881, RMS=78.2785
  Col 2: Mean=-81.0112, Std=10.0533, Min=-102.2168, Max=-59.0551, RMS=81.6327
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-6.7721, Std=1.8725, Min=-10.9404, Max=-2.7956, RMS=7.0262
  Col 13: Mean=-60.9026, Std=4.0836, Min=-67.7478, Max=-53.8037, RMS=61.0394
  Col 14: Mean=92.0005, Std=3.8969, Min=85.1913, Max=99.5667, RMS=92.0830
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=88.4018, Std=2.0682, Min=83.1132, Max=91.9519, RMS=88.4260
  Col 19: Mean=-11.4755, Std=3.7152, Min=-18.7159, Max=-2.2654, RMS=12.0619
  Col 20: Mean=-109.2126, Std=4.9689, Min=-123.7405, Max=-101.1387, RMS=109.3256
  Col 21: Mean=59.7883, Std=22.4001, Min=48.2209, Max=173.9266, RMS=63.8467
  Col 22: Mean=1.7454, Std=0.9762, Min=-0.2241, Max=4.1860, RMS=1.9998
  Col 23: Mean=-123.4108, Std=123.8993, Min=-179.9663, Max=179.9855, RMS=174.8749
  Col 24: Mean=-20.0581, Std=22.1746, Min=-48.4559, Max=56.8639, RMS=29.9005
  Col 25: Mean=-79.0062, Std=2.4390, Min=-84.2196, Max=-73.6703, RMS=79.0438
  Col 26: Mean=34.9547, Std=26.2383, Min=-56.2628, Max=65.4009, RMS=43.7068
  Col 27: Mean=-33.9509, Std=13.0325, Min=-46.4925, Max=21.8421, RMS=36.3663
  Col 28: Mean=-69.1192, Std=4.5761, Min=-78.1261, Max=-57.8698, RMS=69.2706
  Col 29: Mean=43.5758, Std=18.4453, Min=-29.0394, Max=64.4790, RMS=47.3189
  Col 30: Mean=-71.2374, Std=3.5513, Min=-81.0308, Max=-61.9685, RMS=71.3259
  Col 31: Mean=6.5696, Std=5.9292, Min=-10.5641, Max=19.1138, RMS=8.8496
  Col 32: Mean=88.6818, Std=8.1211, Min=68.9660, Max=103.7173, RMS=89.0529
  Col 33: Mean=51.9985, Std=3.8475, Min=45.2828, Max=58.4614, RMS=52.1407
  Col 34: Mean=-4.4130, Std=0.7581, Min=-6.7337, Max=-2.8743, RMS=4.4776
  Col 35: Mean=167.9033, Std=4.1556, Min=160.6263, Max=176.9657, RMS=167.9547
  Col 36: Mean=44.4384, Std=31.9489, Min=-14.1527, Max=179.9643, RMS=54.7312
  Col 37: Mean=-76.9039, Std=13.1697, Min=-85.6954, Max=-6.2534, RMS=78.0234
  Col 38: Mean=120.9083, Std=69.2613, Min=-177.7843, Max=179.9612, RMS=139.3411
