--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0026, Std=1.1252, Min=-3.2344, Max=3.9009, RMS=1.1252
  Col 1: Mean=0.0060, Std=0.9751, Min=-3.8353, Max=3.2605, RMS=0.9752
  Col 2: Mean=-0.5015, Std=3.3181, Min=-9.2251, Max=8.6853, RMS=3.3558
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0083, Std=0.6324, Min=-1.5671, Max=2.0333, RMS=0.6324
  Col 13: Mean=0.0103, Std=0.6655, Min=-2.1603, Max=2.4915, RMS=0.6656
  Col 14: Mean=0.0030, Std=2.6923, Min=-6.0133, Max=7.5604, RMS=2.6923
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0111, Std=0.5543, Min=-1.7733, Max=1.4621, RMS=0.5544
  Col 19: Mean=0.0150, Std=0.4070, Min=-0.8589, Max=1.0853, RMS=0.4073
  Col 20: Mean=-0.0019, Std=2.5622, Min=-5.3179, Max=8.7960, RMS=2.5622
  Col 21: Mean=0.0090, Std=0.7268, Min=-1.9063, Max=3.0943, RMS=0.7269
  Col 22: Mean=0.0085, Std=0.7587, Min=-2.9034, Max=2.2982, RMS=0.7587
  Col 23: Mean=0.0018, Std=2.8160, Min=-5.9833, Max=7.4112, RMS=2.8160
  Col 24: Mean=0.0129, Std=1.2555, Min=-3.7198, Max=4.9666, RMS=1.2556
  Col 25: Mean=0.0209, Std=0.7455, Min=-2.6048, Max=1.9230, RMS=0.7458
  Col 26: Mean=-0.0002, Std=2.7963, Min=-6.7224, Max=7.7237, RMS=2.7963
  Col 27: Mean=0.0033, Std=1.1705, Min=-3.2444, Max=3.3450, RMS=1.1705
  Col 28: Mean=0.0199, Std=0.9844, Min=-2.7242, Max=2.8507, RMS=0.9846
  Col 29: Mean=-0.0001, Std=2.8503, Min=-6.5142, Max=8.3634, RMS=2.8503
  Col 30: Mean=-0.0041, Std=1.2806, Min=-3.6310, Max=3.4504, RMS=1.2806
  Col 31: Mean=0.0228, Std=1.2166, Min=-3.1584, Max=3.7876, RMS=1.2168
  Col 32: Mean=-0.0014, Std=2.7304, Min=-5.5735, Max=7.7018, RMS=2.7304
  Col 33: Mean=0.0050, Std=0.7458, Min=-2.0295, Max=1.9810, RMS=0.7459
  Col 34: Mean=0.0108, Std=0.7094, Min=-1.9835, Max=2.0553, RMS=0.7095
  Col 35: Mean=0.0020, Std=2.8136, Min=-5.4330, Max=8.2022, RMS=2.8136
  Col 36: Mean=0.0011, Std=1.4411, Min=-4.2306, Max=4.1044, RMS=1.4411
  Col 37: Mean=0.0004, Std=0.8761, Min=-4.3026, Max=2.4310, RMS=0.8761
  Col 38: Mean=-0.0007, Std=2.9197, Min=-5.5714, Max=9.5109, RMS=2.9197
  Col 39: Mean=-0.0094, Std=1.9151, Min=-5.3465, Max=5.1204, RMS=1.9151
  Col 40: Mean=0.0054, Std=0.8906, Min=-5.3224, Max=1.8813, RMS=0.8906
  Col 41: Mean=0.0050, Std=2.7854, Min=-5.1893, Max=8.9164, RMS=2.7854
  Col 42: Mean=-0.0159, Std=2.1566, Min=-5.4300, Max=7.0582, RMS=2.1566
  Col 43: Mean=0.0032, Std=1.0124, Min=-5.9487, Max=2.4353, RMS=1.0124
  Col 44: Mean=0.0024, Std=2.7364, Min=-5.2411, Max=8.2257, RMS=2.7364
  Col 45: Mean=0.0174, Std=3.0387, Min=-6.4094, Max=10.3253, RMS=3.0388
  Col 46: Mean=0.0051, Std=2.2987, Min=-10.3583, Max=7.6986, RMS=2.2987
  Col 47: Mean=-0.0005, Std=3.9022, Min=-12.2260, Max=19.0105, RMS=3.9022
  Col 48: Mean=-0.0627, Std=4.4138, Min=-15.6744, Max=12.4914, RMS=4.4142
  Col 49: Mean=0.0096, Std=2.4222, Min=-10.5897, Max=9.2084, RMS=2.4222
  Col 50: Mean=-0.0634, Std=3.2116, Min=-8.5357, Max=14.0467, RMS=3.2123
  Col 51: Mean=-0.0199, Std=6.7018, Min=-23.3329, Max=24.6720, RMS=6.7018
  Col 52: Mean=0.0738, Std=4.0357, Min=-24.4234, Max=27.4672, RMS=4.0364
  Col 53: Mean=-0.0019, Std=6.8329, Min=-31.4924, Max=58.0138, RMS=6.8329
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0237, Std=2.3331, Min=-6.3617, Max=7.1856, RMS=2.3333
  Col 58: Mean=-0.0033, Std=2.7181, Min=-8.1658, Max=11.0707, RMS=2.7181
  Col 59: Mean=0.0043, Std=3.3372, Min=-9.0031, Max=14.6366, RMS=3.3372
  Col 60: Mean=-0.0454, Std=4.6418, Min=-19.0754, Max=14.1223, RMS=4.6420
  Col 61: Mean=-0.0031, Std=2.0814, Min=-8.1772, Max=10.1236, RMS=2.0814
  Col 62: Mean=-0.0740, Std=3.2744, Min=-9.7046, Max=15.7127, RMS=3.2752
  Col 63: Mean=-0.0903, Std=7.5501, Min=-28.1675, Max=26.2678, RMS=7.5507
  Col 64: Mean=-0.1018, Std=3.7104, Min=-32.2750, Max=18.8977, RMS=3.7118
  Col 65: Mean=0.0002, Std=8.6095, Min=-39.6827, Max=73.5041, RMS=8.6095
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
