--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0158, Std=1.0875, Min=-3.3254, Max=6.7119, RMS=1.0876
  Col 1: Mean=-0.0085, Std=1.0864, Min=-4.2770, Max=5.0678, RMS=1.0864
  Col 2: Mean=-0.2975, Std=3.1230, Min=-9.2832, Max=8.5590, RMS=3.1371
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0016, Std=0.6292, Min=-1.4796, Max=1.9838, RMS=0.6292
  Col 13: Mean=-0.0035, Std=0.6481, Min=-2.2648, Max=2.2940, RMS=0.6481
  Col 14: Mean=0.0020, Std=2.6310, Min=-5.7313, Max=6.6521, RMS=2.6310
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0005, Std=0.5270, Min=-1.4458, Max=1.3382, RMS=0.5270
  Col 19: Mean=-0.0001, Std=0.4083, Min=-0.8801, Max=1.0254, RMS=0.4083
  Col 20: Mean=-0.0573, Std=2.6079, Min=-8.8136, Max=8.5773, RMS=2.6086
  Col 21: Mean=-0.0033, Std=0.7293, Min=-1.8669, Max=3.3851, RMS=0.7293
  Col 22: Mean=-0.0029, Std=0.7645, Min=-3.1536, Max=2.6658, RMS=0.7645
  Col 23: Mean=0.0019, Std=2.7641, Min=-6.1060, Max=7.8484, RMS=2.7641
  Col 24: Mean=0.0002, Std=1.2886, Min=-4.4769, Max=5.3243, RMS=1.2886
  Col 25: Mean=0.0033, Std=0.7260, Min=-2.4926, Max=2.3260, RMS=0.7260
  Col 26: Mean=-0.0011, Std=2.7095, Min=-6.1816, Max=7.6948, RMS=2.7095
  Col 27: Mean=-0.0118, Std=1.2281, Min=-4.5707, Max=3.3175, RMS=1.2282
