--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0045, Std=1.1940, Min=-3.4730, Max=2.6902, RMS=1.1940
  Col 1: Mean=-0.0105, Std=0.8297, Min=-2.1618, Max=2.6992, RMS=0.8297
  Col 2: Mean=0.0065, Std=2.4234, Min=-3.8973, Max=6.9033, RMS=2.4234
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0212, Std=1.1036, Min=-3.5595, Max=1.9672, RMS=1.1039
  Col 13: Mean=-0.0228, Std=0.7863, Min=-2.4350, Max=2.2611, RMS=0.7866
  Col 14: Mean=-0.3879, Std=3.2706, Min=-9.1188, Max=8.5536, RMS=3.2935
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0060, Std=0.6334, Min=-1.8072, Max=1.2351, RMS=0.6334
  Col 19: Mean=-0.0077, Std=0.4868, Min=-1.0143, Max=0.9935, RMS=0.4868
  Col 20: Mean=0.0012, Std=2.3204, Min=-3.4177, Max=7.5001, RMS=2.3204
  Col 21: Mean=0.0020, Std=1.2165, Min=-3.8750, Max=1.9737, RMS=1.2165
  Col 22: Mean=-0.0068, Std=0.7021, Min=-2.1276, Max=1.9168, RMS=0.7022
  Col 23: Mean=0.0034, Std=2.3777, Min=-3.4779, Max=8.2313, RMS=2.3777
  Col 24: Mean=0.0013, Std=1.3669, Min=-5.3370, Max=2.9677, RMS=1.3669
  Col 25: Mean=-0.0139, Std=0.6654, Min=-1.9266, Max=1.7936, RMS=0.6655
  Col 26: Mean=0.0002, Std=2.5171, Min=-4.0124, Max=7.7667, RMS=2.5171
  Col 27: Mean=0.0010, Std=1.3725, Min=-3.8135, Max=3.2485, RMS=1.3726
  Col 28: Mean=-0.0144, Std=0.8173, Min=-2.1850, Max=2.0072, RMS=0.8175
  Col 29: Mean=-0.0018, Std=2.4145, Min=-4.0449, Max=7.7188, RMS=2.4145
  Col 30: Mean=-0.0415, Std=1.4871, Min=-5.1909, Max=3.7795, RMS=1.4877
  Col 31: Mean=0.0072, Std=1.0081, Min=-2.9854, Max=2.4759, RMS=1.0082
  Col 32: Mean=-0.3290, Std=2.8663, Min=-9.0741, Max=7.3480, RMS=2.8851
  Col 33: Mean=0.0043, Std=1.2092, Min=-4.5217, Max=2.3815, RMS=1.2093
  Col 34: Mean=-0.0073, Std=0.6928, Min=-1.9199, Max=1.9020, RMS=0.6929
  Col 35: Mean=0.0029, Std=2.3578, Min=-3.7999, Max=7.4749, RMS=2.3578
  Col 36: Mean=0.0048, Std=1.4687, Min=-5.7862, Max=3.5205, RMS=1.4687
  Col 37: Mean=-0.0013, Std=0.8133, Min=-2.5218, Max=2.4478, RMS=0.8133
  Col 38: Mean=0.0037, Std=2.5292, Min=-4.1147, Max=7.4350, RMS=2.5292
  Col 39: Mean=0.0097, Std=1.8802, Min=-4.9406, Max=3.9647, RMS=1.8802
  Col 40: Mean=-0.0068, Std=0.7912, Min=-1.8572, Max=2.4432, RMS=0.7912
  Col 41: Mean=0.0035, Std=2.4284, Min=-3.8729, Max=8.2870, RMS=2.4284
  Col 42: Mean=0.0152, Std=2.2326, Min=-5.8360, Max=5.3630, RMS=2.2327
  Col 43: Mean=-0.0028, Std=0.9362, Min=-2.1021, Max=2.7153, RMS=0.9362
  Col 44: Mean=-0.0010, Std=2.3127, Min=-3.8115, Max=7.4514, RMS=2.3127
  Col 45: Mean=0.0208, Std=2.8570, Min=-8.4317, Max=10.3014, RMS=2.8571
  Col 46: Mean=0.0105, Std=1.9151, Min=-8.9779, Max=5.3084, RMS=1.9151
  Col 47: Mean=0.0076, Std=2.9787, Min=-7.6145, Max=12.4364, RMS=2.9787
  Col 48: Mean=0.0734, Std=4.2014, Min=-13.4398, Max=13.8347, RMS=4.2020
  Col 49: Mean=-0.0095, Std=2.0892, Min=-7.7556, Max=9.0497, RMS=2.0892
  Col 50: Mean=-0.0572, Std=3.6219, Min=-8.4690, Max=15.2305, RMS=3.6224
  Col 51: Mean=0.4511, Std=6.3193, Min=-27.6861, Max=24.2954, RMS=6.3354
  Col 52: Mean=-0.0526, Std=3.7822, Min=-29.1286, Max=27.8768, RMS=3.7826
  Col 53: Mean=-0.4489, Std=8.1314, Min=-29.4059, Max=38.0233, RMS=8.1438
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0209, Std=2.4722, Min=-10.0139, Max=7.1455, RMS=2.4723
  Col 58: Mean=0.0008, Std=1.8544, Min=-7.2240, Max=8.5643, RMS=1.8544
  Col 59: Mean=-0.1282, Std=3.1024, Min=-9.2918, Max=11.4202, RMS=3.1050
  Col 60: Mean=0.0730, Std=4.6230, Min=-21.8075, Max=16.5844, RMS=4.6235
  Col 61: Mean=-0.0058, Std=2.0992, Min=-8.7226, Max=11.1637, RMS=2.0992
  Col 62: Mean=-0.0617, Std=4.4039, Min=-12.3546, Max=16.1733, RMS=4.4043
  Col 63: Mean=0.4620, Std=7.1462, Min=-45.5719, Max=28.2089, RMS=7.1612
  Col 64: Mean=0.0601, Std=3.4684, Min=-27.4257, Max=23.5653, RMS=3.4689
  Col 65: Mean=-0.5246, Std=8.6458, Min=-23.2981, Max=63.7498, RMS=8.6617
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-6.5699, Std=9.4208, Min=-27.2070, Max=12.5373, RMS=11.4854
  Col 1: Mean=-74.7642, Std=3.2147, Min=-83.9272, Max=-70.6240, RMS=74.8333
  Col 2: Mean=6.9245, Std=7.7245, Min=-9.1980, Max=24.9941, RMS=10.3739
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
