--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0021, Std=1.2862, Min=-3.6355, Max=3.6670, RMS=1.2862
  Col 1: Mean=0.0052, Std=0.8619, Min=-1.8838, Max=2.8024, RMS=0.8619
  Col 2: Mean=0.0044, Std=2.4721, Min=-4.1297, Max=8.1920, RMS=2.4721
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0180, Std=1.2348, Min=-3.4677, Max=2.0662, RMS=1.2349
  Col 13: Mean=-0.0018, Std=0.7883, Min=-2.5347, Max=2.2016, RMS=0.7883
  Col 14: Mean=-0.3990, Std=3.3762, Min=-9.0665, Max=8.9560, RMS=3.3997
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0013, Std=0.6948, Min=-1.8845, Max=1.4960, RMS=0.6948
  Col 19: Mean=0.0049, Std=0.5501, Min=-1.0530, Max=1.5682, RMS=0.5501
  Col 20: Mean=-0.0000, Std=2.4152, Min=-3.3284, Max=7.7742, RMS=2.4152
  Col 21: Mean=0.0097, Std=1.3343, Min=-4.1174, Max=2.4429, RMS=1.3343
  Col 22: Mean=0.0014, Std=0.7478, Min=-2.3072, Max=2.3064, RMS=0.7478
  Col 23: Mean=0.0034, Std=2.4816, Min=-3.7339, Max=8.3316, RMS=2.4816
  Col 24: Mean=0.0086, Std=1.5398, Min=-6.2982, Max=3.3726, RMS=1.5399
  Col 25: Mean=-0.0018, Std=0.7089, Min=-2.2998, Max=2.0900, RMS=0.7089
