--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0005, Std=1.4631, Min=-3.6284, Max=4.4364, RMS=1.4631
  Col 1: Mean=0.0003, Std=0.8831, Min=-2.3295, Max=3.6274, RMS=0.8831
  Col 2: Mean=0.0012, Std=1.5814, Min=-2.7525, Max=7.2439, RMS=1.5814
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0044, Std=0.8475, Min=-2.3052, Max=2.9390, RMS=0.8475
  Col 13: Mean=0.0011, Std=0.5676, Min=-1.7862, Max=1.9852, RMS=0.5676
  Col 14: Mean=0.0014, Std=1.6859, Min=-2.8278, Max=5.6864, RMS=1.6859
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0005, Std=0.4354, Min=-1.2309, Max=1.1081, RMS=0.4354
  Col 19: Mean=0.0008, Std=0.4562, Min=-1.0854, Max=0.9577, RMS=0.4562
  Col 20: Mean=-0.0256, Std=1.6519, Min=-8.8080, Max=6.7937, RMS=1.6521
  Col 21: Mean=0.0037, Std=0.7998, Min=-2.0209, Max=2.7050, RMS=0.7998
  Col 22: Mean=0.0004, Std=0.7145, Min=-2.2296, Max=2.3281, RMS=0.7145
  Col 23: Mean=0.0021, Std=1.5961, Min=-2.7966, Max=6.4488, RMS=1.5961
  Col 24: Mean=-0.0006, Std=1.3176, Min=-3.0757, Max=6.1957, RMS=1.3176
  Col 25: Mean=0.0068, Std=0.6929, Min=-2.0665, Max=2.4643, RMS=0.6929
  Col 26: Mean=-0.0015, Std=1.6628, Min=-3.3576, Max=5.8724, RMS=1.6628
  Col 27: Mean=-0.0053, Std=1.6644, Min=-4.5695, Max=4.6604, RMS=1.6644
  Col 28: Mean=0.0030, Std=0.6840, Min=-1.6106, Max=1.7780, RMS=0.6840
  Col 29: Mean=-0.0029, Std=1.6289, Min=-3.4079, Max=7.1587, RMS=1.6289
  Col 30: Mean=-0.0099, Std=2.0703, Min=-5.6260, Max=6.4830, RMS=2.0703
  Col 31: Mean=0.0042, Std=0.9102, Min=-2.1024, Max=2.3663, RMS=0.9102
  Col 32: Mean=-0.0051, Std=1.5404, Min=-3.1661, Max=6.0436, RMS=1.5404
  Col 33: Mean=0.0034, Std=0.7817, Min=-2.5677, Max=2.2846, RMS=0.7817
  Col 34: Mean=0.0002, Std=0.7574, Min=-3.0253, Max=2.2545, RMS=0.7574
  Col 35: Mean=0.0025, Std=1.5689, Min=-2.7029, Max=5.7236, RMS=1.5689
  Col 36: Mean=0.0018, Std=1.2873, Min=-3.6026, Max=4.0808, RMS=1.2873
  Col 37: Mean=-0.0066, Std=0.8311, Min=-2.8450, Max=2.0440, RMS=0.8311
  Col 38: Mean=-0.0034, Std=1.6007, Min=-2.8054, Max=5.3245, RMS=1.6007
  Col 39: Mean=-0.0056, Std=1.8763, Min=-4.8571, Max=6.1749, RMS=1.8763
  Col 40: Mean=0.0035, Std=0.9249, Min=-1.7922, Max=1.9744, RMS=0.9249
  Col 41: Mean=-0.0041, Std=1.6901, Min=-2.7430, Max=5.8419, RMS=1.6901
  Col 42: Mean=0.0443, Std=2.3373, Min=-6.0792, Max=7.6109, RMS=2.3377
  Col 43: Mean=0.0195, Std=1.1660, Min=-2.4378, Max=2.5555, RMS=1.1661
  Col 44: Mean=-0.1454, Std=1.9491, Min=-8.7359, Max=5.3960, RMS=1.9545
  Col 45: Mean=-0.0070, Std=3.5791, Min=-10.2127, Max=10.3726, RMS=3.5791
  Col 46: Mean=-0.0133, Std=2.7983, Min=-12.6550, Max=11.7637, RMS=2.7984
  Col 47: Mean=-0.0024, Std=3.0102, Min=-13.4770, Max=11.9280, RMS=3.0102
  Col 48: Mean=-0.0467, Std=4.8821, Min=-17.0710, Max=8.2118, RMS=4.8823
  Col 49: Mean=0.0095, Std=2.3646, Min=-9.5977, Max=11.9784, RMS=2.3647
  Col 50: Mean=-0.1127, Std=2.0458, Min=-5.1654, Max=10.0127, RMS=2.0489
  Col 51: Mean=-0.0676, Std=9.0861, Min=-33.9920, Max=25.7483, RMS=9.0863
  Col 52: Mean=0.0386, Std=2.4594, Min=-17.5336, Max=20.5547, RMS=2.4597
  Col 53: Mean=-0.1782, Std=6.1712, Min=-24.6659, Max=20.5805, RMS=6.1737
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0024, Std=3.2786, Min=-9.3731, Max=10.0626, RMS=3.2786
  Col 58: Mean=0.0058, Std=2.0469, Min=-8.3624, Max=7.7957, RMS=2.0469
  Col 59: Mean=0.0005, Std=2.9046, Min=-10.7953, Max=9.5935, RMS=2.9046
  Col 60: Mean=-0.0326, Std=4.8266, Min=-17.2912, Max=8.5286, RMS=4.8267
  Col 61: Mean=-0.0055, Std=2.2534, Min=-12.1751, Max=7.8247, RMS=2.2534
  Col 62: Mean=-0.1201, Std=1.9168, Min=-5.4522, Max=11.6967, RMS=1.9206
  Col 63: Mean=-0.0629, Std=9.3047, Min=-36.6469, Max=29.9257, RMS=9.3049
  Col 64: Mean=-0.0561, Std=2.3240, Min=-13.7279, Max=16.6694, RMS=2.3247
  Col 65: Mean=-0.1498, Std=6.1110, Min=-23.8634, Max=16.9719, RMS=6.1128
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-37.4073, Std=11.4149, Min=-67.8720, Max=-9.3630, RMS=39.1101
  Col 1: Mean=-80.7889, Std=1.9210, Min=-85.5606, Max=-76.9665, RMS=80.8118
  Col 2: Mean=-133.4378, Std=12.6522, Min=-165.6454, Max=-108.7249, RMS=134.0363
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-4.8052, Std=1.9376, Min=-8.7811, Max=-0.8455, RMS=5.1812
  Col 13: Mean=-57.4035, Std=1.9693, Min=-63.7126, Max=-52.3217, RMS=57.4373
  Col 14: Mean=12.1467, Std=2.7741, Min=5.9333, Max=17.9612, RMS=12.4594
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-98.7906, Std=4.6781, Min=-173.5980, Max=-94.2003, RMS=98.9013
  Col 19: Mean=-31.2712, Std=4.1186, Min=-41.0779, Max=-2.2454, RMS=31.5413
  Col 20: Mean=-156.9953, Std=3.7407, Min=-177.7687, Max=-148.9962, RMS=157.0399
