--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Laura/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0008, Std=1.4984, Min=-3.8508, Max=3.8058, RMS=1.4984
  Col 1: Mean=0.0015, Std=0.8486, Min=-2.9020, Max=2.2988, RMS=0.8486
  Col 2: Mean=0.0011, Std=1.7764, Min=-2.9351, Max=6.3706, RMS=1.7764
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0049, Std=0.8683, Min=-1.8370, Max=2.6082, RMS=0.8684
  Col 13: Mean=0.0005, Std=0.5713, Min=-1.5113, Max=1.5601, RMS=0.5713
  Col 14: Mean=0.0003, Std=1.8612, Min=-3.3467, Max=6.2660, RMS=1.8612
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0005, Std=0.4561, Min=-1.2648, Max=1.9055, RMS=0.4561
  Col 19: Mean=0.0002, Std=0.4260, Min=-1.0513, Max=1.1124, RMS=0.4260
  Col 20: Mean=0.0017, Std=1.7347, Min=-2.9078, Max=7.2385, RMS=1.7347
  Col 21: Mean=0.0033, Std=0.7925, Min=-1.9257, Max=2.5794, RMS=0.7925
  Col 22: Mean=0.0010, Std=0.7310, Min=-1.9489, Max=2.6243, RMS=0.7310
  Col 23: Mean=0.0015, Std=1.7385, Min=-3.1121, Max=7.4463, RMS=1.7385
  Col 24: Mean=-0.0014, Std=1.4188, Min=-3.7221, Max=4.8041, RMS=1.4188
  Col 25: Mean=0.0048, Std=0.8299, Min=-2.2365, Max=2.9235, RMS=0.8300
  Col 26: Mean=-0.0033, Std=1.7336, Min=-3.7734, Max=6.2036, RMS=1.7336
  Col 27: Mean=-0.0058, Std=2.3661, Min=-6.0796, Max=5.9865, RMS=2.3662
  Col 28: Mean=0.0048, Std=0.8981, Min=-2.1775, Max=2.3393, RMS=0.8981
  Col 29: Mean=-0.0017, Std=1.6289, Min=-3.5178, Max=5.1147, RMS=1.6289
  Col 30: Mean=-0.0104, Std=3.0070, Min=-8.0474, Max=8.8482, RMS=3.0070
  Col 31: Mean=0.0098, Std=1.2335, Min=-3.2688, Max=3.4785, RMS=1.2336
  Col 32: Mean=-0.0060, Std=1.5085, Min=-3.1467, Max=4.2978, RMS=1.5085
  Col 33: Mean=0.0037, Std=0.8133, Min=-1.9530, Max=2.9022, RMS=0.8134
  Col 34: Mean=0.0004, Std=0.7496, Min=-2.4570, Max=2.3415, RMS=0.7496
  Col 35: Mean=0.0011, Std=1.6901, Min=-3.3138, Max=6.3388, RMS=1.6901
  Col 36: Mean=0.0032, Std=1.4404, Min=-3.6199, Max=3.9814, RMS=1.4404
  Col 37: Mean=-0.0067, Std=0.8069, Min=-2.6977, Max=2.2931, RMS=0.8069
  Col 38: Mean=-0.0050, Std=1.6876, Min=-3.2423, Max=5.7316, RMS=1.6877
  Col 39: Mean=-0.0069, Std=2.4994, Min=-5.9229, Max=6.2410, RMS=2.4994
  Col 40: Mean=0.0017, Std=0.9060, Min=-1.8825, Max=2.0154, RMS=0.9060
  Col 41: Mean=-0.0046, Std=1.7319, Min=-3.0327, Max=6.5282, RMS=1.7320
  Col 42: Mean=-0.0138, Std=3.2380, Min=-9.0767, Max=7.7027, RMS=3.2381
  Col 43: Mean=0.0001, Std=1.1623, Min=-2.3867, Max=2.5741, RMS=1.1623
  Col 44: Mean=-0.0138, Std=1.7604, Min=-3.9429, Max=5.5143, RMS=1.7604
  Col 45: Mean=-0.0121, Std=3.7656, Min=-11.1245, Max=10.8421, RMS=3.7656
  Col 46: Mean=-0.0114, Std=2.8359, Min=-11.0669, Max=11.4382, RMS=2.8359
  Col 47: Mean=0.0016, Std=3.2296, Min=-14.2057, Max=12.9082, RMS=3.2296
  Col 48: Mean=-0.0474, Std=5.1090, Min=-18.8699, Max=9.1327, RMS=5.1092
  Col 49: Mean=0.0179, Std=2.2861, Min=-7.7180, Max=9.4924, RMS=2.2862
  Col 50: Mean=-0.1199, Std=2.1573, Min=-5.9606, Max=11.8650, RMS=2.1607
  Col 51: Mean=-0.0714, Std=9.7344, Min=-40.9863, Max=28.6094, RMS=9.7346
  Col 52: Mean=0.0498, Std=2.2473, Min=-9.1691, Max=14.5480, RMS=2.2478
  Col 53: Mean=-0.1856, Std=6.4940, Min=-23.3753, Max=19.9600, RMS=6.4967
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0038, Std=3.4759, Min=-10.0965, Max=10.3931, RMS=3.4759
  Col 58: Mean=0.0069, Std=2.1363, Min=-10.5848, Max=10.2164, RMS=2.1363
  Col 59: Mean=-0.0060, Std=3.0907, Min=-11.6416, Max=11.0683, RMS=3.0908
  Col 60: Mean=-0.0407, Std=5.1050, Min=-18.1107, Max=9.5363, RMS=5.1052
  Col 61: Mean=-0.0040, Std=2.6583, Min=-10.7566, Max=9.2717, RMS=2.6583
  Col 62: Mean=-0.1310, Std=2.0650, Min=-6.2685, Max=13.5978, RMS=2.0691
  Col 63: Mean=-0.0766, Std=10.0694, Min=-41.8646, Max=32.3547, RMS=10.0697
  Col 64: Mean=-0.0623, Std=2.3232, Min=-15.5431, Max=11.7457, RMS=2.3240
  Col 65: Mean=-0.1674, Std=6.5786, Min=-24.3944, Max=19.3257, RMS=6.5808
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-38.0745, Std=12.9874, Min=-76.9395, Max=-12.8764, RMS=40.2286
  Col 1: Mean=-80.6650, Std=2.2347, Min=-86.1122, Max=-73.1214, RMS=80.6960
  Col 2: Mean=-138.0022, Std=14.0613, Min=-164.9765, Max=-100.2884, RMS=138.7167
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-4.3483, Std=2.1836, Min=-9.1362, Max=-0.3929, RMS=4.8657
  Col 13: Mean=-58.8028, Std=2.1501, Min=-63.8630, Max=-51.5133, RMS=58.8421
  Col 14: Mean=7.1231, Std=2.2230, Min=1.0003, Max=12.9944, RMS=7.4619
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-100.0494, Std=2.4578, Min=-107.7589, Max=-95.4142, RMS=100.0796
  Col 19: Mean=-32.3697, Std=3.3836, Min=-39.6447, Max=-21.5362, RMS=32.5461
  Col 20: Mean=-164.5158, Std=2.9321, Min=-172.8917, Max=-157.8965, RMS=164.5420
  Col 21: Mean=61.1033, Std=2.2633, Min=54.8339, Max=68.1966, RMS=61.1452
  Col 22: Mean=-1.2972, Std=1.1464, Min=-3.5611, Max=1.3870, RMS=1.7311
  Col 23: Mean=97.6394, Std=3.4668, Min=90.3037, Max=105.0280, RMS=97.7009
  Col 24: Mean=-45.1487, Std=19.0598, Min=-72.5230, Max=2.9856, RMS=49.0069
  Col 25: Mean=-76.8680, Std=3.6338, Min=-83.0130, Max=-66.9498, RMS=76.9538
  Col 26: Mean=-65.1371, Std=25.1003, Min=-126.0310, Max=-34.3139, RMS=69.8059
  Col 27: Mean=-17.9018, Std=20.9964, Min=-39.2692, Max=57.0531, RMS=27.5921
  Col 28: Mean=-71.6618, Std=9.1886, Min=-83.1693, Max=-47.3639, RMS=72.2485
  Col 29: Mean=-49.6544, Std=27.0676, Min=-142.7284, Max=-21.9121, RMS=56.5528
  Col 30: Mean=-70.9544, Std=4.6723, Min=-80.0652, Max=-57.4665, RMS=71.1081
  Col 31: Mean=7.3287, Std=10.0218, Min=-14.8813, Max=30.3262, RMS=12.4156
  Col 32: Mean=-6.3346, Std=9.8868, Min=-28.7224, Max=12.8873, RMS=11.7420
  Col 33: Mean=55.6156, Std=2.2574, Min=49.6047, Max=63.7527, RMS=55.6614
  Col 34: Mean=6.7896, Std=1.1963, Min=4.6260, Max=9.7362, RMS=6.8942
  Col 35: Mean=79.6523, Std=3.5795, Min=71.6006, Max=87.0363, RMS=79.7327
  Col 36: Mean=32.7119, Std=14.8069, Min=-9.0622, Max=60.4531, RMS=35.9070
