--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0118, Std=1.5744, Min=-4.7710, Max=5.2332, RMS=1.5745
  Col 1: Mean=-0.0020, Std=1.7378, Min=-8.8721, Max=6.5213, RMS=1.7378
  Col 2: Mean=0.0135, Std=2.4903, Min=-5.6320, Max=9.9515, RMS=2.4903
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0116, Std=0.9840, Min=-2.4494, Max=2.5919, RMS=0.9841
  Col 13: Mean=0.0004, Std=0.9323, Min=-4.3123, Max=2.6163, RMS=0.9323
  Col 14: Mean=0.0087, Std=2.1016, Min=-5.4738, Max=7.4054, RMS=2.1016
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0148, Std=1.0100, Min=-2.2959, Max=2.9856, RMS=1.0101
  Col 19: Mean=-0.0063, Std=0.9372, Min=-2.8625, Max=3.2569, RMS=0.9372
  Col 20: Mean=0.0172, Std=1.9007, Min=-5.0816, Max=7.7261, RMS=1.9008
  Col 21: Mean=0.0089, Std=1.0149, Min=-2.8287, Max=3.6537, RMS=1.0150
  Col 22: Mean=-0.0032, Std=1.0218, Min=-2.7570, Max=3.6828, RMS=1.0218
  Col 23: Mean=0.0127, Std=2.3632, Min=-5.4718, Max=10.1843, RMS=2.3632
  Col 24: Mean=0.0278, Std=1.7623, Min=-5.0208, Max=6.2277, RMS=1.7625
  Col 25: Mean=-0.0031, Std=1.0894, Min=-2.9153, Max=3.4068, RMS=1.0894
  Col 26: Mean=0.0027, Std=2.1351, Min=-4.8544, Max=7.9156, RMS=2.1351
  Col 27: Mean=0.0432, Std=3.4727, Min=-11.8614, Max=8.7110, RMS=3.4730
  Col 28: Mean=-0.0276, Std=2.0006, Min=-5.4000, Max=6.1766, RMS=2.0008
  Col 29: Mean=-0.0090, Std=2.4430, Min=-7.5016, Max=6.5421, RMS=2.4431
  Col 30: Mean=0.0550, Std=4.2550, Min=-13.9129, Max=10.8556, RMS=4.2554
  Col 31: Mean=-0.0333, Std=2.3945, Min=-6.6210, Max=7.1146, RMS=2.3947
  Col 32: Mean=-0.0165, Std=2.8438, Min=-9.2094, Max=9.9048, RMS=2.8438
  Col 33: Mean=0.0081, Std=1.1703, Min=-2.8179, Max=4.2673, RMS=1.1703
  Col 34: Mean=-0.0041, Std=0.8722, Min=-2.9521, Max=2.3826, RMS=0.8722
  Col 35: Mean=0.0099, Std=2.3149, Min=-5.1449, Max=9.6392, RMS=2.3149
  Col 36: Mean=0.0047, Std=1.8237, Min=-3.8604, Max=6.7224, RMS=1.8237
  Col 37: Mean=-0.0093, Std=0.9460, Min=-4.8048, Max=3.2614, RMS=0.9460
  Col 38: Mean=0.0008, Std=2.2542, Min=-4.9520, Max=8.8050, RMS=2.2542
  Col 39: Mean=-0.0092, Std=3.0266, Min=-6.1391, Max=9.1198, RMS=3.0266
  Col 40: Mean=0.0094, Std=1.1760, Min=-3.7363, Max=3.6393, RMS=1.1760
  Col 41: Mean=-0.0012, Std=2.1634, Min=-5.1330, Max=8.1911, RMS=2.1634
  Col 42: Mean=-0.0279, Std=4.0076, Min=-9.3377, Max=11.5296, RMS=4.0077
  Col 43: Mean=0.0225, Std=1.6590, Min=-5.8906, Max=7.2000, RMS=1.6592
  Col 44: Mean=-0.0101, Std=2.4873, Min=-8.3490, Max=7.5609, RMS=2.4873
  Col 45: Mean=0.0065, Std=4.4629, Min=-25.1768, Max=21.5309, RMS=4.4629
  Col 46: Mean=-0.0329, Std=3.3845, Min=-19.3435, Max=15.8717, RMS=3.3847
  Col 47: Mean=-0.0070, Std=5.0413, Min=-18.0394, Max=30.3946, RMS=5.0413
  Col 48: Mean=-0.0339, Std=5.1228, Min=-23.9602, Max=22.5668, RMS=5.1229
  Col 49: Mean=0.0277, Std=2.4933, Min=-8.9806, Max=14.9097, RMS=2.4935
  Col 50: Mean=-0.0820, Std=3.3859, Min=-11.8925, Max=23.4706, RMS=3.3869
  Col 51: Mean=-0.0182, Std=8.4943, Min=-31.9638, Max=33.8279, RMS=8.4943
  Col 52: Mean=0.0572, Std=4.1154, Min=-21.1703, Max=21.2116, RMS=4.1158
  Col 53: Mean=-0.1515, Std=6.1617, Min=-29.8952, Max=18.7332, RMS=6.1635
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0195, Std=4.7088, Min=-26.3253, Max=27.1399, RMS=4.7088
