--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0054, Std=1.7431, Min=-7.6873, Max=5.8467, RMS=1.7431
  Col 1: Mean=0.0033, Std=1.4731, Min=-7.1166, Max=6.6497, RMS=1.4731
  Col 2: Mean=0.0025, Std=2.3144, Min=-5.1928, Max=9.2849, RMS=2.3144
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0087, Std=1.3038, Min=-3.9391, Max=2.9426, RMS=1.3038
  Col 13: Mean=0.0012, Std=0.9685, Min=-2.5261, Max=4.0180, RMS=0.9685
  Col 14: Mean=-0.0064, Std=2.2938, Min=-5.2409, Max=6.6855, RMS=2.2938
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0029, Std=1.0032, Min=-3.3866, Max=2.5411, RMS=1.0032
  Col 19: Mean=0.0026, Std=1.1187, Min=-2.4858, Max=3.0631, RMS=1.1187
  Col 20: Mean=-0.0062, Std=2.0384, Min=-3.6948, Max=7.8794, RMS=2.0384
  Col 21: Mean=-0.0072, Std=1.3081, Min=-4.2942, Max=2.8786, RMS=1.3081
  Col 22: Mean=0.0094, Std=1.0784, Min=-3.3035, Max=3.0589, RMS=1.0784
  Col 23: Mean=-0.0069, Std=2.1038, Min=-4.0084, Max=9.5841, RMS=2.1038
  Col 24: Mean=-0.0127, Std=1.9814, Min=-10.1095, Max=4.3046, RMS=1.9814
  Col 25: Mean=0.0000, Std=1.0621, Min=-2.6743, Max=3.0016, RMS=1.0621
  Col 26: Mean=-0.0071, Std=2.2064, Min=-5.0084, Max=9.7102, RMS=2.2065
  Col 27: Mean=-0.0076, Std=2.4556, Min=-7.3276, Max=5.8859, RMS=2.4556
  Col 28: Mean=-0.0076, Std=1.7082, Min=-4.9576, Max=4.6218, RMS=1.7082
  Col 29: Mean=-0.0087, Std=1.7161, Min=-3.6770, Max=6.4218, RMS=1.7161
  Col 30: Mean=0.0030, Std=2.9594, Min=-11.5728, Max=7.8796, RMS=2.9594
  Col 31: Mean=-0.0091, Std=2.0123, Min=-5.9447, Max=5.3072, RMS=2.0124
  Col 32: Mean=-0.0486, Std=2.0118, Min=-8.9032, Max=6.5985, RMS=2.0124
  Col 33: Mean=-0.0022, Std=1.4096, Min=-3.9983, Max=3.6546, RMS=1.4096
  Col 34: Mean=0.0058, Std=0.9349, Min=-2.7476, Max=2.5284, RMS=0.9349
  Col 35: Mean=-0.0070, Std=2.0344, Min=-4.0887, Max=8.0244, RMS=2.0344
  Col 36: Mean=0.0104, Std=1.9654, Min=-6.5223, Max=4.9280, RMS=1.9654
  Col 37: Mean=-0.0031, Std=1.0995, Min=-2.8973, Max=4.9991, RMS=1.0995
  Col 38: Mean=-0.0159, Std=2.2131, Min=-4.9495, Max=6.3708, RMS=2.2132
  Col 39: Mean=-0.0097, Std=2.7885, Min=-8.7385, Max=6.7682, RMS=2.7885
  Col 40: Mean=0.0150, Std=1.4666, Min=-4.4409, Max=5.9795, RMS=1.4667
  Col 41: Mean=-0.3920, Std=2.7005, Min=-9.1926, Max=8.1180, RMS=2.7288
  Col 42: Mean=0.0228, Std=3.8446, Min=-9.9859, Max=10.5047, RMS=3.8446
  Col 43: Mean=0.0053, Std=2.0344, Min=-6.3589, Max=5.6890, RMS=2.0344
  Col 44: Mean=-0.0383, Std=2.4511, Min=-5.8521, Max=9.8259, RMS=2.4514
  Col 45: Mean=0.0105, Std=4.1294, Min=-14.2489, Max=13.5404, RMS=4.1294
  Col 46: Mean=0.0080, Std=2.4333, Min=-9.7416, Max=10.8403, RMS=2.4333
  Col 47: Mean=-0.0171, Std=3.6710, Min=-16.5818, Max=16.9875, RMS=3.6711
  Col 48: Mean=0.0357, Std=4.9228, Min=-14.5257, Max=16.3606, RMS=4.9229
  Col 49: Mean=-0.0360, Std=2.1921, Min=-10.5264, Max=5.9022, RMS=2.1924
  Col 50: Mean=-0.1164, Std=3.1989, Min=-12.2189, Max=29.6042, RMS=3.2010
  Col 51: Mean=0.0512, Std=8.8077, Min=-30.8729, Max=40.1697, RMS=8.8079
  Col 52: Mean=-0.0753, Std=4.0880, Min=-13.9808, Max=16.8256, RMS=4.0887
  Col 53: Mean=-0.1823, Std=5.8296, Min=-26.1781, Max=22.3915, RMS=5.8325
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0125, Std=3.6385, Min=-14.4490, Max=13.6553, RMS=3.6385
  Col 58: Mean=-0.0203, Std=3.0239, Min=-10.6615, Max=18.8367, RMS=3.0239
  Col 59: Mean=-0.0443, Std=3.7054, Min=-16.0123, Max=23.7775, RMS=3.7057
