--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0051, Std=1.5208, Min=-9.9207, Max=5.5484, RMS=1.5209
  Col 1: Mean=0.0055, Std=1.6553, Min=-3.8192, Max=11.5455, RMS=1.6553
  Col 2: Mean=-0.0027, Std=3.8853, Min=-8.8659, Max=12.4978, RMS=3.8853
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0028, Std=0.9071, Min=-3.1013, Max=3.9929, RMS=0.9072
  Col 13: Mean=-0.0105, Std=0.9916, Min=-2.7347, Max=4.8746, RMS=0.9916
  Col 14: Mean=0.0031, Std=3.7746, Min=-7.5862, Max=12.6155, RMS=3.7746
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0006, Std=0.8173, Min=-2.6520, Max=2.5312, RMS=0.8173
  Col 19: Mean=-0.0232, Std=1.0577, Min=-3.7930, Max=3.1057, RMS=1.0580
  Col 20: Mean=0.0112, Std=3.2279, Min=-7.4598, Max=10.9260, RMS=3.2279
  Col 21: Mean=0.0190, Std=1.1524, Min=-4.0552, Max=4.4849, RMS=1.1526
  Col 22: Mean=0.0091, Std=1.0852, Min=-3.9885, Max=5.1904, RMS=1.0852
  Col 23: Mean=-0.3864, Std=3.9151, Min=-9.1973, Max=20.0497, RMS=3.9341
  Col 24: Mean=-0.0231, Std=1.5192, Min=-6.3396, Max=5.7235, RMS=1.5193
  Col 25: Mean=0.0107, Std=1.7496, Min=-4.6356, Max=10.0536, RMS=1.7496
  Col 26: Mean=-0.0124, Std=3.9588, Min=-6.6774, Max=16.1744, RMS=3.9589
  Col 27: Mean=-0.0020, Std=1.9639, Min=-8.7492, Max=9.8084, RMS=1.9639
  Col 28: Mean=-0.0308, Std=3.6351, Min=-8.7562, Max=12.5811, RMS=3.6352
  Col 29: Mean=-0.0114, Std=4.5939, Min=-11.2719, Max=13.5172, RMS=4.5939
  Col 30: Mean=0.0290, Std=3.0835, Min=-8.4763, Max=18.6568, RMS=3.0836
  Col 31: Mean=-0.0499, Std=4.8250, Min=-12.6778, Max=14.6850, RMS=4.8253
  Col 32: Mean=-0.0780, Std=4.9809, Min=-13.3520, Max=15.8689, RMS=4.9816
  Col 33: Mean=-0.0321, Std=1.1591, Min=-4.8015, Max=4.1786, RMS=1.1595
  Col 34: Mean=-0.0234, Std=1.0043, Min=-2.8718, Max=4.7902, RMS=1.0046
  Col 35: Mean=-0.3505, Std=3.7001, Min=-9.0893, Max=20.2115, RMS=3.7167
  Col 36: Mean=0.0430, Std=1.2946, Min=-5.1051, Max=4.8445, RMS=1.2953
  Col 37: Mean=-0.0351, Std=1.9208, Min=-6.9116, Max=8.7584, RMS=1.9212
  Col 38: Mean=-0.4381, Std=4.4181, Min=-9.6694, Max=14.0280, RMS=4.4398
  Col 39: Mean=-0.0189, Std=1.2708, Min=-4.2736, Max=5.0480, RMS=1.2709
  Col 40: Mean=-0.0594, Std=2.9508, Min=-7.1440, Max=6.4491, RMS=2.9514
  Col 41: Mean=-0.0020, Std=4.2651, Min=-9.9380, Max=14.0795, RMS=4.2651
  Col 42: Mean=-0.0551, Std=2.1000, Min=-7.8026, Max=7.0904, RMS=2.1007
  Col 43: Mean=-0.0905, Std=4.7617, Min=-13.6821, Max=13.7165, RMS=4.7626
  Col 44: Mean=-0.0310, Std=5.0387, Min=-11.7081, Max=21.7271, RMS=5.0388
