--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0026, Std=1.8858, Min=-5.4907, Max=7.7124, RMS=1.8858
  Col 1: Mean=0.0037, Std=1.6547, Min=-6.0091, Max=8.4660, RMS=1.6547
  Col 2: Mean=0.0005, Std=3.9418, Min=-9.0349, Max=16.8608, RMS=3.9418
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0009, Std=0.9149, Min=-2.6168, Max=4.5728, RMS=0.9149
  Col 13: Mean=-0.0066, Std=0.8629, Min=-2.1481, Max=3.8781, RMS=0.8629
  Col 14: Mean=0.0026, Std=3.6098, Min=-7.7122, Max=12.3370, RMS=3.6098
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0139, Std=0.8524, Min=-2.3648, Max=2.5855, RMS=0.8525
  Col 19: Mean=-0.0148, Std=0.9448, Min=-2.6700, Max=3.8554, RMS=0.9450
  Col 20: Mean=-0.0008, Std=2.9286, Min=-7.2362, Max=8.5578, RMS=2.9286
  Col 21: Mean=-0.0095, Std=1.6277, Min=-4.8318, Max=5.4573, RMS=1.6278
  Col 22: Mean=-0.0139, Std=0.9179, Min=-4.1336, Max=4.3284, RMS=0.9180
  Col 23: Mean=0.0048, Std=3.3838, Min=-6.7853, Max=13.2573, RMS=3.3838
  Col 24: Mean=-0.0175, Std=1.8839, Min=-4.4409, Max=7.8708, RMS=1.8840
  Col 25: Mean=0.0243, Std=2.0471, Min=-4.4436, Max=8.8171, RMS=2.0472
  Col 26: Mean=-0.0169, Std=3.8087, Min=-7.8167, Max=12.3448, RMS=3.8087
  Col 27: Mean=-0.0032, Std=2.7191, Min=-8.1026, Max=9.8008, RMS=2.7191
  Col 28: Mean=-0.0205, Std=2.8926, Min=-5.9924, Max=9.6683, RMS=2.8926
  Col 29: Mean=-0.0296, Std=3.5241, Min=-7.5631, Max=11.9892, RMS=3.5243
  Col 30: Mean=0.0160, Std=3.7776, Min=-10.2151, Max=13.4138, RMS=3.7776
  Col 31: Mean=-0.0767, Std=3.7802, Min=-8.8467, Max=10.5504, RMS=3.7810
  Col 32: Mean=-0.0886, Std=3.7330, Min=-8.8587, Max=12.9728, RMS=3.7340
  Col 33: Mean=-0.0018, Std=1.3142, Min=-4.2904, Max=4.2394, RMS=1.3142
  Col 34: Mean=-0.0155, Std=1.2755, Min=-3.7250, Max=4.8290, RMS=1.2756
  Col 35: Mean=0.0040, Std=3.3445, Min=-7.2503, Max=14.3068, RMS=3.3445
  Col 36: Mean=0.0193, Std=1.5972, Min=-5.2295, Max=8.0592, RMS=1.5973
  Col 37: Mean=0.0239, Std=2.2000, Min=-4.6789, Max=9.6082, RMS=2.2001
  Col 38: Mean=-0.0488, Std=3.9093, Min=-9.2550, Max=14.6514, RMS=3.9096
  Col 39: Mean=-0.0239, Std=1.7214, Min=-5.5416, Max=5.7256, RMS=1.7216
  Col 40: Mean=-0.0075, Std=2.4601, Min=-5.9590, Max=8.4763, RMS=2.4601
  Col 41: Mean=-0.0249, Std=3.3863, Min=-7.9050, Max=12.3020, RMS=3.3864
  Col 42: Mean=-0.0690, Std=2.5966, Min=-9.5541, Max=6.0486, RMS=2.5975
  Col 43: Mean=-0.0113, Std=4.1602, Min=-12.7474, Max=13.1045, RMS=4.1602
  Col 44: Mean=-0.0746, Std=3.7865, Min=-11.5692, Max=12.9883, RMS=3.7872
  Col 45: Mean=0.0092, Std=3.8308, Min=-10.5423, Max=19.3740, RMS=3.8308
  Col 46: Mean=0.0132, Std=3.8861, Min=-20.4395, Max=16.7362, RMS=3.8861
  Col 47: Mean=-0.0067, Std=4.4970, Min=-12.9517, Max=21.7186, RMS=4.4970
  Col 48: Mean=-0.0572, Std=3.8022, Min=-17.4633, Max=30.6345, RMS=3.8026
  Col 49: Mean=-0.0520, Std=5.7344, Min=-23.1038, Max=22.9735, RMS=5.7346
  Col 50: Mean=-0.1491, Std=4.4566, Min=-20.1128, Max=36.2645, RMS=4.4591
  Col 51: Mean=-0.0960, Std=5.4452, Min=-19.6466, Max=53.3411, RMS=5.4461
  Col 52: Mean=0.0703, Std=8.6653, Min=-39.0853, Max=67.3346, RMS=8.6656
  Col 53: Mean=-0.0579, Std=7.6650, Min=-34.4376, Max=42.0376, RMS=7.6652
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0113, Std=2.6924, Min=-11.9988, Max=10.9659, RMS=2.6925
  Col 58: Mean=0.0136, Std=3.8286, Min=-15.2132, Max=18.6656, RMS=3.8286
  Col 59: Mean=-0.0115, Std=3.9692, Min=-10.7123, Max=19.1180, RMS=3.9692
  Col 60: Mean=0.0150, Std=2.9786, Min=-13.1314, Max=9.4464, RMS=2.9786
  Col 61: Mean=-0.0379, Std=5.6319, Min=-23.7863, Max=21.7140, RMS=5.6321
  Col 62: Mean=-0.1896, Std=4.1206, Min=-18.4095, Max=20.1168, RMS=4.1249
  Col 63: Mean=0.1223, Std=5.6003, Min=-37.7670, Max=47.1945, RMS=5.6016
  Col 64: Mean=-0.0396, Std=9.3044, Min=-40.6292, Max=43.0541, RMS=9.3045
  Col 65: Mean=-0.0750, Std=7.9470, Min=-34.9558, Max=46.9853, RMS=7.9473
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-8.5001, Std=5.6859, Min=-24.5087, Max=5.3748, RMS=10.2265
  Col 1: Mean=-73.3276, Std=1.8561, Min=-78.8086, Max=-68.8071, RMS=73.3511
  Col 2: Mean=-106.3072, Std=7.1649, Min=-120.9588, Max=-85.4590, RMS=106.5484
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.4992, Std=4.1663, Min=-16.2960, Max=9.0296, RMS=4.1961
  Col 13: Mean=-65.1552, Std=2.1317, Min=-71.7349, Max=-57.9313, RMS=65.1900
  Col 14: Mean=69.5062, Std=6.0032, Min=55.7902, Max=90.3050, RMS=69.7650
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=87.9318, Std=5.4056, Min=74.1082, Max=97.6948, RMS=88.0978
  Col 19: Mean=-16.5017, Std=2.5645, Min=-23.5827, Max=-8.1750, RMS=16.6998
  Col 20: Mean=-13.0436, Std=6.9711, Min=-19.6301, Max=18.1243, RMS=14.7896
  Col 21: Mean=65.4337, Std=2.7607, Min=58.3830, Max=77.6413, RMS=65.4919
  Col 22: Mean=-1.9324, Std=1.7048, Min=-5.4089, Max=4.0889, RMS=2.5769
  Col 23: Mean=165.0414, Std=4.0663, Min=157.0905, Max=174.2572, RMS=165.0915
  Col 24: Mean=37.8885, Std=16.1259, Min=-7.1786, Max=73.9471, RMS=41.1775
  Col 25: Mean=-72.4978, Std=3.5685, Min=-78.8631, Max=-62.5448, RMS=72.5856
  Col 26: Mean=-45.2423, Std=19.7769, Min=-91.3961, Max=13.7779, RMS=49.3760
  Col 27: Mean=-73.5317, Std=41.6202, Min=-178.5100, Max=175.1760, RMS=84.4935
  Col 28: Mean=-62.9595, Std=16.3032, Min=-88.2306, Max=-17.9355, RMS=65.0361
  Col 29: Mean=55.4685, Std=37.6843, Min=-174.0975, Max=178.9638, RMS=67.0586
  Col 30: Mean=-82.3968, Std=7.9131, Min=-106.7658, Max=-60.1600, RMS=82.7759
  Col 31: Mean=-1.8644, Std=18.0998, Min=-37.6544, Max=46.9439, RMS=18.1956
  Col 32: Mean=61.8508, Std=13.5410, Min=28.4116, Max=95.8560, RMS=63.3157
  Col 33: Mean=65.1298, Std=2.5434, Min=58.5086, Max=74.7269, RMS=65.1794
  Col 34: Mean=-7.5153, Std=1.6780, Min=-11.9034, Max=-2.6436, RMS=7.7003
  Col 35: Mean=148.2341, Std=3.8266, Min=140.9658, Max=156.6968, RMS=148.2835
  Col 36: Mean=-40.5540, Std=14.7741, Min=-177.8502, Max=-9.5552, RMS=43.1614
  Col 37: Mean=-67.9165, Std=6.2037, Min=-74.5386, Max=-5.6864, RMS=68.1992
  Col 38: Mean=-131.2967, Std=99.9232, Min=-179.8458, Max=179.6373, RMS=164.9953
  Col 39: Mean=45.4585, Std=7.9700, Min=17.4736, Max=77.3752, RMS=46.1519
  Col 40: Mean=-59.9179, Std=14.7769, Min=-84.2268, Max=-17.9756, RMS=61.7132
  Col 41: Mean=59.1464, Std=10.4933, Min=12.1379, Max=84.1733, RMS=60.0700
  Col 42: Mean=78.1750, Std=11.0605, Min=55.1907, Max=114.8235, RMS=78.9535
  Col 43: Mean=4.6874, Std=15.6895, Min=-20.7490, Max=51.4292, RMS=16.3747
  Col 44: Mean=36.6048, Std=11.3222, Min=2.2105, Max=66.4473, RMS=38.3158
  Col 45: Mean=-10.5669, Std=111.2278, Min=-178.5395, Max=179.5046, RMS=111.7286
  Col 46: Mean=-75.3629, Std=7.5398, Min=-87.8356, Max=-53.2334, RMS=75.7391
  Col 47: Mean=28.8918, Std=114.5003, Min=-179.4673, Max=177.7000, RMS=118.0892
