--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0036, Std=0.9809, Min=-4.1649, Max=2.8408, RMS=0.9809
  Col 1: Mean=-0.0090, Std=1.2172, Min=-3.5192, Max=3.2794, RMS=1.2173
  Col 2: Mean=0.0006, Std=1.5907, Min=-3.1269, Max=6.8291, RMS=1.5907
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0011, Std=1.0749, Min=-4.0735, Max=2.7950, RMS=1.0749
  Col 13: Mean=-0.0098, Std=0.8052, Min=-2.8653, Max=2.2075, RMS=0.8053
  Col 14: Mean=0.0002, Std=1.7530, Min=-3.9473, Max=5.8509, RMS=1.7530
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0006, Std=0.9059, Min=-2.4910, Max=2.7402, RMS=0.9059
  Col 19: Mean=-0.0004, Std=0.7127, Min=-2.0597, Max=2.1758, RMS=0.7127
  Col 20: Mean=0.0002, Std=1.6054, Min=-3.1487, Max=6.2205, RMS=1.6054
  Col 21: Mean=0.0002, Std=1.1776, Min=-4.3052, Max=3.3152, RMS=1.1776
  Col 22: Mean=-0.0109, Std=0.8382, Min=-3.3306, Max=2.2575, RMS=0.8383
  Col 23: Mean=-0.0004, Std=1.6264, Min=-3.0243, Max=8.3466, RMS=1.6264
  Col 24: Mean=-0.0030, Std=1.1551, Min=-3.8228, Max=2.6688, RMS=1.1551
  Col 25: Mean=0.0232, Std=1.4795, Min=-5.1251, Max=4.3416, RMS=1.4796
  Col 26: Mean=-0.4903, Std=2.5448, Min=-9.0160, Max=5.8050, RMS=2.5916
  Col 27: Mean=-0.0191, Std=1.8051, Min=-4.2539, Max=3.9322, RMS=1.8052
  Col 28: Mean=-0.0515, Std=3.4620, Min=-9.3025, Max=7.2013, RMS=3.4624
  Col 29: Mean=-0.3020, Std=2.0240, Min=-8.8406, Max=5.8249, RMS=2.0464
  Col 30: Mean=0.0087, Std=2.2033, Min=-4.7913, Max=4.7394, RMS=2.2033
  Col 31: Mean=0.0068, Std=4.2942, Min=-13.1317, Max=8.7996, RMS=4.2942
  Col 32: Mean=-0.0188, Std=1.5881, Min=-6.6941, Max=5.7146, RMS=1.5882
  Col 33: Mean=-0.0027, Std=1.0745, Min=-3.4654, Max=2.7351, RMS=1.0745
  Col 34: Mean=-0.0101, Std=1.0403, Min=-3.4367, Max=2.2867, RMS=1.0403
  Col 35: Mean=-0.0001, Std=1.7011, Min=-3.1573, Max=7.8539, RMS=1.7011
  Col 36: Mean=-0.0043, Std=1.0424, Min=-5.1187, Max=2.1356, RMS=1.0424
  Col 37: Mean=-0.0103, Std=1.7382, Min=-6.2018, Max=3.3590, RMS=1.7382
  Col 38: Mean=-0.0036, Std=1.6903, Min=-3.4691, Max=7.2211, RMS=1.6903
  Col 39: Mean=0.0009, Std=0.9158, Min=-3.3953, Max=2.0004, RMS=0.9158
  Col 40: Mean=0.0017, Std=3.2243, Min=-8.7320, Max=6.6387, RMS=3.2243
  Col 41: Mean=-0.0058, Std=1.3596, Min=-3.2927, Max=5.0666, RMS=1.3596
  Col 42: Mean=0.0097, Std=1.2604, Min=-3.4433, Max=4.3661, RMS=1.2604
  Col 43: Mean=0.0114, Std=4.4326, Min=-10.9668, Max=9.3296, RMS=4.4326
  Col 44: Mean=-0.0217, Std=1.5249, Min=-4.4325, Max=5.3840, RMS=1.5250
  Col 45: Mean=0.0078, Std=2.3965, Min=-10.1028, Max=9.2034, RMS=2.3966
