--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=1.1533, Min=-3.9091, Max=2.7681, RMS=1.1533
  Col 1: Mean=-0.0099, Std=1.3195, Min=-3.3150, Max=3.6655, RMS=1.3195
  Col 2: Mean=0.0014, Std=2.0200, Min=-4.2155, Max=6.8311, RMS=2.0200
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0002, Std=1.1968, Min=-4.3952, Max=2.4814, RMS=1.1968
  Col 13: Mean=-0.0025, Std=0.8958, Min=-3.0932, Max=2.1499, RMS=0.8958
  Col 14: Mean=-0.0004, Std=2.1005, Min=-4.6165, Max=5.5654, RMS=2.1005
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0092, Std=0.9514, Min=-2.7140, Max=2.4199, RMS=0.9514
  Col 19: Mean=0.0081, Std=0.6945, Min=-2.1879, Max=2.0906, RMS=0.6945
  Col 20: Mean=-0.1454, Std=2.2112, Min=-8.9610, Max=5.5361, RMS=2.2159
  Col 21: Mean=0.0036, Std=1.3067, Min=-2.9327, Max=3.6344, RMS=1.3067
  Col 22: Mean=-0.0010, Std=0.8967, Min=-3.4641, Max=2.2408, RMS=0.8967
  Col 23: Mean=0.0008, Std=1.9908, Min=-4.2666, Max=7.2103, RMS=1.9908
  Col 24: Mean=0.0260, Std=1.5843, Min=-3.9709, Max=3.2223, RMS=1.5845
  Col 25: Mean=0.0030, Std=1.6882, Min=-4.2697, Max=4.5180, RMS=1.6882
  Col 26: Mean=-0.1309, Std=1.8269, Min=-8.9511, Max=4.2437, RMS=1.8316
  Col 27: Mean=0.0112, Std=2.7056, Min=-5.2270, Max=5.4057, RMS=2.7056
  Col 28: Mean=-0.0017, Std=4.2591, Min=-9.0521, Max=8.8323, RMS=4.2591
  Col 29: Mean=-0.1554, Std=2.2680, Min=-8.9031, Max=5.5773, RMS=2.2733
  Col 30: Mean=0.0010, Std=3.2028, Min=-5.9617, Max=6.7691, RMS=3.2028
  Col 31: Mean=-0.0119, Std=5.1136, Min=-10.6168, Max=9.7471, RMS=5.1136
  Col 32: Mean=-0.0098, Std=2.6569, Min=-6.9501, Max=6.9301, RMS=2.6569
  Col 33: Mean=0.0029, Std=1.1701, Min=-2.7108, Max=3.6535, RMS=1.1701
  Col 34: Mean=-0.0041, Std=1.1694, Min=-3.8311, Max=2.5090, RMS=1.1694
  Col 35: Mean=-0.0005, Std=2.0330, Min=-3.9831, Max=7.1810, RMS=2.0330
  Col 36: Mean=-0.0053, Std=1.1528, Min=-5.9050, Max=2.1629, RMS=1.1528
  Col 37: Mean=-0.0119, Std=2.0002, Min=-4.8927, Max=4.0274, RMS=2.0003
  Col 38: Mean=-0.0052, Std=1.8885, Min=-3.9121, Max=5.9998, RMS=1.8885
  Col 39: Mean=-0.0064, Std=1.3552, Min=-3.5967, Max=3.8431, RMS=1.3553
  Col 40: Mean=-0.0077, Std=3.8013, Min=-8.8392, Max=7.1631, RMS=3.8013
  Col 41: Mean=-0.0160, Std=1.4207, Min=-4.1103, Max=3.8086, RMS=1.4207
  Col 42: Mean=0.0003, Std=1.8485, Min=-4.2601, Max=4.3754, RMS=1.8485
  Col 43: Mean=-0.0016, Std=5.1007, Min=-11.8327, Max=10.5780, RMS=5.1007
  Col 44: Mean=-0.0348, Std=1.7429, Min=-5.7178, Max=4.7580, RMS=1.7433
  Col 45: Mean=0.0201, Std=2.9737, Min=-12.0207, Max=9.0418, RMS=2.9738
  Col 46: Mean=0.0171, Std=3.4360, Min=-12.0835, Max=10.7942, RMS=3.4360
  Col 47: Mean=-0.0087, Std=4.4490, Min=-11.4000, Max=17.9717, RMS=4.4490
  Col 48: Mean=0.0589, Std=3.4639, Min=-16.5165, Max=21.9598, RMS=3.4644
  Col 49: Mean=0.0495, Std=4.9768, Min=-19.8300, Max=14.5249, RMS=4.9770
  Col 50: Mean=-0.0554, Std=5.3577, Min=-11.0882, Max=51.7462, RMS=5.3579
  Col 51: Mean=0.0647, Std=4.8230, Min=-41.4502, Max=26.3273, RMS=4.8234
  Col 52: Mean=0.1797, Std=6.6068, Min=-46.2636, Max=22.3293, RMS=6.6092
  Col 53: Mean=-0.0737, Std=7.4393, Min=-18.7333, Max=40.2783, RMS=7.4396
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0045, Std=2.0321, Min=-8.9989, Max=7.2395, RMS=2.0321
  Col 58: Mean=0.0161, Std=4.0329, Min=-14.4581, Max=15.2148, RMS=4.0329
  Col 59: Mean=0.0013, Std=4.2915, Min=-11.4837, Max=19.0393, RMS=4.2915
  Col 60: Mean=0.0007, Std=2.8966, Min=-9.8900, Max=13.8635, RMS=2.8966
  Col 61: Mean=0.0848, Std=5.0129, Min=-17.5575, Max=17.2267, RMS=5.0136
  Col 62: Mean=-0.0739, Std=5.8422, Min=-24.0273, Max=51.2714, RMS=5.8427
  Col 63: Mean=0.0981, Std=3.6643, Min=-24.8129, Max=14.6548, RMS=3.6656
  Col 64: Mean=0.1787, Std=6.8545, Min=-42.7489, Max=21.4576, RMS=6.8568
  Col 65: Mean=-0.0621, Std=8.2082, Min=-19.8501, Max=43.3297, RMS=8.2084
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-3.5341, Std=6.3389, Min=-15.8676, Max=9.7179, RMS=7.2575
  Col 1: Mean=-69.3965, Std=4.0722, Min=-76.4857, Max=-62.2410, RMS=69.5158
  Col 2: Mean=68.4719, Std=7.3181, Min=54.2816, Max=81.3062, RMS=68.8618
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-2.3128, Std=6.0659, Min=-18.7616, Max=14.0310, RMS=6.4918
  Col 13: Mean=-71.4598, Std=5.4990, Min=-79.9309, Max=-61.2920, RMS=71.6710
  Col 14: Mean=-109.7719, Std=7.9929, Min=-133.0774, Max=-87.8517, RMS=110.0625
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=65.1593, Std=16.8452, Min=45.5317, Max=173.5405, RMS=67.3015
  Col 19: Mean=-9.2039, Std=3.9389, Min=-18.4091, Max=-0.8364, RMS=10.0113
  Col 20: Mean=38.0604, Std=169.1818, Min=-179.9547, Max=179.9666, RMS=173.4101
  Col 21: Mean=59.4750, Std=5.5545, Min=51.5141, Max=71.3709, RMS=59.7339
  Col 22: Mean=-0.0879, Std=1.6212, Min=-3.1881, Max=4.5273, RMS=1.6235
  Col 23: Mean=-14.9291, Std=4.7857, Min=-23.9421, Max=-6.6080, RMS=15.6774
  Col 24: Mean=45.8614, Std=24.3212, Min=-0.2977, Max=178.7167, RMS=51.9114
  Col 25: Mean=-66.0948, Std=8.6275, Min=-76.1393, Max=-5.7391, RMS=66.6555
  Col 26: Mean=131.6270, Std=24.9683, Min=86.4707, Max=179.2786, RMS=133.9742
  Col 27: Mean=-58.3331, Std=54.9504, Min=-178.2700, Max=83.8407, RMS=80.1392
  Col 28: Mean=-61.4912, Std=20.4634, Min=-89.9118, Max=-5.4899, RMS=64.8068
