--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/walk/Run_5
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0006, Std=1.7934, Min=-5.1540, Max=4.2219, RMS=1.7934
  Col 1: Mean=-0.0003, Std=1.7691, Min=-5.4479, Max=3.9043, RMS=1.7691
  Col 2: Mean=0.0046, Std=2.3651, Min=-5.3976, Max=6.3957, RMS=2.3651
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0110, Std=0.8037, Min=-2.2258, Max=2.1644, RMS=0.8038
  Col 13: Mean=0.0015, Std=0.9930, Min=-2.7103, Max=3.0845, RMS=0.9930
  Col 14: Mean=0.0018, Std=2.0975, Min=-4.1026, Max=5.5247, RMS=2.0975
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0043, Std=0.5520, Min=-2.5321, Max=2.2876, RMS=0.5520
  Col 19: Mean=0.0016, Std=1.0595, Min=-2.6446, Max=2.6485, RMS=1.0595
  Col 20: Mean=-0.0104, Std=1.8134, Min=-3.0866, Max=5.3574, RMS=1.8135
  Col 21: Mean=-0.0097, Std=0.7522, Min=-2.0448, Max=2.2919, RMS=0.7522
  Col 22: Mean=0.0014, Std=0.8707, Min=-1.8255, Max=2.5090, RMS=0.8707
  Col 23: Mean=0.0007, Std=2.0443, Min=-3.6880, Max=5.1398, RMS=2.0443
  Col 24: Mean=-0.0119, Std=1.4844, Min=-3.8259, Max=3.2997, RMS=1.4845
  Col 25: Mean=-0.0012, Std=0.8984, Min=-2.5224, Max=2.6557, RMS=0.8984
  Col 26: Mean=-0.0011, Std=1.8942, Min=-3.7680, Max=4.8774, RMS=1.8942
  Col 27: Mean=0.0087, Std=3.3622, Min=-7.6108, Max=6.4136, RMS=3.3622
  Col 28: Mean=0.0017, Std=0.9064, Min=-2.0731, Max=1.8203, RMS=0.9064
  Col 29: Mean=-0.0008, Std=1.6258, Min=-3.4673, Max=4.6413, RMS=1.6258
  Col 30: Mean=-0.0485, Std=4.2836, Min=-10.9708, Max=8.6950, RMS=4.2839
  Col 31: Mean=0.0140, Std=1.0303, Min=-2.5072, Max=2.3866, RMS=1.0304
  Col 32: Mean=-0.3907, Std=2.4674, Min=-9.0124, Max=4.7718, RMS=2.4982
  Col 33: Mean=-0.0092, Std=0.7919, Min=-2.6737, Max=2.2207, RMS=0.7919
  Col 34: Mean=0.0025, Std=0.8859, Min=-2.0605, Max=2.2501, RMS=0.8859
  Col 35: Mean=-0.0001, Std=2.0487, Min=-3.5592, Max=5.0766, RMS=2.0487
  Col 36: Mean=-0.0103, Std=1.5071, Min=-4.9459, Max=4.0199, RMS=1.5071
  Col 37: Mean=0.0089, Std=0.9701, Min=-2.3429, Max=2.9248, RMS=0.9701
