--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Lorenzo/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0012, Std=1.8327, Min=-5.7845, Max=4.2669, RMS=1.8327
  Col 1: Mean=0.0003, Std=1.7159, Min=-5.3775, Max=4.4330, RMS=1.7159
  Col 2: Mean=0.0042, Std=2.4940, Min=-5.8737, Max=6.1351, RMS=2.4940
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0099, Std=0.8130, Min=-1.9378, Max=2.1223, RMS=0.8131
  Col 13: Mean=0.0012, Std=0.9917, Min=-2.9254, Max=2.7669, RMS=0.9917
  Col 14: Mean=0.0012, Std=2.1629, Min=-4.2503, Max=5.5873, RMS=2.1629
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0022, Std=0.4889, Min=-1.7295, Max=1.8437, RMS=0.4889
  Col 19: Mean=0.0019, Std=1.0327, Min=-2.7898, Max=2.8035, RMS=1.0327
  Col 20: Mean=-0.0059, Std=1.8726, Min=-3.1544, Max=5.7868, RMS=1.8726
  Col 21: Mean=-0.0097, Std=0.7670, Min=-1.9864, Max=2.6367, RMS=0.7671
  Col 22: Mean=0.0000, Std=0.8204, Min=-1.7349, Max=2.1365, RMS=0.8204
  Col 23: Mean=0.0012, Std=2.1036, Min=-3.7678, Max=5.9075, RMS=2.1036
  Col 24: Mean=-0.0131, Std=1.6674, Min=-4.0780, Max=4.4232, RMS=1.6674
  Col 25: Mean=-0.0026, Std=0.9332, Min=-2.8104, Max=2.8157, RMS=0.9332
  Col 26: Mean=-0.0006, Std=1.8602, Min=-3.5760, Max=5.7032, RMS=1.8602
  Col 27: Mean=-0.0008, Std=3.9722, Min=-9.8962, Max=8.2113, RMS=3.9722
  Col 28: Mean=-0.0026, Std=1.0667, Min=-2.8900, Max=1.8896, RMS=1.0667
  Col 29: Mean=-0.0122, Std=1.6404, Min=-4.6186, Max=4.8215, RMS=1.6404
  Col 30: Mean=-0.0065, Std=5.0651, Min=-13.3505, Max=11.0946, RMS=5.0651
  Col 31: Mean=-0.0171, Std=1.2880, Min=-3.7140, Max=2.5783, RMS=1.2882
  Col 32: Mean=-0.3865, Std=2.5331, Min=-8.9969, Max=4.3894, RMS=2.5624
  Col 33: Mean=-0.0087, Std=0.8145, Min=-3.1137, Max=2.4412, RMS=0.8145
  Col 34: Mean=0.0010, Std=0.8288, Min=-1.7606, Max=1.8623, RMS=0.8288
  Col 35: Mean=-0.0003, Std=2.1392, Min=-3.8440, Max=6.4454, RMS=2.1392
  Col 36: Mean=-0.0087, Std=1.5625, Min=-5.0692, Max=3.3537, RMS=1.5625
  Col 37: Mean=0.0077, Std=0.9609, Min=-2.3788, Max=3.5174, RMS=0.9609
  Col 38: Mean=-0.0038, Std=2.1531, Min=-4.2357, Max=6.5088, RMS=2.1531
  Col 39: Mean=0.0087, Std=3.0506, Min=-6.3059, Max=6.1271, RMS=3.0506
  Col 40: Mean=-0.0030, Std=0.9558, Min=-2.7235, Max=2.3580, RMS=0.9558
  Col 41: Mean=-0.0102, Std=1.7882, Min=-4.1335, Max=5.5138, RMS=1.7883
  Col 42: Mean=-0.1306, Std=3.9458, Min=-8.5544, Max=8.5415, RMS=3.9480
  Col 43: Mean=-0.0099, Std=1.2079, Min=-4.2232, Max=3.5552, RMS=1.2080
  Col 44: Mean=-0.5353, Std=2.5448, Min=-9.0446, Max=5.7104, RMS=2.6005
  Col 45: Mean=-0.1063, Std=5.9441, Min=-19.3961, Max=21.0862, RMS=5.9450
  Col 46: Mean=0.0373, Std=3.5307, Min=-14.0918, Max=15.4526, RMS=3.5309
  Col 47: Mean=-0.2249, Std=5.1787, Min=-12.7644, Max=23.5816, RMS=5.1836
  Col 48: Mean=0.0640, Std=6.2501, Min=-16.3146, Max=19.3526, RMS=6.2504
  Col 49: Mean=-0.0057, Std=2.6335, Min=-13.3331, Max=8.3419, RMS=2.6336
  Col 50: Mean=-0.1684, Std=3.3956, Min=-11.5301, Max=19.3818, RMS=3.3998
  Col 51: Mean=0.0780, Std=12.2177, Min=-41.8172, Max=47.8115, RMS=12.2179
  Col 52: Mean=-0.0800, Std=3.7898, Min=-20.0312, Max=14.3747, RMS=3.7907
  Col 53: Mean=-0.3013, Std=8.1527, Min=-39.7860, Max=16.6468, RMS=8.1582
