--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0014, Std=2.0778, Min=-8.1737, Max=8.0445, RMS=2.0778
  Col 1: Mean=-0.0032, Std=1.3166, Min=-7.2342, Max=3.5775, RMS=1.3166
  Col 2: Mean=0.0168, Std=2.6376, Min=-5.5935, Max=12.8072, RMS=2.6376
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0032, Std=1.0306, Min=-3.9167, Max=4.2291, RMS=1.0306
  Col 13: Mean=0.0066, Std=1.0388, Min=-3.3203, Max=2.3977, RMS=1.0388
  Col 14: Mean=0.0133, Std=2.4091, Min=-5.7855, Max=10.2744, RMS=2.4092
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0062, Std=1.1031, Min=-2.8496, Max=3.4498, RMS=1.1031
  Col 19: Mean=0.0187, Std=1.1842, Min=-4.1775, Max=5.5532, RMS=1.1844
  Col 20: Mean=0.0036, Std=2.5245, Min=-10.4681, Max=13.7406, RMS=2.5245
  Col 21: Mean=0.0060, Std=1.0729, Min=-3.3157, Max=3.1218, RMS=1.0729
  Col 22: Mean=0.0074, Std=1.3419, Min=-4.5079, Max=4.1374, RMS=1.3419
  Col 23: Mean=0.0127, Std=2.4791, Min=-5.3060, Max=10.5720, RMS=2.4792
  Col 24: Mean=0.0002, Std=1.1326, Min=-3.3000, Max=4.5388, RMS=1.1326
  Col 25: Mean=-0.0079, Std=2.1876, Min=-9.4126, Max=6.3553, RMS=2.1877
  Col 26: Mean=-0.2371, Std=3.0294, Min=-9.2825, Max=10.6655, RMS=3.0387
  Col 27: Mean=-0.0020, Std=0.9082, Min=-1.9817, Max=4.0747, RMS=0.9082
  Col 28: Mean=0.0265, Std=2.4861, Min=-6.1512, Max=6.8024, RMS=2.4863
  Col 29: Mean=0.0038, Std=2.8861, Min=-6.7116, Max=10.7342, RMS=2.8861
  Col 30: Mean=-0.0174, Std=1.0719, Min=-2.7339, Max=3.9097, RMS=1.0720
  Col 31: Mean=0.0403, Std=3.0225, Min=-9.5461, Max=8.0720, RMS=3.0228
  Col 32: Mean=-0.0013, Std=3.1015, Min=-7.2776, Max=11.2346, RMS=3.1015
  Col 33: Mean=0.0000, Std=1.1128, Min=-3.6631, Max=3.6737, RMS=1.1128
  Col 34: Mean=0.0081, Std=1.0748, Min=-4.3177, Max=4.5163, RMS=1.0748
  Col 35: Mean=0.0117, Std=2.4700, Min=-5.4535, Max=11.0086, RMS=2.4700
  Col 36: Mean=-0.0120, Std=1.3361, Min=-5.3445, Max=3.5037, RMS=1.3362
  Col 37: Mean=0.0071, Std=1.9288, Min=-12.1541, Max=5.9095, RMS=1.9289
  Col 38: Mean=0.0051, Std=2.6251, Min=-5.7669, Max=9.0006, RMS=2.6251
  Col 39: Mean=0.0007, Std=1.3553, Min=-7.0997, Max=3.9400, RMS=1.3553
  Col 40: Mean=0.0335, Std=2.8475, Min=-8.0913, Max=8.6863, RMS=2.8477
  Col 41: Mean=0.0128, Std=2.6790, Min=-6.1776, Max=11.9175, RMS=2.6791
  Col 42: Mean=0.0265, Std=1.5974, Min=-9.4310, Max=5.4411, RMS=1.5976
  Col 43: Mean=0.0570, Std=3.8817, Min=-12.8070, Max=9.4510, RMS=3.8821
  Col 44: Mean=-0.0031, Std=2.9076, Min=-6.7610, Max=11.5965, RMS=2.9076
  Col 45: Mean=-0.0435, Std=4.9823, Min=-35.7002, Max=22.2861, RMS=4.9825
  Col 46: Mean=0.0031, Std=5.8369, Min=-27.6610, Max=24.5864, RMS=5.8369
  Col 47: Mean=-0.0079, Std=5.4518, Min=-22.7498, Max=36.7567, RMS=5.4518
  Col 48: Mean=0.0357, Std=4.9003, Min=-22.2489, Max=43.1049, RMS=4.9005
  Col 49: Mean=0.0798, Std=5.6984, Min=-23.4365, Max=31.0531, RMS=5.6990
  Col 50: Mean=-0.0783, Std=3.8122, Min=-16.2755, Max=31.4311, RMS=3.8130
  Col 51: Mean=0.0100, Std=3.9228, Min=-25.8347, Max=23.5460, RMS=3.9228
  Col 52: Mean=0.0925, Std=9.9245, Min=-66.1721, Max=49.5196, RMS=9.9249
  Col 53: Mean=-0.1497, Std=6.4691, Min=-31.7428, Max=38.0868, RMS=6.4709
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0192, Std=4.7124, Min=-21.3764, Max=26.8439, RMS=4.7124
  Col 58: Mean=-0.0194, Std=8.0757, Min=-29.6233, Max=64.9144, RMS=8.0758
  Col 59: Mean=0.0470, Std=7.2386, Min=-27.2793, Max=41.5713, RMS=7.2387
  Col 60: Mean=-0.0162, Std=4.3285, Min=-34.5474, Max=18.3284, RMS=4.3285
  Col 61: Mean=0.0687, Std=5.6480, Min=-19.2328, Max=26.6902, RMS=5.6484
  Col 62: Mean=-0.1060, Std=4.2667, Min=-18.9646, Max=34.8601, RMS=4.2680
  Col 63: Mean=-0.0313, Std=4.7165, Min=-24.8657, Max=40.8394, RMS=4.7167
  Col 64: Mean=0.0968, Std=10.3589, Min=-65.2955, Max=41.8072, RMS=10.3594
  Col 65: Mean=-0.1652, Std=8.0184, Min=-54.1298, Max=35.4272, RMS=8.0201
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-12.3742, Std=6.7856, Min=-30.8653, Max=6.1844, RMS=14.1126
  Col 1: Mean=-69.5349, Std=2.5253, Min=-73.7038, Max=-64.3274, RMS=69.5807
  Col 2: Mean=103.8323, Std=6.9662, Min=89.8506, Max=122.6083, RMS=104.0657
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-13.5782, Std=3.8578, Min=-22.9061, Max=-6.4035, RMS=14.1156
  Col 13: Mean=-62.9523, Std=3.5809, Min=-70.8292, Max=-56.8744, RMS=63.0541
  Col 14: Mean=-78.3833, Std=6.2969, Min=-87.8773, Max=-65.1891, RMS=78.6358
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-64.1239, Std=2.5265, Min=-69.1285, Max=-58.7616, RMS=64.1737
  Col 19: Mean=-8.3622, Std=13.5567, Min=-26.4616, Max=18.7187, RMS=15.9283
  Col 20: Mean=83.1722, Std=5.5668, Min=75.2021, Max=96.4778, RMS=83.3583
  Col 21: Mean=54.6569, Std=3.5153, Min=45.8051, Max=60.4004, RMS=54.7698
  Col 22: Mean=4.5171, Std=1.8783, Min=1.0108, Max=8.7149, RMS=4.8921
  Col 23: Mean=13.5469, Std=4.8176, Min=3.2403, Max=23.6964, RMS=14.3780
  Col 24: Mean=11.4921, Std=35.8148, Min=-22.3471, Max=179.7316, RMS=37.6135
  Col 25: Mean=-77.0624, Std=12.5358, Min=-84.7549, Max=-6.1875, RMS=78.0754
  Col 26: Mean=-37.8835, Std=152.4143, Min=-179.9853, Max=179.9845, RMS=157.0518
  Col 27: Mean=-76.7842, Std=8.9491, Min=-91.8077, Max=-51.8168, RMS=77.3039
  Col 28: Mean=-60.3874, Std=10.2386, Min=-74.6627, Max=-24.6560, RMS=61.2493
  Col 29: Mean=-86.8133, Std=12.9115, Min=-118.9251, Max=-68.5018, RMS=87.7682
  Col 30: Mean=-82.0417, Std=3.9592, Min=-89.6605, Max=-69.1505, RMS=82.1372
  Col 31: Mean=-3.4391, Std=11.3467, Min=-20.4958, Max=34.7509, RMS=11.8565
  Col 32: Mean=-74.3950, Std=8.4719, Min=-94.2437, Max=-59.5823, RMS=74.8759
  Col 33: Mean=55.4389, Std=4.5044, Min=45.1630, Max=63.7190, RMS=55.6216
  Col 34: Mean=-1.8259, Std=1.6852, Min=-6.6860, Max=1.2783, RMS=2.4847
  Col 35: Mean=-8.9821, Std=5.3603, Min=-17.4287, Max=5.3068, RMS=10.4600
