--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0036, Std=2.2692, Min=-11.6831, Max=9.4110, RMS=2.2692
  Col 1: Mean=-0.0164, Std=1.7146, Min=-6.8186, Max=6.9250, RMS=1.7147
  Col 2: Mean=0.0270, Std=3.4884, Min=-7.3670, Max=13.2559, RMS=3.4885
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0001, Std=1.1080, Min=-3.5498, Max=3.8305, RMS=1.1080
  Col 13: Mean=-0.0062, Std=1.4121, Min=-4.9792, Max=3.2521, RMS=1.4121
  Col 14: Mean=0.0195, Std=3.2498, Min=-7.6082, Max=11.4474, RMS=3.2498
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0074, Std=1.2353, Min=-4.4125, Max=3.8488, RMS=1.2353
  Col 19: Mean=-0.0010, Std=1.5434, Min=-5.6414, Max=5.4029, RMS=1.5434
  Col 20: Mean=0.0206, Std=3.4567, Min=-13.9257, Max=19.0317, RMS=3.4567
  Col 21: Mean=0.0044, Std=1.0822, Min=-3.3752, Max=3.6653, RMS=1.0822
  Col 22: Mean=-0.0021, Std=1.7389, Min=-7.4156, Max=4.4934, RMS=1.7389
  Col 23: Mean=0.0180, Std=3.3140, Min=-6.3689, Max=12.2168, RMS=3.3141
  Col 24: Mean=0.0191, Std=1.2041, Min=-4.3379, Max=4.6414, RMS=1.2043
  Col 25: Mean=-0.0030, Std=2.5330, Min=-10.8484, Max=5.8672, RMS=2.5330
  Col 26: Mean=0.0093, Std=3.5221, Min=-6.6651, Max=13.8482, RMS=3.5221
  Col 27: Mean=-0.0051, Std=1.1777, Min=-4.3974, Max=5.3398, RMS=1.1777
  Col 28: Mean=0.0296, Std=2.5338, Min=-7.3327, Max=6.7715, RMS=2.5340
  Col 29: Mean=0.0086, Std=3.4899, Min=-6.3441, Max=10.6736, RMS=3.4899
  Col 30: Mean=-0.0152, Std=1.3149, Min=-4.7449, Max=4.7153, RMS=1.3150
  Col 31: Mean=0.0590, Std=3.2575, Min=-12.4762, Max=9.9375, RMS=3.2580
  Col 32: Mean=0.0053, Std=3.5448, Min=-6.3232, Max=11.6792, RMS=3.5448
  Col 33: Mean=-0.0060, Std=1.1476, Min=-5.4960, Max=6.0990, RMS=1.1476
  Col 34: Mean=-0.0003, Std=1.4612, Min=-5.4743, Max=3.9389, RMS=1.4612
  Col 35: Mean=0.0149, Std=3.2622, Min=-6.6366, Max=12.8616, RMS=3.2622
  Col 36: Mean=-0.0269, Std=1.5084, Min=-7.4659, Max=3.9385, RMS=1.5086
  Col 37: Mean=-0.0142, Std=2.7361, Min=-14.6724, Max=6.9587, RMS=2.7361
  Col 38: Mean=0.0022, Std=3.3712, Min=-7.4460, Max=10.4917, RMS=3.3712
  Col 39: Mean=-0.0077, Std=1.7561, Min=-10.3795, Max=7.4393, RMS=1.7561
  Col 40: Mean=-0.0073, Std=4.0142, Min=-10.0255, Max=14.0898, RMS=4.0142
  Col 41: Mean=-0.0063, Std=3.6631, Min=-8.2803, Max=12.4291, RMS=3.6631
  Col 42: Mean=0.0361, Std=2.2820, Min=-9.4279, Max=12.2879, RMS=2.2823
  Col 43: Mean=0.0332, Std=5.7984, Min=-13.2103, Max=19.8802, RMS=5.7985
  Col 44: Mean=-0.0279, Std=4.7512, Min=-13.7703, Max=18.5219, RMS=4.7513
  Col 45: Mean=-0.0288, Std=4.7952, Min=-24.4604, Max=20.8921, RMS=4.7953
  Col 46: Mean=-0.0457, Std=6.9986, Min=-21.7259, Max=29.5243, RMS=6.9988
  Col 47: Mean=-0.0054, Std=7.3137, Min=-34.7504, Max=51.8887, RMS=7.3137
  Col 48: Mean=0.0846, Std=5.7648, Min=-35.2538, Max=38.4502, RMS=5.7654
  Col 49: Mean=0.0940, Std=7.1252, Min=-29.4544, Max=31.8760, RMS=7.1258
  Col 50: Mean=-0.1048, Std=5.2679, Min=-18.8528, Max=49.6249, RMS=5.2689
  Col 51: Mean=-0.0117, Std=5.5128, Min=-36.4568, Max=38.9298, RMS=5.5128
  Col 52: Mean=0.1150, Std=11.5770, Min=-67.9095, Max=38.5556, RMS=11.5775
  Col 53: Mean=-0.1852, Std=8.6983, Min=-52.0947, Max=39.6382, RMS=8.7002
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0291, Std=5.4165, Min=-34.8827, Max=28.9797, RMS=5.4166
  Col 58: Mean=-0.0816, Std=8.2672, Min=-31.5013, Max=62.4465, RMS=8.2676
  Col 59: Mean=0.0787, Std=9.3629, Min=-37.8240, Max=70.9333, RMS=9.3632
  Col 60: Mean=0.0030, Std=6.2419, Min=-48.4537, Max=27.9192, RMS=6.2419
  Col 61: Mean=0.0880, Std=6.8453, Min=-18.7023, Max=35.2179, RMS=6.8458
  Col 62: Mean=-0.1182, Std=5.6102, Min=-24.0927, Max=46.6875, RMS=5.6115
  Col 63: Mean=-0.0095, Std=6.1272, Min=-34.9890, Max=43.1027, RMS=6.1272
  Col 64: Mean=0.1197, Std=12.0146, Min=-66.0362, Max=39.9996, RMS=12.0152
  Col 65: Mean=-0.2026, Std=10.3837, Min=-62.8454, Max=51.2322, RMS=10.3857
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-14.4233, Std=7.4872, Min=-31.6650, Max=5.3659, RMS=16.2508
  Col 1: Mean=-70.1014, Std=2.1688, Min=-74.5489, Max=-64.2035, RMS=70.1349
  Col 2: Mean=100.2634, Std=7.7769, Min=83.7444, Max=120.2260, RMS=100.5645
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-14.7037, Std=6.2073, Min=-31.7370, Max=-5.3085, RMS=15.9602
  Col 13: Mean=-63.6181, Std=5.0425, Min=-78.2502, Max=-57.1019, RMS=63.8176
  Col 14: Mean=-81.5593, Std=7.9628, Min=-93.7996, Max=-62.9700, RMS=81.9470
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-65.6843, Std=3.3864, Min=-73.7620, Max=-59.6489, RMS=65.7715
  Col 19: Mean=-9.5984, Std=10.3350, Min=-26.1174, Max=14.1192, RMS=14.1047
  Col 20: Mean=75.5304, Std=3.8632, Min=62.9404, Max=81.4856, RMS=75.6291
  Col 21: Mean=53.7738, Std=5.3221, Min=37.1927, Max=60.3587, RMS=54.0366
  Col 22: Mean=5.0907, Std=2.4412, Min=1.1458, Max=11.4505, RMS=5.6458
  Col 23: Mean=9.4818, Std=4.3631, Min=0.5835, Max=19.8481, RMS=10.4375
  Col 24: Mean=0.0175, Std=26.3521, Min=-30.2291, Max=82.8224, RMS=26.3521
  Col 25: Mean=-79.2250, Std=4.0410, Min=-87.0606, Max=-66.7790, RMS=79.3280
  Col 26: Mean=-77.8950, Std=133.8355, Min=-179.1868, Max=179.9862, RMS=154.8534
  Col 27: Mean=-81.5485, Std=8.1757, Min=-102.4700, Max=-61.8105, RMS=81.9573
  Col 28: Mean=-57.5547, Std=9.9282, Min=-73.6295, Max=-24.8350, RMS=58.4047
  Col 29: Mean=-83.6808, Std=10.3618, Min=-108.3148, Max=-52.5942, RMS=84.3199
  Col 30: Mean=-80.3312, Std=4.1547, Min=-94.0113, Max=-71.3305, RMS=80.4385
  Col 31: Mean=1.7840, Std=11.6032, Min=-18.6742, Max=37.8997, RMS=11.7395
