--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=1.8708, Min=-9.8598, Max=9.1458, RMS=1.8708
  Col 1: Mean=-0.0048, Std=1.7196, Min=-6.9721, Max=6.5943, RMS=1.7196
  Col 2: Mean=0.0019, Std=2.4677, Min=-4.6152, Max=10.8553, RMS=2.4677
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0069, Std=1.0996, Min=-3.2663, Max=4.4963, RMS=1.0996
  Col 13: Mean=-0.0005, Std=1.5690, Min=-3.5091, Max=4.3797, RMS=1.5690
  Col 14: Mean=-0.0031, Std=2.5052, Min=-6.9974, Max=7.7881, RMS=2.5052
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0076, Std=1.2598, Min=-3.6674, Max=4.3114, RMS=1.2598
  Col 19: Mean=-0.0047, Std=1.6063, Min=-4.1869, Max=5.9097, RMS=1.6063
  Col 20: Mean=-0.0123, Std=2.5365, Min=-5.6580, Max=11.5097, RMS=2.5366
  Col 21: Mean=-0.0044, Std=1.2079, Min=-3.4191, Max=3.3386, RMS=1.2079
  Col 22: Mean=-0.0064, Std=1.6352, Min=-4.1540, Max=6.6617, RMS=1.6352
  Col 23: Mean=-0.1365, Std=2.4196, Min=-8.3311, Max=7.6180, RMS=2.4234
  Col 24: Mean=-0.0138, Std=1.0112, Min=-3.9991, Max=2.8213, RMS=1.0112
  Col 25: Mean=-0.0095, Std=1.9136, Min=-5.3313, Max=9.7128, RMS=1.9137
  Col 26: Mean=-0.0076, Std=2.6304, Min=-6.4671, Max=8.1499, RMS=2.6304
  Col 27: Mean=-0.0122, Std=0.7082, Min=-2.3925, Max=1.5303, RMS=0.7083
