--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0005, Std=1.7567, Min=-7.6265, Max=8.3351, RMS=1.7567
  Col 1: Mean=-0.0024, Std=1.7797, Min=-6.6237, Max=4.6225, RMS=1.7797
  Col 2: Mean=0.0070, Std=2.9130, Min=-6.3679, Max=11.5068, RMS=2.9130
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0060, Std=1.1302, Min=-4.3571, Max=3.5649, RMS=1.1303
  Col 13: Mean=-0.0036, Std=1.7454, Min=-4.6527, Max=4.6774, RMS=1.7454
  Col 14: Mean=-0.0024, Std=2.9221, Min=-7.6616, Max=8.7760, RMS=2.9221
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0235, Std=1.4390, Min=-3.8937, Max=4.7813, RMS=1.4392
  Col 19: Mean=-0.0063, Std=1.8166, Min=-4.7722, Max=4.5049, RMS=1.8166
  Col 20: Mean=-0.0127, Std=2.8334, Min=-6.1998, Max=10.7861, RMS=2.8334
  Col 21: Mean=-0.0058, Std=1.2140, Min=-3.4622, Max=3.2311, RMS=1.2140
  Col 22: Mean=-0.0109, Std=2.0155, Min=-5.5042, Max=8.0021, RMS=2.0155
  Col 23: Mean=-0.3839, Std=3.2733, Min=-9.1931, Max=9.7359, RMS=3.2957
  Col 24: Mean=-0.0166, Std=1.1063, Min=-4.1415, Max=2.7240, RMS=1.1065
  Col 25: Mean=-0.0170, Std=2.2364, Min=-5.5991, Max=11.0880, RMS=2.2365
  Col 26: Mean=-0.0071, Std=2.9437, Min=-6.6873, Max=8.6553, RMS=2.9437
  Col 27: Mean=-0.0134, Std=1.0539, Min=-3.7750, Max=2.7404, RMS=1.0540
  Col 28: Mean=-0.0301, Std=2.0345, Min=-6.3623, Max=8.3190, RMS=2.0347
  Col 29: Mean=-0.0100, Std=2.9295, Min=-8.0835, Max=7.9401, RMS=2.9296
  Col 30: Mean=-0.0076, Std=1.2632, Min=-5.8125, Max=3.5312, RMS=1.2632
  Col 31: Mean=-0.0316, Std=2.5774, Min=-9.4644, Max=8.8072, RMS=2.5776
  Col 32: Mean=-0.0124, Std=2.9537, Min=-9.3824, Max=8.1206, RMS=2.9537
  Col 33: Mean=-0.0033, Std=1.2319, Min=-3.5797, Max=3.6380, RMS=1.2319
  Col 34: Mean=-0.0122, Std=1.8129, Min=-5.3590, Max=5.3756, RMS=1.8130
  Col 35: Mean=-0.1202, Std=2.8939, Min=-8.6519, Max=9.8536, RMS=2.8964
  Col 36: Mean=0.0389, Std=1.4771, Min=-4.9154, Max=5.4697, RMS=1.4776
  Col 37: Mean=-0.0019, Std=2.3778, Min=-5.3137, Max=8.1820, RMS=2.3778
  Col 38: Mean=-0.2622, Std=3.4426, Min=-9.3035, Max=11.1458, RMS=3.4525
  Col 39: Mean=-0.0069, Std=1.5028, Min=-5.2683, Max=5.0250, RMS=1.5028
  Col 40: Mean=-0.0087, Std=3.0730, Min=-9.9088, Max=9.1088, RMS=3.0730
  Col 41: Mean=-0.0217, Std=3.1068, Min=-6.4241, Max=10.6666, RMS=3.1069
  Col 42: Mean=-0.0368, Std=1.8832, Min=-9.2714, Max=7.8315, RMS=1.8836
  Col 43: Mean=-0.0380, Std=4.2928, Min=-11.3633, Max=16.3405, RMS=4.2930
  Col 44: Mean=-0.0547, Std=3.2621, Min=-7.2316, Max=9.6410, RMS=3.2626
  Col 45: Mean=0.0190, Std=3.1871, Min=-11.2512, Max=18.3071, RMS=3.1872
  Col 46: Mean=0.0100, Std=5.5781, Min=-28.8735, Max=16.2075, RMS=5.5781
  Col 47: Mean=-0.0250, Std=5.0517, Min=-13.8081, Max=22.7657, RMS=5.0517
  Col 48: Mean=-0.0460, Std=3.5257, Min=-29.6478, Max=12.7882, RMS=3.5260
  Col 49: Mean=-0.0462, Std=5.9129, Min=-18.2700, Max=22.5146, RMS=5.9130
  Col 50: Mean=-0.1071, Std=3.8949, Min=-14.5526, Max=34.6164, RMS=3.8964
  Col 51: Mean=-0.0139, Std=4.4975, Min=-44.0579, Max=24.6434, RMS=4.4975
  Col 52: Mean=-0.0881, Std=11.0977, Min=-59.4490, Max=57.4152, RMS=11.0981
  Col 53: Mean=-0.1620, Std=7.6972, Min=-42.0318, Max=53.5417, RMS=7.6989
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0233, Std=4.5725, Min=-20.5122, Max=28.7985, RMS=4.5725
  Col 58: Mean=0.0030, Std=6.6053, Min=-31.3281, Max=20.6436, RMS=6.6053
  Col 59: Mean=0.0185, Std=7.2448, Min=-24.0587, Max=42.4312, RMS=7.2449
  Col 60: Mean=-0.0045, Std=4.3602, Min=-18.8697, Max=23.1281, RMS=4.3602
  Col 61: Mean=-0.0777, Std=6.4743, Min=-24.9787, Max=30.8802, RMS=6.4748
  Col 62: Mean=-0.1334, Std=4.2079, Min=-18.6520, Max=21.4787, RMS=4.2101
  Col 63: Mean=-0.0151, Std=5.5380, Min=-30.9231, Max=26.1337, RMS=5.5380
  Col 64: Mean=-0.1212, Std=11.6383, Min=-45.3241, Max=51.4834, RMS=11.6389
  Col 65: Mean=-0.2092, Std=10.6183, Min=-75.5307, Max=60.0846, RMS=10.6203
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-9.0180, Std=6.1538, Min=-28.8798, Max=12.1599, RMS=10.9176
  Col 1: Mean=-67.6863, Std=2.7310, Min=-73.8598, Max=-62.1396, RMS=67.7414
  Col 2: Mean=-87.4353, Std=5.2379, Min=-102.1404, Max=-71.0695, RMS=87.5920
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
