--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0142, Std=1.8093, Min=-7.5210, Max=11.4417, RMS=1.8094
  Col 1: Mean=-0.0320, Std=2.4254, Min=-16.7807, Max=20.3190, RMS=2.4256
  Col 2: Mean=-0.1348, Std=5.2386, Min=-9.6482, Max=20.7989, RMS=5.2404
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0051, Std=0.9730, Min=-2.4942, Max=3.5660, RMS=0.9731
  Col 13: Mean=-0.0048, Std=1.0147, Min=-3.9881, Max=4.8603, RMS=1.0148
  Col 14: Mean=0.0056, Std=5.0237, Min=-9.6342, Max=21.6638, RMS=5.0237
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0003, Std=1.3364, Min=-9.0233, Max=4.5466, RMS=1.3364
  Col 19: Mean=-0.0201, Std=0.8336, Min=-2.8960, Max=4.0136, RMS=0.8339
  Col 20: Mean=-0.4716, Std=4.9175, Min=-9.5925, Max=28.7516, RMS=4.9401
  Col 21: Mean=-0.0125, Std=1.2134, Min=-3.9750, Max=5.3923, RMS=1.2134
  Col 22: Mean=0.0013, Std=1.3035, Min=-4.4474, Max=4.3634, RMS=1.3035
  Col 23: Mean=0.0063, Std=5.1566, Min=-8.4248, Max=17.1955, RMS=5.1566
  Col 24: Mean=-0.0027, Std=2.0222, Min=-6.3736, Max=11.6879, RMS=2.0222
  Col 25: Mean=0.0345, Std=1.6719, Min=-5.7165, Max=7.4884, RMS=1.6723
  Col 26: Mean=0.0037, Std=5.5506, Min=-8.6891, Max=18.8104, RMS=5.5506
  Col 27: Mean=-0.0749, Std=2.4569, Min=-8.8575, Max=7.1105, RMS=2.4581
  Col 28: Mean=-0.0323, Std=1.9013, Min=-7.1131, Max=8.1589, RMS=1.9016
  Col 29: Mean=0.0044, Std=5.3820, Min=-10.5946, Max=22.1199, RMS=5.3820
  Col 30: Mean=-0.0948, Std=3.6407, Min=-12.6180, Max=11.9604, RMS=3.6420
  Col 31: Mean=-0.1090, Std=2.6518, Min=-12.2165, Max=9.4686, RMS=2.6540
  Col 32: Mean=-0.0476, Std=4.7910, Min=-9.4813, Max=19.0735, RMS=4.7912
  Col 33: Mean=-0.0108, Std=1.2265, Min=-3.4122, Max=4.9362, RMS=1.2266
  Col 34: Mean=-0.0244, Std=1.3907, Min=-4.1464, Max=11.0673, RMS=1.3909
  Col 35: Mean=0.0021, Std=5.2259, Min=-8.4297, Max=26.6653, RMS=5.2259
  Col 36: Mean=0.0462, Std=2.2185, Min=-5.8004, Max=8.8665, RMS=2.2190
  Col 37: Mean=-0.1053, Std=2.8204, Min=-12.7156, Max=8.9397, RMS=2.8224
  Col 38: Mean=-0.0215, Std=5.8577, Min=-8.8851, Max=18.0770, RMS=5.8578
  Col 39: Mean=-0.0662, Std=3.3892, Min=-10.1269, Max=11.5354, RMS=3.3899
  Col 40: Mean=0.0621, Std=3.2673, Min=-14.8604, Max=9.6205, RMS=3.2679
  Col 41: Mean=-0.0131, Std=5.4650, Min=-10.9402, Max=23.1487, RMS=5.4650
