--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0057, Std=2.0257, Min=-8.5394, Max=17.3356, RMS=2.0257
  Col 1: Mean=-0.0009, Std=2.5222, Min=-16.4239, Max=23.5533, RMS=2.5222
  Col 2: Mean=-0.6839, Std=5.7992, Min=-11.3146, Max=19.0339, RMS=5.8394
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0212, Std=1.2772, Min=-4.8993, Max=7.0676, RMS=1.2774
  Col 13: Mean=0.0101, Std=1.0490, Min=-3.7194, Max=6.7036, RMS=1.0490
  Col 14: Mean=0.0081, Std=5.5626, Min=-10.0994, Max=27.5428, RMS=5.5626
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0429, Std=1.5523, Min=-9.5232, Max=5.6441, RMS=1.5529
  Col 19: Mean=-0.0022, Std=0.8616, Min=-2.4607, Max=3.6903, RMS=0.8616
  Col 20: Mean=-0.3618, Std=5.2493, Min=-9.6791, Max=22.9929, RMS=5.2617
  Col 21: Mean=-0.0329, Std=1.4498, Min=-4.6611, Max=11.8783, RMS=1.4501
  Col 22: Mean=0.0243, Std=1.3980, Min=-5.2432, Max=7.1233, RMS=1.3982
  Col 23: Mean=0.0070, Std=5.5434, Min=-9.3698, Max=22.8006, RMS=5.5434
  Col 24: Mean=-0.0279, Std=2.1498, Min=-7.2168, Max=14.0808, RMS=2.1499
  Col 25: Mean=0.0491, Std=1.7193, Min=-4.5636, Max=8.6035, RMS=1.7200
  Col 26: Mean=-0.0004, Std=5.9896, Min=-8.9925, Max=20.3178, RMS=5.9896
  Col 27: Mean=-0.0744, Std=2.3796, Min=-7.4095, Max=7.7407, RMS=2.3808
  Col 28: Mean=-0.0054, Std=2.0404, Min=-5.3341, Max=9.1536, RMS=2.0404
  Col 29: Mean=-0.0051, Std=5.9003, Min=-9.6526, Max=23.1237, RMS=5.9003
  Col 30: Mean=-0.0614, Std=3.4557, Min=-10.2167, Max=12.7036, RMS=3.4562
  Col 31: Mean=-0.0796, Std=2.6399, Min=-9.0261, Max=12.9930, RMS=2.6411
  Col 32: Mean=-0.0488, Std=5.5090, Min=-11.0351, Max=22.0095, RMS=5.5092
  Col 33: Mean=-0.0247, Std=1.4369, Min=-3.0781, Max=4.7055, RMS=1.4372
  Col 34: Mean=-0.0106, Std=1.3934, Min=-6.7600, Max=8.7422, RMS=1.3934
  Col 35: Mean=0.0050, Std=5.6279, Min=-8.8387, Max=29.5083, RMS=5.6279
  Col 36: Mean=0.0194, Std=2.3220, Min=-6.0834, Max=10.3761, RMS=2.3220
  Col 37: Mean=-0.1106, Std=2.8262, Min=-11.6952, Max=10.8939, RMS=2.8283
  Col 38: Mean=-0.0095, Std=6.4449, Min=-12.1731, Max=17.1193, RMS=6.4449
  Col 39: Mean=-0.0660, Std=3.4829, Min=-8.7173, Max=11.9840, RMS=3.4835
  Col 40: Mean=0.0486, Std=3.0753, Min=-12.1133, Max=10.6013, RMS=3.0757
  Col 41: Mean=-0.0133, Std=5.8179, Min=-9.6015, Max=19.0357, RMS=5.8179
