--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0009, Std=1.2791, Min=-5.3512, Max=3.3927, RMS=1.2791
  Col 1: Mean=0.0072, Std=1.1888, Min=-4.8068, Max=3.7778, RMS=1.1888
  Col 2: Mean=0.0124, Std=2.6078, Min=-5.2770, Max=7.9988, RMS=2.6078
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0059, Std=0.8552, Min=-2.8350, Max=2.0101, RMS=0.8552
  Col 13: Mean=-0.0006, Std=1.1987, Min=-3.2309, Max=3.4536, RMS=1.1987
  Col 14: Mean=-0.2578, Std=3.2350, Min=-9.0085, Max=7.0884, RMS=3.2453
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0243, Std=0.9279, Min=-2.7668, Max=2.4029, RMS=0.9283
  Col 19: Mean=0.0086, Std=1.2737, Min=-2.7884, Max=3.5573, RMS=1.2737
  Col 20: Mean=-0.0084, Std=2.7551, Min=-6.0142, Max=7.7690, RMS=2.7551
  Col 21: Mean=0.0193, Std=1.0495, Min=-2.9263, Max=2.6629, RMS=1.0497
  Col 22: Mean=0.0093, Std=1.3431, Min=-3.1870, Max=3.5042, RMS=1.3431
  Col 23: Mean=0.0062, Std=2.7852, Min=-6.1877, Max=8.0306, RMS=2.7852
  Col 24: Mean=0.0079, Std=1.4517, Min=-3.8646, Max=3.5021, RMS=1.4517
  Col 25: Mean=0.0034, Std=1.0497, Min=-3.5284, Max=3.1366, RMS=1.0497
  Col 26: Mean=0.0051, Std=3.0617, Min=-6.7905, Max=8.5052, RMS=3.0617
  Col 27: Mean=0.0158, Std=1.6527, Min=-4.7810, Max=3.7719, RMS=1.6527
  Col 28: Mean=0.0061, Std=0.6495, Min=-2.3347, Max=1.3557, RMS=0.6495
  Col 29: Mean=0.0026, Std=2.9927, Min=-6.3006, Max=8.2470, RMS=2.9927
  Col 30: Mean=0.0089, Std=1.9440, Min=-5.3023, Max=4.4532, RMS=1.9441
  Col 31: Mean=0.0078, Std=0.8596, Min=-2.7064, Max=2.8521, RMS=0.8596
  Col 32: Mean=-0.1595, Std=2.9071, Min=-8.3976, Max=7.2142, RMS=2.9115
  Col 33: Mean=0.0197, Std=0.9098, Min=-2.7940, Max=2.9238, RMS=0.9100
  Col 34: Mean=0.0170, Std=1.4253, Min=-3.5450, Max=3.7267, RMS=1.4254
  Col 35: Mean=0.0049, Std=2.8436, Min=-6.0363, Max=9.4088, RMS=2.8436
  Col 36: Mean=0.0153, Std=1.7500, Min=-7.6543, Max=3.7015, RMS=1.7501
  Col 37: Mean=0.0202, Std=1.3731, Min=-4.6102, Max=4.6292, RMS=1.3732
  Col 38: Mean=-0.0001, Std=3.2879, Min=-6.8340, Max=8.3238, RMS=3.2879
  Col 39: Mean=0.0470, Std=2.4735, Min=-7.1023, Max=6.9887, RMS=2.4740
  Col 40: Mean=0.0040, Std=1.0903, Min=-3.0171, Max=4.1441, RMS=1.0903
  Col 41: Mean=-0.0044, Std=3.0610, Min=-6.3781, Max=8.7721, RMS=3.0610
  Col 42: Mean=0.0604, Std=3.2630, Min=-8.7413, Max=10.8228, RMS=3.2636
  Col 43: Mean=-0.0140, Std=1.3574, Min=-4.6177, Max=3.8683, RMS=1.3574
