--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0014, Std=1.2933, Min=-3.9944, Max=3.5239, RMS=1.2933
  Col 1: Mean=-0.0027, Std=1.2367, Min=-5.7612, Max=4.1945, RMS=1.2367
  Col 2: Mean=0.0052, Std=2.5611, Min=-5.4360, Max=9.8741, RMS=2.5611
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0250, Std=0.8415, Min=-2.6425, Max=2.8815, RMS=0.8419
  Col 13: Mean=-0.0222, Std=1.1561, Min=-4.2137, Max=3.8936, RMS=1.1563
  Col 14: Mean=-0.5808, Std=3.5591, Min=-8.9794, Max=7.6829, RMS=3.6062
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0051, Std=1.0207, Min=-3.1404, Max=3.5289, RMS=1.0207
  Col 19: Mean=0.0027, Std=1.3366, Min=-2.9599, Max=5.0396, RMS=1.3366
  Col 20: Mean=-0.0051, Std=2.6823, Min=-6.0453, Max=8.8412, RMS=2.6824
  Col 21: Mean=0.0068, Std=1.1078, Min=-3.4105, Max=3.3090, RMS=1.1078
  Col 22: Mean=-0.0021, Std=1.3983, Min=-3.5652, Max=4.0205, RMS=1.3983
  Col 23: Mean=0.0023, Std=2.7138, Min=-5.9001, Max=8.3150, RMS=2.7138
  Col 24: Mean=0.0044, Std=1.5510, Min=-4.6995, Max=5.0492, RMS=1.5510
  Col 25: Mean=-0.0034, Std=1.0951, Min=-3.4413, Max=2.3012, RMS=1.0951
  Col 26: Mean=0.0020, Std=2.9886, Min=-6.4706, Max=8.8371, RMS=2.9886
  Col 27: Mean=0.0259, Std=1.6617, Min=-5.1504, Max=4.7538, RMS=1.6619
  Col 28: Mean=0.0029, Std=0.7945, Min=-2.1055, Max=1.9739, RMS=0.7945
  Col 29: Mean=0.0020, Std=2.9447, Min=-5.9786, Max=8.9785, RMS=2.9447
  Col 30: Mean=0.0197, Std=1.8422, Min=-4.9251, Max=4.6674, RMS=1.8423
  Col 31: Mean=0.0222, Std=0.9873, Min=-4.8377, Max=2.4202, RMS=0.9875
  Col 32: Mean=-0.2442, Std=3.1988, Min=-9.4104, Max=8.3417, RMS=3.2081
  Col 33: Mean=0.0044, Std=0.9842, Min=-2.8282, Max=4.0868, RMS=0.9842
  Col 34: Mean=0.0060, Std=1.4675, Min=-3.9216, Max=4.0881, RMS=1.4675
  Col 35: Mean=0.0009, Std=2.7736, Min=-5.9097, Max=10.0207, RMS=2.7736
  Col 36: Mean=-0.0148, Std=1.8785, Min=-6.1349, Max=6.3284, RMS=1.8785
  Col 37: Mean=0.0102, Std=1.2372, Min=-4.8604, Max=4.1069, RMS=1.2372
  Col 38: Mean=-0.0060, Std=3.0661, Min=-6.5972, Max=7.8566, RMS=3.0661
  Col 39: Mean=-0.0056, Std=3.3422, Min=-8.3978, Max=9.2995, RMS=3.3422
  Col 40: Mean=-0.0074, Std=1.0547, Min=-3.2887, Max=3.5975, RMS=1.0547
  Col 41: Mean=-0.0256, Std=2.5630, Min=-5.9007, Max=8.8907, RMS=2.5631
  Col 42: Mean=-0.0055, Std=4.5866, Min=-11.2991, Max=13.1022, RMS=4.5866
  Col 43: Mean=-0.0373, Std=1.3614, Min=-4.9928, Max=5.2311, RMS=1.3619
